	pathway_name	annotation	interaction_name_2	ligand	receptor
TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB1 - (TGFBR1+TGFBR2)	TGFB1	TGFBR1,TGFBR2
TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB2 - (TGFBR1+TGFBR2)	TGFB2	TGFBR1,TGFBR2
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3 - (TGFBR1+TGFBR2)	TGFB3	TGFBR1,TGFBR2
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1 - (ACVR1B+TGFBR2)	TGFB1	ACVR1B,TGFBR2
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2 - (ACVR1B+TGFBR2)	TGFB2	ACVR1B,TGFBR2
TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB3 - (ACVR1B+TGFBR2)	TGFB3	ACVR1B,TGFBR2
TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB1 - (ACVR1+TGFBR1)	TGFB1	ACVR1,TGFBR1
TGFB2_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB2 - (ACVR1+TGFBR1)	TGFB2	ACVR1,TGFBR1
TGFB3_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB3 - (ACVR1+TGFBR1)	TGFB3	ACVR1,TGFBR1
BMP2_BMPR1A_ACVR2A	BMP	Secreted Signaling	BMP2 - (BMPR1A+ACVR2A)	BMP2	BMPR1A,ACVR2A
BMP2_BMPR1A_ACVR2B	BMP	Secreted Signaling	BMP2 - (BMPR1A+ACVR2B)	BMP2	BMPR1A,ACVR2B
BMP2_BMPR1A_BMPR2	BMP	Secreted Signaling	BMP2 - (BMPR1A+BMPR2)	BMP2	BMPR1A,BMPR2
BMP4_BMPR1A_ACVR2A	BMP	Secreted Signaling	BMP4 - (BMPR1A+ACVR2A)	BMP4	BMPR1A,ACVR2A
BMP4_BMPR1A_ACVR2B	BMP	Secreted Signaling	BMP4 - (BMPR1A+ACVR2B)	BMP4	BMPR1A,ACVR2B
BMP4_BMPR1A_BMPR2	BMP	Secreted Signaling	BMP4 - (BMPR1A+BMPR2)	BMP4	BMPR1A,BMPR2
BMP5_ACVR1_ACVR2A	BMP	Secreted Signaling	BMP5 - (ACVR1+ACVR2A)	BMP5	ACVR1,ACVR2A
BMP5_ACVR1_ACVR2B	BMP	Secreted Signaling	BMP5 - (ACVR1+ACVR2B)	BMP5	ACVR1,ACVR2B
BMP5_ACVR1_BMPR2	BMP	Secreted Signaling	BMP5 - (ACVR1+BMPR2)	BMP5	ACVR1,BMPR2
BMP5_BMPR1A_ACVR2A	BMP	Secreted Signaling	BMP5 - (BMPR1A+ACVR2A)	BMP5	BMPR1A,ACVR2A
BMP5_BMPR1A_ACVR2B	BMP	Secreted Signaling	BMP5 - (BMPR1A+ACVR2B)	BMP5	BMPR1A,ACVR2B
BMP5_BMPR1A_BMPR2	BMP	Secreted Signaling	BMP5 - (BMPR1A+BMPR2)	BMP5	BMPR1A,BMPR2
BMP7_ACVR1_ACVR2A	BMP	Secreted Signaling	BMP7 - (ACVR1+ACVR2A)	BMP7	ACVR1,ACVR2A
BMP7_ACVR1_ACVR2B	BMP	Secreted Signaling	BMP7 - (ACVR1+ACVR2B)	BMP7	ACVR1,ACVR2B
BMP7_ACVR1_BMPR2	BMP	Secreted Signaling	BMP7 - (ACVR1+BMPR2)	BMP7	ACVR1,BMPR2
BMP7_BMPR1A_ACVR2A	BMP	Secreted Signaling	BMP7 - (BMPR1A+ACVR2A)	BMP7	BMPR1A,ACVR2A
BMP7_BMPR1A_ACVR2B	BMP	Secreted Signaling	BMP7 - (BMPR1A+ACVR2B)	BMP7	BMPR1A,ACVR2B
BMP7_BMPR1A_BMPR2	BMP	Secreted Signaling	BMP7 - (BMPR1A+BMPR2)	BMP7	BMPR1A,BMPR2
BMP8B_ACVR1_ACVR2A	BMP	Secreted Signaling	BMP8B - (ACVR1+ACVR2A)	BMP8B	ACVR1,ACVR2A
BMP8B_ACVR1_ACVR2B	BMP	Secreted Signaling	BMP8B - (ACVR1+ACVR2B)	BMP8B	ACVR1,ACVR2B
BMP8B_ACVR1_BMPR2	BMP	Secreted Signaling	BMP8B - (ACVR1+BMPR2)	BMP8B	ACVR1,BMPR2
BMP8B_BMPR1A_ACVR2A	BMP	Secreted Signaling	BMP8B - (BMPR1A+ACVR2A)	BMP8B	BMPR1A,ACVR2A
BMP8B_BMPR1A_ACVR2B	BMP	Secreted Signaling	BMP8B - (BMPR1A+ACVR2B)	BMP8B	BMPR1A,ACVR2B
BMP8B_BMPR1A_BMPR2	BMP	Secreted Signaling	BMP8B - (BMPR1A+BMPR2)	BMP8B	BMPR1A,BMPR2
GDF10_ACVR1B_ACVR2A	GDF	Secreted Signaling	GDF10 - (ACVR1B+ACVR2A)	GDF10	ACVR1B,ACVR2A
