ip	d_ori	d_shu	d_rat	p_val	pathway	ip_type
COL1A1 - CD44	157.8583245707505	196.20873080738158	0.8045428147930903	0.0	COLLAGEN	ECM-Receptor
SEMA3B - (NRP1+PLXNA3)	23.30106325474239	12.901895471217902	1.8060186045316673	0.0	SEMA3	Secreted Signaling
THBS4 - ITGA3	7.419996842453008	4.239347565479941	1.7502685797391049	0.0	THBS	ECM-Receptor
THBS4 - ITGB1	80.69967647321899	56.462736308708266	1.429255501044016	0.0	THBS	ECM-Receptor
EFNA1 - EPHA7	81.5561940257918	42.54358218574639	1.9170034547094632	0.0	EPHA	Cell-Cell Contact
EFNA1 - EPHA4	96.72204869804138	47.702298428224864	2.027618204677788	0.0	EPHA	Cell-Cell Contact
EFNA1 - EPHA3	91.79888992526014	51.73052697085657	1.77455934243579	0.0	EPHA	Cell-Cell Contact
CNTN2 - CNTN2	3.014970282013795e-22	2.2696664698456472	1.328375918695593e-22	0.0	CNTN	Cell-Cell Contact
SEMA3B - (NRP2+PLXNA2)	20.69799419141437	12.778280123246255	1.6197793436818282	0.0	SEMA3	Secreted Signaling
SEMA3B - (NRP2+PLXNA3)	22.33604328340792	12.857669719400695	1.7371766246029392	0.0	SEMA3	Secreted Signaling
CNTN2 - L1CAM	17.570740748514194	10.686703176940842	1.6441685015101135	0.0	CNTN	Cell-Cell Contact
CDH5 - CDH5	2.570210019676388e-14	16.481790642763468	1.5594240185333686e-15	0.0	CDH5	Cell-Cell Contact
CDH1 - (ITGA1+ITGB1)	36.17099906297191	13.807861942979816	2.619594489888563	0.0	CDH1	Cell-Cell Contact
CDH1 - CDH1	1.4392629079393375e-15	10.398534317123646	1.3841017051501677e-16	0.0	CDH	Cell-Cell Contact
CDH2 - CDH2	1.8329871325976668e-16	5.382104964640574	3.405706772053036e-17	0.0	CDH	Cell-Cell Contact
CD99 - CD99	1.5741057459115994e-13	23.4351351380166	6.716862252516209e-15	0.0	CD99	Cell-Cell Contact
CADM3 - CADM3	6.160841516418344e-21	3.5644704004135113	1.7284030513210685e-21	0.0	CADM	Cell-Cell Contact
CADM1 - CADM1	5.774288313042389e-16	6.2408141797168115	9.252459930323399e-17	0.0	CADM	Cell-Cell Contact
LAMB3 - DAG1	22.48974208063544	9.661407716273613	2.327791429685124	0.0	LAMININ	ECM-Receptor
THBS1 - CD47	15.923354262670198	9.33522845224557	1.7057273257024437	0.0	THBS	ECM-Receptor
THBS4 - ITGAV	19.39704873169936	13.152397335177945	1.474791875380712	0.0	THBS	ECM-Receptor
LAMB3 - SV2C	17.802022873231945	8.846067182189309	2.0124223009604285	0.0	LAMININ	ECM-Receptor
LAMB3 - SV2A	17.272623174199843	8.551093058061145	2.019931610721612	0.0	LAMININ	ECM-Receptor
COL1A1 - (ITGA1+ITGB1)	140.68163245096497	186.10505479119803	0.7559259075945239	0.0	COLLAGEN	ECM-Receptor
COL2A1 - (ITGA1+ITGB1)	22.771676689081858	12.906219978443247	1.7643955183714903	0.0	COLLAGEN	ECM-Receptor
COL4A2 - (ITGA1+ITGB1)	37.555586748674244	24.825992650140485	1.5127526732938803	0.0	COLLAGEN	ECM-Receptor
SEMA3B - (NRP1+PLXNA1)	22.49574022898837	13.537566364240837	1.6617270507652202	0.0	SEMA3	Secreted Signaling
COL6A1 - (ITGA1+ITGB1)	60.666819435105104	40.787293173206706	1.4873950859518503	0.0	COLLAGEN	ECM-Receptor
EFNA5 - EPHA3	7.917880851137083	4.992565030317103	1.5859344451311388	0.0	EPHA	Cell-Cell Contact
F11R - F11R	3.6280307089937906e-17	6.007656446582124	6.039011620010079e-18	0.0	JAM	Cell-Cell Contact
SPP1 - (ITGA8+ITGB1)	17.404581601779764	10.328366485129886	1.6851243250167154	0.0	SPP1	Secreted Signaling
NAMPT - (ITGA5+ITGB1)	16.963535179151272	11.779156154365507	1.4401316152740167	0.0	VISFATIN	Secreted Signaling
COL1A1 - ITGAV	133.28998135638588	178.77109113382477	0.7455902434281583	0.0	COLLAGEN	ECM-Receptor
LAMB3 - ITGA2	13.165565139190115	8.276884758949835	1.590642557268195	0.0	LAMININ	ECM-Receptor
DLL1 - NOTCH3	23.62929940675678	14.368649521078716	1.644503846523137	0.0	NOTCH	Cell-Cell Contact
DLL1 - NOTCH1	25.025332363277997	12.98177534655826	1.927728041443325	0.0	NOTCH	Cell-Cell Contact
DLK1 - NOTCH4	19.856861466981826	10.6984470826286	1.856050818742098	0.0	NOTCH	Cell-Cell Contact
DLK1 - NOTCH3	33.05095241740776	15.480386617496139	2.1350211227963216	0.0	NOTCH	Cell-Cell Contact
LAMB3 - ITGB8	16.252046508560802	8.533444633046301	1.904511859797359	0.0	LAMININ	ECM-Receptor
DLK1 - NOTCH2	37.814001929850356	14.074792111163546	2.686647279135146	0.0	NOTCH	Cell-Cell Contact
LAMB3 - ITGAV	24.94733931522262	11.846571869786727	2.105869916583028	0.0	LAMININ	ECM-Receptor
DLK1 - NOTCH1	30.693358361954274	14.834217939383034	2.069091777360717	0.0	NOTCH	Cell-Cell Contact
LAMB1 - ITGAV	22.75139441248818	28.40310887698332	0.8010177516491848	0.0	LAMININ	ECM-Receptor
NEGR1 - NEGR1	4.963283061486263e-17	4.932352660883315	1.0062709223629214e-17	0.0	NEGR	Cell-Cell Contact
NCAM1 - NCAM1	7.82545295666779e-15	14.452633143995834	5.414551714348867e-16	0.0	NCAM	Cell-Cell Contact
MPZL1 - MPZL1	7.023624536005245e-16	9.352337423614426	7.510020455710636e-17	0.0	MPZ	Cell-Cell Contact
PTN - SDC4	47.92658449591265	31.242116154534735	1.5340377155904081	0.0	PTN	Secreted Signaling
MPZ - MPZ	7.899723147573048e-17	4.569845912408973	1.7286629131459588e-17	0.0	MPZ	Cell-Cell Contact
EDN3 - EDNRA	14.877391400285607	9.351135782380343	1.5909715938803906	0.0	EDN	Secreted Signaling
L1CAM - L1CAM	3.224165093634182e-15	9.096681746301394	3.5443309808492425e-16	0.0	L1CAM	Cell-Cell Contact
JAM3 - JAM3	8.248442488295184e-16	9.533893485434664	8.65170405028825e-17	0.0	JAM	Cell-Cell Contact
JAM2 - JAM2	4.3433826366686795e-16	6.381231861606134	6.806495565223774e-17	0.0	JAM	Cell-Cell Contact
PRSS3 - F2R	19.34971186597491	11.923254176008875	1.6228549337570128	0.0	PARs	Secreted Signaling
PRSS3 - F2RL1	4.478134452922477	8.853697479483293	0.5057925757345646	0.0	PARs	Secreted Signaling
PRSS3 - PARD3	21.536904855495365	8.899807475485089	2.419929297888715	0.0	PARs	Secreted Signaling
ESAM - ESAM	4.2980730891827263e-16	9.687925847750092	4.4365255852788176e-17	0.0	ESAM	Cell-Cell Contact
THBS4 - SDC4	13.682670381847593	6.9342923676760195	1.9731891383220184	0.0	THBS	ECM-Receptor
THBS2 - SDC4	29.464069335793194	18.988411428031096	1.5516869037447603	0.0	THBS	ECM-Receptor
TNXB - SDC4	22.605646237601007	9.329239859129538	2.4230962628192323	0.0	TENASCIN	ECM-Receptor
LAMC3 - ITGA7	16.327946216407845	7.006514892415364	2.330394849239961	0.0	LAMININ	ECM-Receptor
TNXB - ITGA8	25.269162058094683	9.442931222969078	2.6759870914478046	0.0	TENASCIN	ECM-Receptor
LAMB3 - (ITGA6+ITGB1)	22.09202085877906	10.121856809395151	2.1826055510164055	0.0	LAMININ	ECM-Receptor
TNXB - ITGB1	37.22708237205734	27.230751620605336	1.367097129404531	0.0	TENASCIN	ECM-Receptor
LAMA1 - (ITGA7+ITGB1)	11.043500301898673	6.2954947559441825	1.7541910096059474	0.0	LAMININ	ECM-Receptor
LAMA2 - (ITGA7+ITGB1)	14.069244032512783	6.839658402190011	2.0570097518332067	0.0	LAMININ	ECM-Receptor
LAMA4 - (ITGA7+ITGB1)	57.33810700596613	30.923964374322633	1.8541641786903682	0.0	LAMININ	ECM-Receptor
LAMA5 - (ITGA7+ITGB1)	29.658283033536726	15.030050183050152	1.9732657357979604	0.0	LAMININ	ECM-Receptor
LAMB1 - (ITGA7+ITGB1)	77.61816738185672	47.09409985612284	1.6481505670346805	0.0	LAMININ	ECM-Receptor
LAMB2 - (ITGA7+ITGB1)	33.1218015966517	21.277861114558593	1.5566320984203308	0.0	LAMININ	ECM-Receptor
LAMB3 - (ITGA7+ITGB1)	30.143486980261223	10.195333810878052	2.9565963743236354	0.0	LAMININ	ECM-Receptor
LAMC1 - (ITGA7+ITGB1)	42.677173265243425	23.32589682023563	1.829604820519493	0.0	LAMININ	ECM-Receptor
LAMC3 - (ITGA7+ITGB1)	18.481343231466973	8.121788954370512	2.275526159975107	0.0	LAMININ	ECM-Receptor
COL1A1 - ITGA9	151.90640150861785	194.28703687438352	0.7818658617292779	0.0	COLLAGEN	ECM-Receptor
TNXB - (ITGA8+ITGB1)	28.415591279087767	10.348209129423118	2.7459428896052716	0.0	TENASCIN	ECM-Receptor
TNC - (ITGA9+ITGB1)	7.667369127691226	10.83120833020487	0.7078960069772935	0.0	TENASCIN	ECM-Receptor
TNXB - (ITGA9+ITGB1)	20.784255992361402	10.978128838667999	1.8932421269418442	0.0	TENASCIN	ECM-Receptor
COL1A1 - (ITGA9+ITGB1)	154.03662349761103	202.7167237974695	0.7598614490805708	0.0	COLLAGEN	ECM-Receptor
LAMB3 - (ITGAV+ITGB8)	18.053569723583347	10.910598962321687	1.6546818177378682	0.0	LAMININ	ECM-Receptor
COL2A1 - ITGA9	14.139124077537161	8.771158329920032	1.6120019210354477	0.0	COLLAGEN	ECM-Receptor
COL6A1 - (ITGA9+ITGB1)	58.49438184889517	44.322390448843535	1.319747902956832	0.0	COLLAGEN	ECM-Receptor
COL4A2 - ITGA9	32.35657453675483	24.027419145042675	1.3466521036417938	0.0	COLLAGEN	ECM-Receptor
FN1 - (ITGAV+ITGB1)	48.563856078842846	63.38557651242902	0.7661657233538005	0.0	FN1	ECM-Receptor
COL6A1 - ITGA9	56.358549477333774	42.09533954139227	1.3388310936871413	0.0	COLLAGEN	ECM-Receptor
LAMB3 - (ITGA9+ITGB1)	29.07305852265295	11.791074800276732	2.465683494940649	0.0	LAMININ	ECM-Receptor
LAMB3 - (ITGA6+ITGB4)	18.06764185805991	10.192830457224241	1.7725833794531862	0.0	LAMININ	ECM-Receptor
LAMC1 - ITGA7	39.22042657475402	21.783646882666314	1.80045273346597	0.0	LAMININ	ECM-Receptor
LAMA4 - ITGA9	26.23875494631325	20.417457806723206	1.285113709781889	0.0	LAMININ	ECM-Receptor
LAMB3 - ITGA7	27.027555042254292	9.07081583482767	2.9796167769696287	0.0	LAMININ	ECM-Receptor
TNC - SDC4	13.392642075859609	8.814642006307714	1.519363130831167	0.0	TENASCIN	ECM-Receptor
COL9A3 - SDC4	13.307403627430627	7.391446353895363	1.8003788420134441	0.0	COLLAGEN	ECM-Receptor
COL6A2 - SDC4	67.90107853960512	50.98396646364566	1.3318123961191268	0.0	COLLAGEN	ECM-Receptor
TNXB - ITGAV	16.59116368804517	10.710992796754413	1.548984674237904	0.0	TENASCIN	ECM-Receptor
VWF - ITGAV	18.991740265100447	11.886233076629267	1.5977930217809746	0.0	VWF	ECM-Receptor
FN1 - ITGAV	44.396326952902655	60.88814380730101	0.729145678892894	0.0	FN1	ECM-Receptor
LAMA4 - (ITGA1+ITGB1)	32.586744766288525	21.661533855834133	1.50435998591632	0.0	LAMININ	ECM-Receptor
LAMA5 - (ITGA1+ITGB1)	21.377307854721828	13.508260602388871	1.5825359373760788	0.0	LAMININ	ECM-Receptor
LAMB3 - (ITGA1+ITGB1)	39.123815216326314	14.199871294681904	2.7552232273386066	0.0	LAMININ	ECM-Receptor
LAMC1 - (ITGA1+ITGB1)	31.0393080134188	17.671371929855	1.7564741513350905	0.0	LAMININ	ECM-Receptor
LAMC3 - (ITGA1+ITGB1)	16.57768095775042	11.879766288973283	1.395455142340444	0.0	LAMININ	ECM-Receptor
COL4A6 - SDC4	10.19010762186975	6.42365181612146	1.5863418369432172	0.0	COLLAGEN	ECM-Receptor
TNFSF10 - TNFRSF10B	15.311196413045497	8.325756615776646	1.8390156137920246	0.0	TRAIL	Secreted Signaling
COL4A2 - SDC4	39.77539601472837	29.504557665962167	1.3481102297837573	0.0	COLLAGEN	ECM-Receptor
THBS4 - SDC1	13.22284921414014	7.8767090840921385	1.6787276352309504	0.0	THBS	ECM-Receptor
LAMC1 - ITGA9	23.23302457089342	16.106776451332543	1.4424378857615119	0.0	LAMININ	ECM-Receptor
TNXB - SDC1	19.17532223816116	9.430110825292477	2.033414303756757	0.0	TENASCIN	ECM-Receptor
LAMB3 - (ITGA3+ITGB1)	15.303213550733462	9.562594014613115	1.6003203238941022	0.0	LAMININ	ECM-Receptor
LAMB3 - ITGA9	24.73891343300516	9.868287286313313	2.5069105423507945	0.0	LAMININ	ECM-Receptor
LAMA1 - ITGA7	9.283392709667261	5.284750591329119	1.75663781085504	0.0	LAMININ	ECM-Receptor
LAMA2 - ITGA7	11.808692015729806	5.587478177238051	2.1134206955537436	0.0	LAMININ	ECM-Receptor
LAMB3 - CD44	20.564893098584136	8.98959351790801	2.2876332570118074	0.0	LAMININ	ECM-Receptor
LAMA4 - ITGA7	51.36751195436107	29.18926712256177	1.759808210965896	0.0	LAMININ	ECM-Receptor
LAMA5 - ITGA7	24.226054965613805	13.915214002629858	1.7409760971721517	0.0	LAMININ	ECM-Receptor
LAMB1 - ITGA7	73.4491364837826	44.93050516638203	1.63472759123881	0.0	LAMININ	ECM-Receptor
LAMB2 - ITGA7	30.151914094472474	19.78519800684162	1.5239632215985959	0.0	LAMININ	ECM-Receptor
LAMB3 - ITGA6	18.35659718605483	8.691211639583058	2.112087237923417	0.0	LAMININ	ECM-Receptor
OCLN - OCLN	2.2050327312527574e-15	9.424368655210785	2.3397140030526957e-16	0.0	OCLN	Cell-Cell Contact
VIP - VIPR1	28.28723531267137	11.04501972179933	2.561085088588971	0.0	VIP	Secreted Signaling
SEMA3B - NRP2	27.034842628373703	15.076444588399179	1.7931842265500788	0.0	SEMA3	Secreted Signaling
IHH - PTCH1	22.95323972664712	14.5293350464227	1.579785974603049	0.0	HH	Secreted Signaling
COL4A1 - ITGA2	47.72034924343143	57.78885450518788	0.8257708108602054	0.0	COLLAGEN	ECM-Receptor
SEMA4G - PLXNB2	28.75361421230982	18.137660979533575	1.5852989117370329	0.0	SEMA4	Cell-Cell Contact
SEMA3B - NRP1	35.5791477755807	16.270080911411483	2.1867837025092025	0.0	SEMA3	Secreted Signaling
COL1A1 - ITGB1	105.34132699924058	145.106090537821	0.7259607547057718	0.0	COLLAGEN	ECM-Receptor
LAMA4 - ITGA1	30.046694735304413	20.003110653219554	1.502101110982372	0.0	LAMININ	ECM-Receptor
COL1A1 - ITGA1	138.17759079505402	179.77636697301472	0.7686082054144254	0.0	COLLAGEN	ECM-Receptor
LAMA5 - ITGA1	18.64773573417574	12.266636685683055	1.5201995634174406	0.0	LAMININ	ECM-Receptor
CDH1 - ITGAE	18.739202439563915	10.04430391989803	1.8656546624839836	0.0	CDH1	Cell-Cell Contact
LAMC1 - ITGA1	29.02401591329658	16.412669496072404	1.7683909323978104	0.0	LAMININ	ECM-Receptor
BMP7 - (BMPR1A+ACVR2A)	11.06516678966086	6.370537105780108	1.7369283948791738	0.0	BMP	Secreted Signaling
FGF2 - FGFR3	25.846821261227294	12.964226289597132	1.9937033405508764	0.0	FGF	Secreted Signaling
LAMB3 - ITGA1	34.35579351307333	12.70361215543137	2.704411398326945	0.0	LAMININ	ECM-Receptor
CDH1 - ITGA1	31.99727622506689	12.418494024650135	2.5765826485525363	0.0	CDH1	Cell-Cell Contact
GDF15 - TGFBR2	21.772367169907234	12.552388483518692	1.7345198643664024	0.0	GDF	Secreted Signaling
TGFB1 - ACVR1B	10.385118734084205	6.151055976552696	1.688347297386237	0.0	TGFb	Secreted Signaling
COL1A2 - ITGA2	251.72047075692024	322.78976740839613	0.7798279133131303	0.0	COLLAGEN	ECM-Receptor
CDH1 - ITGB1	71.4973181665469	32.62014052254356	2.191815149206227	0.0	CDH1	Cell-Cell Contact
LAMB3 - ITGB1	78.62266635413258	34.19473982056104	2.2992620141784896	0.0	LAMININ	ECM-Receptor
ARTN - GFRA1	19.422105132751696	12.97781864498795	1.4965616074664856	0.0	GDNF	Secreted Signaling
BMP5 - (BMPR1A+ACVR2A)	10.07442267734376	5.227719871570691	1.9271160132604537	0.0	BMP	Secreted Signaling
COL2A1 - ITGA1	20.477765618780605	11.670447702185433	1.754668384739507	0.0	COLLAGEN	ECM-Receptor
PTPRM - PTPRM	4.614015852528763e-16	10.719092890805708	4.3044835039039836e-17	0.0	PTPRM	Cell-Cell Contact
SPP1 - ITGB5	18.249247812820858	8.665271656350019	2.1060214308973895	0.0	SPP1	Secreted Signaling
LAMA4 - ITGB4	41.96005670380216	29.586613360144927	1.4182108710125323	0.0	LAMININ	ECM-Receptor
SPP1 - ITGAV	15.863469555338856	10.862487897271532	1.4603900787151611	0.0	SPP1	Secreted Signaling
SPP1 - ITGA8	19.85848910773847	8.780607629079164	2.2616303958250166	0.0	SPP1	Secreted Signaling
COL6A1 - ITGA1	55.810858233893754	38.454461014551	1.451349382137359	0.0	COLLAGEN	ECM-Receptor
SPP1 - ITGA5	17.186396796691604	11.155202964900985	1.5406619539570299	0.0	SPP1	Secreted Signaling
COL4A2 - ITGA1	34.92490415303548	22.983362729155676	1.5195732915415068	0.0	COLLAGEN	ECM-Receptor
COL1A2 - ITGB1	99.32549086532883	142.8968721086615	0.6950851295737238	0.0	COLLAGEN	ECM-Receptor
LAMB1 - ITGB4	67.46439781093693	46.325663177061244	1.4563072211849695	0.0	LAMININ	ECM-Receptor
BMP4 - BMPR1A	15.100645499453186	8.909253639063724	1.6949394541022538	0.0	BMP	Secreted Signaling
PECAM1 - PECAM1	4.1454218903285786e-15	14.149109544462679	2.9298111498125403e-16	0.0	PECAM1	Cell-Cell Contact
POSTN - ITGB5	56.20280787276309	36.71482874546564	1.5307931370837256	0.0	PERIOSTIN	Secreted Signaling
BMP4 - (BMPR1A+ACVR2A)	18.449794120764878	10.549583408958155	1.7488647092072165	0.0	BMP	Secreted Signaling
LAMA2 - ITGA2	2.8239453336138656	4.41848712451636	0.6391204170189746	0.0	LAMININ	ECM-Receptor
