node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Tgfbr2	Itga6	Endothelial	Endothelial	0.08551672916580733	0.09502520940228887	0.5836991242718337	0.6829751219622223	FALSE	0.8798042897533267
Bcam	Efcab14	Endothelial	Endothelial	0.022225823578631676	0.018574486268195755	0.40681913373450795	0.541420394809637	FALSE	0.8876092982997964
Icam1	Il1b	Immune	Immune	0.07376332616175728	0.18231381267715582	0.4146782443604108	0.8697161922334553	FALSE	0.8884397365876283
Lgals9	Cd44	Endothelial	Immune	0.07302541857981837	0.09379090112658527	0.6233088046414285	0.6758407825007328	TRUE	0.9071859436902137
Sox18	Npdc1	Endothelial	Endothelial	0.03211268052313454	0.03263575793765863	0.8377957869210773	0.6300972417614511	FALSE	0.9295384879927893
Itga5	Tspan14	Endothelial	Endothelial	0.07923276532499786	0.018642011687513407	0.5733028004291383	0.41054888828871455	FALSE	0.9360746218387687
Cd74	C1qa	Immune	Immune	0.2057980606911558	0.05913258632579614	0.8517665066675612	0.8665901450262423	FALSE	0.9428977086417435
Insig1	Cd83	Immune	Immune	0.03381242283505655	0.05315696588605576	0.7001744713744544	0.7680303591348079	FALSE	0.9365591584026889
Cav1	Emcn	Endothelial	Endothelial	0.021715324562663292	0.034886787994141466	0.4590733548123352	0.7933368392536589	FALSE	0.8945570871722526
Tyrobp	Fcer1g	Immune	Immune	0.0549039835245348	0.04295500583547673	0.8553230085808066	0.8484612568601533	FALSE	0.8975002037059722
Cst3	Fcer1g	Immune	Immune	0.06890713974073798	0.04295500583547673	0.5562367181455767	0.8484612568601533	FALSE	0.9085672964454726
Sat1	Rel	Immune	Immune	0.07032746169778503	0.03947485496882337	0.6407908712042392	0.6400389539767892	FALSE	0.8026637290906435
Flt1	Tgfbr2	Endothelial	Endothelial	0.0384876321627075	0.08551672916580733	0.8385611197846725	0.5836991242718337	FALSE	0.8786883066750953
