node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Yy1	Plxnd1	Endothelial	Endothelial	0.00990491386277453	0.09401789889943497	0.11474090084594922	0.769256669008072	FALSE	0.9097679165666107
Dusp6	Hdac7	Endothelial	Endothelial	0.022061172386073913	0.027923747759911077	0.54547630454899	0.5347510315507544	FALSE	0.8798042897533267
Rasip1	Adam15	Endothelial	Endothelial	0.041667771969777286	0.020598648850754218	0.8029874646455017	0.7812867492644681	FALSE	0.8876092982997964
Myh9	Yy1	Endothelial	Endothelial	0.013192396498434409	0.00990491386277453	0.35463410166362425	0.11474090084594922	FALSE	0.8884397365876283
Fam198b	Vgll4	Endothelial	Endothelial	0.023089554650183437	0.010939304258195974	0.6840323458718821	0.23964820875040002	FALSE	0.9017285015553118
Col6a2	Itga2	Muscle	Endothelial	0.028506572911307947	0.08361168363763824	0.20514700806754826	0.7046385761335899	TRUE	0.6871959819333933
Jam2	Itgb1	Endothelial	Muscle	0.08442902476931784	0.016734256197412475	0.675005151292078	0.13410799074695234	TRUE	0.7825417364865297
Shank3	Csnk1e	Endothelial	Endothelial	0.0296308945228842	0.010379465250911251	0.8459648446295933	0.17959711229040798	FALSE	0.883647548177934
Rap1b	Itgb1	Endothelial	Endothelial	0.011432021875190917	0.021071337877330343	0.23296463728370254	0.1468003811415965	FALSE	0.8878468391111569
Taf1c	Prrc2b	Endothelial	Endothelial	0.016374228980883886	0.01760183961163474	0.5653171592243341	0.2532930379531593	FALSE	0.8898448587203829
Esam	Igfbp2	Endothelial	Endothelial	0.10451546137578321	0.01490208592439787	0.697320650022725	0.3440434709460378	FALSE	0.9360746218387687
Sav1	Adcy4	Endothelial	Endothelial	0.014614206091712748	0.028310392398927683	0.3259416302431069	0.8581600916098988	FALSE	0.9149452690169398
Ssbp4	Hla-a	Endothelial	Endothelial	0.009930741210145214	0.032288540729389956	0.1797704842642857	0.24305096247025543	FALSE	0.9029976306754524
Arap3	Sema6a	Endothelial	Endothelial	0.02540161907962608	0.04557172391195086	0.6785720144045388	0.34512874493631834	FALSE	0.9085204048695746
Rab11a	Clic4	Endothelial	Endothelial	0.011430842699106774	0.01210310523141896	0.2586526387917908	0.29014711875149696	FALSE	0.8960160733405397
Plekhg1	Gnb1	Endothelial	Endothelial	0.024687730095010685	0.012621134691057731	0.7466316086356003	0.25191271465453646	FALSE	0.8975002037059722
Thbd	Dusp1	Endothelial	Endothelial	0.03055680247210757	0.01022467438849791	0.8623102749302716	0.25406573838438884	FALSE	0.9224448845953007
Slc25a25	Rbms1	Endothelial	Endothelial	0.010825833683582402	0.011311451195509843	0.36623733644620915	0.152282722100063	FALSE	0.8723355690184402
Icam1	Slc25a25	Endothelial	Endothelial	0.06230322070329754	0.010825833683582402	0.4934675719449173	0.36623733644620915	FALSE	0.8770269526132263
A2m	Cd34	Endothelial	Endothelial	0.03618442013875251	0.10900185799467098	0.6806229756732696	0.8227395734230055	FALSE	0.9034667103806326
Sema6a	Flnb	Endothelial	Endothelial	0.04557172391195086	0.01216262122281386	0.34512874493631834	0.342143833161871	FALSE	0.8965600547957909
Jam2	Clec14a	Endothelial	Endothelial	0.08442902476931784	0.030923559243901708	0.675005151292078	0.8290207800120537	FALSE	0.8865155050322586
Igf2bp2	Stab1	Endothelial	Endothelial	0.011568402921025093	0.015774970925138056	0.1695655301990925	0.5095477037780148	FALSE	0.8673019810033477
Ccm2l	Srgap2	Endothelial	Endothelial	0.025814109736087377	0.01987688172229111	0.8628195397394263	0.43248541222930154	FALSE	0.8824998164072443
Tnfrsf1a	Igf2bp2	Endothelial	Endothelial	0.022677984202089073	0.011568402921025093	0.18275119047026095	0.1695655301990925	FALSE	0.8770915931672654
Yy1	Bmpr2	Endothelial	Endothelial	0.00990491386277453	0.058721685770505176	0.11474090084594922	0.45409822590676613	FALSE	0.8768140829613414
Ncam1	Fgfr1	Muscle	Endothelial	0.038329545332348454	0.026992643219443283	0.34134563301872367	0.21088237763845177	TRUE	0.8584743653738903
Fgf7	Fgfr1	Muscle	Endothelial	0.07609238128194709	0.026992643219443283	0.5670955849983713	0.21088237763845177	TRUE	0.8852642783753357
Rflnb	Plekhg1	Endothelial	Endothelial	0.02364020622874953	0.024687730095010685	0.6381488703804816	0.7466316086356003	FALSE	0.9294565247187423
Cd320	Madcam1	Endothelial	Endothelial	0.019794330326488207	0.12505633011519407	0.6003497638610797	0.8381844700149517	FALSE	0.8928879252288978
Col4a1	Itgb1	Endothelial	Muscle	0.05931515314960636	0.016734256197412475	0.38295894041073786	0.13410799074695234	TRUE	0.8826076698602051
Pkn1	Gata2	Endothelial	Endothelial	0.016076619828046725	0.03182323289834461	0.3430925781841125	0.838265167188929	FALSE	0.9225287870965443
Hbegf	Myo10	Endothelial	Endothelial	0.08166570442947303	0.026956859840303892	0.567933682716931	0.6526731565161914	FALSE	0.8922880081554313
Afap1l1	Msx1	Endothelial	Endothelial	0.025664818375509137	0.029262232130696716	0.7915329756995626	0.7579778875649391	FALSE	0.8717014587379941
Jag2	Rbms1	Endothelial	Endothelial	0.10826000369654488	0.011311451195509843	0.8466914346378706	0.152282722100063	FALSE	0.9210449866862189
Mef2a	Ephb4	Endothelial	Endothelial	0.012808730240591797	0.07080516505111616	0.33409655832706303	0.5328502357766243	FALSE	0.8860063602817758
Fgf7	Hand1	Muscle	Muscle	0.07609238128194709	0.032783004689427846	0.5670955849983713	0.8633857118340202	FALSE	0.8753641450145683
Stab1	Fgd5	Endothelial	Endothelial	0.015774970925138056	0.034328656225270655	0.5095477037780148	0.7888720278157124	FALSE	0.9109872326550006
Fgf7	Kcnma1	Muscle	Muscle	0.07609238128194709	0.020971318325037187	0.5670955849983713	0.7206090343948293	FALSE	0.8865842230648623
Icam2	Gimap1	Endothelial	Endothelial	0.10309364463396244	0.022912320576275014	0.726475266533156	0.7612622204074485	FALSE	0.9129064872244637
Psd	Acta2	Muscle	Muscle	0.024105756666744815	0.03245724061791314	0.7756909877479524	0.5839402234473263	FALSE	0.9217354136803164
Ppm1f	Ehd4	Endothelial	Endothelial	0.020454592980668495	0.03284035823138319	0.6684271481906844	0.5300045798341219	FALSE	0.9007285804929537
Rgl2	Il6st	Endothelial	Endothelial	0.016625030796904968	0.041663970486198944	0.4112461796382984	0.341913752684618	FALSE	0.8765656290661586
Col4a1	Itga1	Endothelial	Muscle	0.05931515314960636	0.023248600715150433	0.38295894041073786	0.19312058519483438	TRUE	0.8754346611595799
Prcp	Cd36	Endothelial	Endothelial	0.03789105854984208	0.08727461521651872	0.6664666066500017	0.7397555639557082	FALSE	0.8881627668669417
Postn	Ccdc107	Muscle	Muscle	0.03976273169618855	0.015526707118625572	0.31981829236131165	0.278096165300178	FALSE	0.8963636496218116
Col9a3	Itga1	Endothelial	Muscle	0.03218086454418115	0.023248600715150433	0.2886208847961205	0.19312058519483438	TRUE	0.8552044949372557
Cav1	Efna1	Endothelial	Endothelial	0.021715324562663292	0.07565938416017948	0.4590733548123352	0.5548081285929725	FALSE	0.8905360168949779
Sav1	Tnfrsf10d	Endothelial	Endothelial	0.014614206091712748	0.023782080503638885	0.3259416302431069	0.692448298823338	FALSE	0.9183248236037945
Cd40	Arhgef15	Endothelial	Endothelial	0.0786263839842931	0.03105798656035479	0.6376943936086211	0.8650920785255272	FALSE	0.9133665507543038
Tpm1	Nrp2	Muscle	Muscle	0.02953902846373782	0.06735198300020795	0.5783358678770224	0.5144202553561562	FALSE	0.8349887364480917
Tnc	Itgb1	Muscle	Endothelial	0.048203690775674594	0.021071337877330343	0.40962138243999235	0.1468003811415965	TRUE	0.8965157999100217
Arhgef7	Lamb2	Endothelial	Endothelial	0.01630673369237078	0.02652535519080469	0.4370342238399584	0.2089389245557412	FALSE	0.9064858731977905
Bche	Csrp1	Muscle	Muscle	0.023590034905457705	0.018764683064190105	0.6217899032032435	0.6904433866790318	FALSE	0.8932224445982482
Scarf1	Lifr	Endothelial	Endothelial	0.023946138438441282	0.08282837036007756	0.8270020728852684	0.6216381651928828	FALSE	0.9200060414526321
Pdgfb	Efcab14	Endothelial	Endothelial	0.05033518366885184	0.018574486268195755	0.40496618508826665	0.541420394809637	FALSE	0.8998242967544502
Rap1b	Vwf	Endothelial	Endothelial	0.011432021875190917	0.10905962103351007	0.23296463728370254	0.8631649538226915	FALSE	0.9348243617837345
Sema6b	Hecw2	Endothelial	Endothelial	0.056656568258585185	0.028963026802149718	0.4803343788071611	0.8235704774561696	FALSE	0.8450009111887313
Lama5	Itga1	Endothelial	Muscle	0.027888634191504738	0.023248600715150433	0.23287177082077343	0.19312058519483438	TRUE	0.8891168563018367
Igf1r	Rock2	Endothelial	Endothelial	0.048846426603452425	0.013641732025787095	0.3902424984188214	0.2530232455962801	FALSE	0.8797118438174104
Gas6	Tnfrsf10d	Endothelial	Endothelial	0.022355355977065644	0.023782080503638885	0.19293383795451716	0.692448298823338	FALSE	0.8941540712698143
Atp2b1	Tek	Endothelial	Endothelial	0.015055319510425234	0.10070674661995714	0.2511799301326409	0.8305856881646827	FALSE	0.8958218551461802
Vsir	Aqp1	Endothelial	Endothelial	0.05171501512436643	0.027653754340002883	0.41364500141589555	0.7297115746859542	FALSE	0.8848240235397509
Lgals9	Scaf11	Endothelial	Endothelial	0.07302541857981837	0.011842635338159015	0.6233088046414285	0.21974561821989705	FALSE	0.8961207079124922
Entpd1	Ctnnd1	Endothelial	Endothelial	0.05102555420882884	0.010730172275213242	0.441225525140542	0.2320315234639346	FALSE	0.903508466728132
Taf1c	Plxna2	Endothelial	Endothelial	0.016374228980883886	0.03650309116464265	0.5653171592243341	0.2961497105129825	FALSE	0.8873489039002624
Elk3	Tnfsf10	Endothelial	Endothelial	0.03201062244669938	0.05518672122002318	0.6962809026179516	0.45705497159363806	FALSE	0.8980234948445952
Csnk1e	Tnfrsf25	Endothelial	Endothelial	0.010379465250911251	0.06233711523376144	0.17959711229040798	0.564969277518188	FALSE	0.8654095914569898
Adcy4	Npr1	Endothelial	Endothelial	0.028310392398927683	0.09895501315220517	0.8581600916098988	0.8510157891247906	FALSE	0.9054349315367302
Lrp6	Stk25	Endothelial	Endothelial	0.026886301356893447	0.011202842331047817	0.22230506300571312	0.2257532885080609	FALSE	0.8795189522830761
Fzd4	Spry4	Endothelial	Endothelial	0.06555865633842224	0.023629840100661582	0.5758921009879775	0.43566477525148295	FALSE	0.8855855278328848
Tnfrsf12a	Des	Muscle	Muscle	0.023867056368798763	0.023031691392586828	0.20179778030804052	0.8435841010329633	FALSE	0.9020352739099669
Jag1	Ptprb	Endothelial	Endothelial	0.03418132012184433	0.03290070241691145	0.2779710721939982	0.8480296477504351	FALSE	0.934586608772197
Myh9	Sele	Endothelial	Endothelial	0.013192396498434409	0.10970709202729571	0.35463410166362425	0.8765237212202177	FALSE	0.8953818552313133
Insr	Igfbp3	Endothelial	Endothelial	0.0301311339198067	0.028268683949948425	0.2731608094044077	0.39871276360772373	FALSE	0.9326127104268117
Tagln	Actg2	Muscle	Muscle	0.042241386881220026	0.029323021503302883	0.7660572197291108	0.8393440724398927	FALSE	0.9039603844873229
Acta2	Tagln	Muscle	Muscle	0.03245724061791314	0.042241386881220026	0.5839402234473263	0.7660572197291108	FALSE	0.9074714118293964
Tagln	Actb	Muscle	Muscle	0.042241386881220026	0.01959287531045656	0.7660572197291108	0.28728471884004897	FALSE	0.8994464947931972
Tagln	Mylk	Muscle	Muscle	0.042241386881220026	0.035369009102728013	0.7660572197291108	0.7614179290626542	FALSE	0.9063719816568707
Myl9	Tagln	Muscle	Muscle	0.024181026370347688	0.042241386881220026	0.6780507686772836	0.7660572197291108	FALSE	0.8933431931845994
Tagln	Tpm2	Muscle	Muscle	0.042241386881220026	0.019733997488426785	0.7660572197291108	0.6791373531283729	FALSE	0.9119090828196573
Actb	Csrp1	Muscle	Muscle	0.01959287531045656	0.018764683064190105	0.28728471884004897	0.6904433866790318	FALSE	0.9153016807814273
Tpm1	Actb	Muscle	Muscle	0.02953902846373782	0.01959287531045656	0.5783358678770224	0.28728471884004897	FALSE	0.9162111063485145
Tagln	Des	Muscle	Muscle	0.042241386881220026	0.023031691392586828	0.7660572197291108	0.8435841010329633	FALSE	0.8997545179301997
Hla-e	Dusp1	Endothelial	Endothelial	0.03629577884278771	0.01022467438849791	0.2602227969967942	0.25406573838438884	FALSE	0.8812769445816846
Col4a2	Col4a1	Endothelial	Endothelial	0.0327984934770597	0.05931515314960636	0.22315668955054294	0.38295894041073786	FALSE	0.8932436652713399
Yy1	Prrc2b	Endothelial	Endothelial	0.00990491386277453	0.01760183961163474	0.11474090084594922	0.2532930379531593	FALSE	0.9457880321496043
Ctnnd1	Sun1	Endothelial	Endothelial	0.010730172275213242	0.009949154441936411	0.2320315234639346	0.17515891696875802	FALSE	0.9291905565914267
Madcam1	Prcp	Endothelial	Endothelial	0.12505633011519407	0.03789105854984208	0.8381844700149517	0.6664666066500017	FALSE	0.8603038094470626
Madcam1	Aplnr	Endothelial	Endothelial	0.12505633011519407	0.12216816430243348	0.8381844700149517	0.8286382056891046	FALSE	0.8543454508991377
Gpihbp1	Gja4	Endothelial	Endothelial	0.03543533145988303	0.03434466546389219	0.8641553367092486	0.5827332709330187	FALSE	0.8925558351442833
Col4a1	Col15a1	Endothelial	Endothelial	0.05931515314960636	0.028252355091871767	0.38295894041073786	0.7028635421097215	FALSE	0.8945539357900323
Igfbp4	Prcp	Endothelial	Endothelial	0.012835649731322415	0.03789105854984208	0.5061016122175136	0.6664666066500017	FALSE	0.8903379782349972
Sox18	Cav1	Endothelial	Endothelial	0.03211268052313454	0.021715324562663292	0.8377957869210773	0.4590733548123352	FALSE	0.8868341129843489
Asap1	Igf2bp2	Endothelial	Endothelial	0.0130220269036847	0.011568402921025093	0.4021418969403938	0.1695655301990925	FALSE	0.9030886799755408
Rab11a	Hyal2	Endothelial	Endothelial	0.011430842699106774	0.0206951911792971	0.2586526387917908	0.5543433523289449	FALSE	0.8987312236986542
Gpihbp1	Aqp1	Endothelial	Endothelial	0.03543533145988303	0.027653754340002883	0.8641553367092486	0.7297115746859542	FALSE	0.9146519317495514
Slc25a37	Rbms1	Endothelial	Endothelial	0.011529808934245444	0.011311451195509843	0.22372634207521108	0.152282722100063	FALSE	0.8831635443393988
Plvap	Igfbp4	Endothelial	Endothelial	0.033539394152667275	0.012835649731322415	0.8329993782787015	0.5061016122175136	FALSE	0.9028367390168263
Notch1	Podxl	Endothelial	Endothelial	0.06324144803538113	0.11858651041553345	0.4460160697207689	0.8460541590098521	FALSE	0.9044701594947328
Igfbp3	Gja4	Endothelial	Endothelial	0.028268683949948425	0.03434466546389219	0.39871276360772373	0.5827332709330187	FALSE	0.8908844112113914
Igfbp3	Myo10	Endothelial	Endothelial	0.028268683949948425	0.026956859840303892	0.39871276360772373	0.6526731565161914	FALSE	0.8855786595535201
Dusp1	Tm4sf1	Endothelial	Endothelial	0.01022467438849791	0.0244112983994344	0.25406573838438884	0.6533172494558606	FALSE	0.8798624337134826
Hla-b	Hla-c	Endothelial	Endothelial	0.045203862119214025	0.02488707624811148	0.3156094446328907	0.17580877786415475	FALSE	0.8671109147922157
Arih1	Slc25a37	Endothelial	Endothelial	0.01073968611100659	0.011529808934245444	0.19698516143446493	0.22372634207521108	FALSE	0.8777040945656126
Ptprb	Mmrn2	Endothelial	Endothelial	0.03290070241691145	0.04626278359866128	0.8480296477504351	0.8692302177882916	FALSE	0.803793785965363
Shc2	Hif1a	Endothelial	Endothelial	0.016444336503620854	0.009691325889186	0.2598998709554623	0.19672753743871824	FALSE	0.9097663143064583
Cav1	Cd34	Endothelial	Endothelial	0.021715324562663292	0.10900185799467098	0.4590733548123352	0.8227395734230055	FALSE	0.9038080334661251
Lamb2	Itga2	Muscle	Endothelial	0.032852867286267295	0.08361168363763824	0.2803755074497283	0.7046385761335899	TRUE	0.9163060982934816
Lrrfip1	Rbms1	Endothelial	Endothelial	0.01169194223978846	0.011311451195509843	0.3310931083034075	0.152282722100063	FALSE	0.9272409881790254
Yy1	Hif1a	Endothelial	Endothelial	0.00990491386277453	0.009691325889186	0.11474090084594922	0.19672753743871824	FALSE	0.8795532129807196
Arih1	Asap1	Endothelial	Endothelial	0.01073968611100659	0.0130220269036847	0.19698516143446493	0.4021418969403938	FALSE	0.9025004075206666
Stom	Lrrfip1	Endothelial	Endothelial	0.01619760058507084	0.01169194223978846	0.3497981675248381	0.3310931083034075	FALSE	0.910378147750558
Qki	Igf2bp2	Endothelial	Endothelial	0.01028700305799255	0.011568402921025093	0.24086946050546457	0.1695655301990925	FALSE	0.8798497731028172
Pecam1	Kdr	Endothelial	Endothelial	0.1212224320521816	0.13671903125444942	0.8309619969240292	0.8559208426988136	FALSE	0.8623031253482585
Prcp	Calcrl	Endothelial	Endothelial	0.03789105854984208	0.10694317522985221	0.6664666066500017	0.7745553462760133	FALSE	0.865129874288521
Ccdc107	Actb	Muscle	Muscle	0.015526707118625572	0.01959287531045656	0.278096165300178	0.28728471884004897	FALSE	0.8761742513884817
Cdh5	Nrp1	Endothelial	Endothelial	0.13170547900166263	0.08461873859176845	0.8659680142122235	0.6303536695462906	FALSE	0.8556560177418825
Rasip1	Skil	Endothelial	Endothelial	0.041667771969777286	0.013607881788709945	0.8029874646455017	0.32205409856016814	FALSE	0.9013030669531493
Sav1	Qki	Endothelial	Endothelial	0.014614206091712748	0.01028700305799255	0.3259416302431069	0.24086946050546457	FALSE	0.9702477491903032
Igfbp3	Notch4	Endothelial	Endothelial	0.028268683949948425	0.12195269730343951	0.39871276360772373	0.8475447638819485	FALSE	0.9620503393179397
Podxl	Btnl9	Endothelial	Endothelial	0.11858651041553345	0.04018682234080852	0.8460541590098521	0.8900954845506495	FALSE	0.89338593870012
Ramp2	Cav1	Endothelial	Endothelial	0.023168212874655245	0.021715324562663292	0.7252804445391322	0.4590733548123352	FALSE	0.9150782685294341
Cdh5	Efnb2	Endothelial	Endothelial	0.13170547900166263	0.09748897044450622	0.8659680142122235	0.6535595910837106	FALSE	0.9100864046344727
Asap1	Gnb1	Endothelial	Endothelial	0.0130220269036847	0.012621134691057731	0.4021418969403938	0.25191271465453646	FALSE	0.9065431788409345
Pecam1	Hla-b	Endothelial	Endothelial	0.1212224320521816	0.045203862119214025	0.8309619969240292	0.3156094446328907	FALSE	0.891682243696691
Arih1	Ehd4	Endothelial	Endothelial	0.01073968611100659	0.03284035823138319	0.19698516143446493	0.5300045798341219	FALSE	0.8816381316756081
Arpc1b	Vgll4	Endothelial	Endothelial	0.010734521861863001	0.010939304258195974	0.2303420071578614	0.23964820875040002	FALSE	0.9271845315644146
