node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Erbb3	Heph	Epithelial	Epithelial	0.06356837746591368	0.01310081143275215	0.44786506898450196	0.28237751972632547	FALSE	0.9097679165666107
Wnk1	Cxorf36	Endothelial	Endothelial	0.01322411342377882	0.04064012432899376	0.2936496780501244	0.8504883697591703	FALSE	0.8798042897533267
Rab11a	Flnb	Endothelial	Endothelial	0.011430842699106774	0.01216262122281386	0.2586526387917908	0.342143833161871	FALSE	0.8876092982997964
Robo4	Stk25	Endothelial	Endothelial	0.03071344908711584	0.011202842331047817	0.8677469032398138	0.2257532885080609	FALSE	0.8884397365876283
Gsn	Podxl	Endothelial	Endothelial	0.01635361262351085	0.11858651041553345	0.3501854686088033	0.8460541590098521	FALSE	0.9017285015553118
Pecam1	Cdh5	Endothelial	Endothelial	0.1212224320521816	0.13170547900166263	0.8309619969240292	0.8659680142122235	FALSE	0.8878468391111569
Lmo7	Liph	Epithelial	Epithelial	0.026445992481017738	0.02253134225663359	0.7460960779951884	0.7958611801559105	FALSE	0.8898448587203829
Mef2a	Rock2	Endothelial	Endothelial	0.012808730240591797	0.013641732025787095	0.33409655832706303	0.2530232455962801	FALSE	0.9360746218387687
Prcp	Anxa1	Endothelial	Endothelial	0.03789105854984208	0.04192511767836025	0.6664666066500017	0.2838729129401487	FALSE	0.9016016112172093
Sema6b	Plxna2	Endothelial	Epithelial	0.056656568258585185	0.014615101307342348	0.4803343788071611	0.1281886886215572	TRUE	0.9149452690169398
Icam2	Gimap1	Endothelial	Endothelial	0.10309364463396244	0.022912320576275014	0.726475266533156	0.7612622204074485	FALSE	0.9029976306754524
Dsg2	Arse	Epithelial	Epithelial	0.06977649486754697	0.025362229199854733	0.5272639552683694	0.5712452413915591	FALSE	0.9136048501845103
Yy1	Plxnd1	Endothelial	Endothelial	0.00990491386277453	0.09401789889943497	0.11474090084594922	0.769256669008072	FALSE	0.6878795892657
Rgl2	Il6st	Endothelial	Endothelial	0.016625030796904968	0.041663970486198944	0.4112461796382984	0.341913752684618	FALSE	0.9085204048695746
Prcp	Cd36	Endothelial	Endothelial	0.03789105854984208	0.08727461521651872	0.6664666066500017	0.7397555639557082	FALSE	0.8960160733405397
Spint1	Ano9	Epithelial	Epithelial	0.037691425253883644	0.02367418552237309	0.6484295887865765	0.6814972613463476	FALSE	0.8975002037059722
Spint1	Mcoln3	Epithelial	Epithelial	0.037691425253883644	0.022824743890657775	0.6484295887865765	0.7762256634278001	FALSE	0.8723355690184402
Kif12	Tnfrsf14	Epithelial	Epithelial	0.01212777507613319	0.03600627006333841	0.6796944047139685	0.24092126164518068	FALSE	0.8770269526132263
Hla-b	Hla-a	Endothelial	Endothelial	0.045203862119214025	0.032288540729389956	0.3156094446328907	0.24305096247025543	FALSE	0.9034667103806326
Sav1	Tnfrsf10d	Endothelial	Endothelial	0.014614206091712748	0.023782080503638885	0.3259416302431069	0.692448298823338	FALSE	0.8965600547957909
Cd40	Arhgef15	Endothelial	Endothelial	0.0786263839842931	0.03105798656035479	0.6376943936086211	0.8650920785255272	FALSE	0.8865155050322586
