node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Kif12	Fzd5	Epithelial	Epithelial	0.01212777507613319	0.055569540971844175	0.6796944047139685	0.46977261510541823	FALSE	0.6592658412177776
Gucy2c	Oat	Epithelial	Epithelial	0.07346008471558871	0.014873048160493233	0.676010929327949	0.30309360529130047	FALSE	0.8944460469330748
Cxcl2	Cxcl3	Epithelial	Epithelial	0.07423297792416171	0.05178254865733545	0.415586499080848	0.31862543067297733	FALSE	0.7696174794009872
Spint1	Eda	Epithelial	Epithelial	0.037691425253883644	0.05417024358165424	0.6484295887865765	0.4879904438276439	FALSE	0.8866357147936459
Clcf1	Ier3	Epithelial	Epithelial	0.04112958621520205	0.01374361976422635	0.3597997116271324	0.32552040571766316	FALSE	0.9025970363464315
Ethe1	Ereg	Epithelial	Epithelial	0.01139406366612717	0.07121964103362466	0.36038665194341	0.6391957573083445	FALSE	0.9213078128589299
Tnfrsf12a	Des	Muscle	Muscle	0.023867056368798763	0.023031691392586828	0.20179778030804052	0.8435841010329633	FALSE	0.6600570373161005
Mt-nd4	Mt-atp6	Epithelial	Epithelial	0.00453499427103146	0.00379420085149366	0.23084642624655333	0.19949861365462238	FALSE	0.9316362334782008
Mt-cyb	Mt-co2	Epithelial	Epithelial	0.006439337921436435	0.007000691886875784	0.21114558432264546	0.23687140414249874	FALSE	0.8612008281005732
Mt-co3	Mt-co1	Epithelial	Epithelial	0.007112243677012572	0.007996600877525585	0.2926640192626972	0.22922777398802485	FALSE	0.8770486376018662
Mt-co2	Mt-co1	Epithelial	Epithelial	0.007000691886875784	0.007996600877525585	0.23687140414249874	0.22922777398802485	FALSE	0.9202758789144235
Mt-cyb	Mt-nd4	Epithelial	Epithelial	0.006439337921436435	0.00453499427103146	0.21114558432264546	0.23084642624655333	FALSE	0.8995605376296028
Serpina1	Apoa1	Epithelial	Epithelial	0.026704187737162956	0.034967067618201945	0.6224258787747874	0.6069864957829874	FALSE	0.8859817153378724
Tagln	Actg2	Muscle	Muscle	0.042241386881220026	0.029323021503302883	0.7660572197291108	0.8393440724398927	FALSE	0.8146813576803797
Ctsa	Serpina1	Epithelial	Epithelial	0.038354565016649356	0.026704187737162956	0.5634687478773204	0.6224258787747874	FALSE	0.7883379264522976
Acta2	Tagln	Muscle	Muscle	0.03245724061791314	0.042241386881220026	0.5839402234473263	0.7660572197291108	FALSE	0.8614956659011633
Apoa1	Rbp2	Epithelial	Epithelial	0.034967067618201945	0.022580686723180504	0.6069864957829874	0.4943082352424333	FALSE	0.8940326349786382
Serpina1	Apob	Epithelial	Epithelial	0.026704187737162956	0.02828969510161868	0.6224258787747874	0.7303336053018464	FALSE	0.9586657065581136
Ctsa	Ttr	Epithelial	Epithelial	0.038354565016649356	0.021684740102110477	0.5634687478773204	0.5894604186434305	FALSE	0.7539388123005661
Ttr	Cdhr5	Epithelial	Epithelial	0.021684740102110477	0.03127489444865715	0.5894604186434305	0.7193395484317582	FALSE	0.8585463212163567
Ttr	Gsta1	Epithelial	Epithelial	0.021684740102110477	0.012288571831595858	0.5894604186434305	0.5259031168845639	FALSE	0.7723427797283984
Ttr	Amn	Epithelial	Epithelial	0.021684740102110477	0.033113328456264704	0.5894604186434305	0.7685258560417072	FALSE	0.8179032591396642
Lgals3	Epcam	Epithelial	Epithelial	0.015179132746690614	0.02784995918093367	0.5187962552411411	0.6789856338718653	FALSE	0.9207095171116962
Mt-co1	Lgals3	Epithelial	Epithelial	0.007996600877525585	0.015179132746690614	0.22922777398802485	0.5187962552411411	FALSE	0.9113478892834606
Tagln	Actb	Muscle	Muscle	0.042241386881220026	0.01959287531045656	0.7660572197291108	0.28728471884004897	FALSE	0.9131531291815747
Tagln	Mylk	Muscle	Muscle	0.042241386881220026	0.035369009102728013	0.7660572197291108	0.7614179290626542	FALSE	0.9081185843579622
Cldn4	Epcam	Epithelial	Epithelial	0.02790726596475406	0.02784995918093367	0.7366994616359875	0.6789856338718653	FALSE	0.9042558166871077
Myl9	Tagln	Muscle	Muscle	0.024181026370347688	0.042241386881220026	0.6780507686772836	0.7660572197291108	FALSE	0.8183852072449571
Tagln	Tpm2	Muscle	Muscle	0.042241386881220026	0.019733997488426785	0.7660572197291108	0.6791373531283729	FALSE	0.8196455563992495
Ctsa	Mep1a	Epithelial	Epithelial	0.038354565016649356	0.024592374817120233	0.5634687478773204	0.675586766877258	FALSE	0.767068211467336
Actb	Csrp1	Muscle	Muscle	0.01959287531045656	0.018764683064190105	0.28728471884004897	0.6904433866790318	FALSE	0.6563110679898745
Cldn7	Epcam	Epithelial	Epithelial	0.024941934018108017	0.02784995918093367	0.7116193956169613	0.6789856338718653	FALSE	0.675628855480098
Tpm1	Actb	Muscle	Muscle	0.02953902846373782	0.01959287531045656	0.5783358678770224	0.28728471884004897	FALSE	0.8972266910912072
Tagln	Des	Muscle	Muscle	0.042241386881220026	0.023031691392586828	0.7660572197291108	0.8435841010329633	FALSE	0.9311580605580724
Oat	Gsta1	Epithelial	Epithelial	0.014873048160493233	0.012288571831595858	0.30309360529130047	0.5259031168845639	FALSE	0.9448418178561069
Cdhr5	Ugt2b17	Epithelial	Epithelial	0.03127489444865715	0.03196758203369145	0.7193395484317582	0.7691910103389122	FALSE	0.9135019577744157
Ugt2b17	Epcam	Epithelial	Epithelial	0.03196758203369145	0.02784995918093367	0.7691910103389122	0.6789856338718653	FALSE	0.8474087013966327
Cdhr5	Cel	Epithelial	Epithelial	0.03127489444865715	0.016857267942195414	0.7193395484317582	0.7415616713410134	FALSE	0.9222349009760943
Cldn7	F2rl1	Epithelial	Epithelial	0.024941934018108017	0.10009331090376636	0.7116193956169613	0.6711947355918865	FALSE	0.9249893890047162
Ctsa	Agt	Epithelial	Epithelial	0.038354565016649356	0.08676966710576955	0.5634687478773204	0.6515168863133247	FALSE	0.9221017660329864
Ctsa	Grn	Epithelial	Epithelial	0.038354565016649356	0.027599753839105436	0.5634687478773204	0.1965947023293911	FALSE	0.904075301743397
Gprc5a	Cldn4	Epithelial	Epithelial	0.03234442319151293	0.02790726596475406	0.6886461241629186	0.7366994616359875	FALSE	0.9598798037879159
Tmem45b	Mep1a	Epithelial	Epithelial	0.02925344727603309	0.024592374817120233	0.6575472582582468	0.675586766877258	FALSE	0.883836331991282
Lgals3	Agr3	Epithelial	Epithelial	0.015179132746690614	0.019768029414874412	0.5187962552411411	0.590386464304486	FALSE	0.9152798931218611
Lama3	Gprc5a	Epithelial	Epithelial	0.11241920113963398	0.03234442319151293	0.8063233285580804	0.6886461241629186	FALSE	0.9092631689791888
Perp	Epcam	Epithelial	Epithelial	0.021152791380922364	0.02784995918093367	0.5926643934449038	0.6789856338718653	FALSE	0.8978572979122954
Dhrs7	Tmem45b	Epithelial	Epithelial	0.011502157957117436	0.02925344727603309	0.22943671311238825	0.6575472582582468	FALSE	0.9232716972181944
Mt-cyb	Anxa4	Epithelial	Epithelial	0.006439337921436435	0.016316593882300598	0.21114558432264546	0.42422709555106214	FALSE	0.9084670321160562
Cldn4	Ier3	Epithelial	Epithelial	0.02790726596475406	0.01374361976422635	0.7366994616359875	0.32552040571766316	FALSE	0.8930414934556739
Bmp2	F2rl1	Epithelial	Epithelial	0.058136198559323705	0.10009331090376636	0.4518971826696988	0.6711947355918865	FALSE	0.8888556912253431
Cel	Aoc1	Epithelial	Epithelial	0.016857267942195414	0.0280749024341932	0.7415616713410134	0.760100161239377	FALSE	0.8269066467011935
Lamb3	Itga1	Epithelial	Muscle	0.10172191842394808	0.023248600715150433	0.7549561977108965	0.19312058519483438	TRUE	0.9176240735301844
Tmem45b	Tnfsf10	Epithelial	Epithelial	0.02925344727603309	0.049207698799751155	0.6575472582582468	0.39229010289245186	FALSE	0.9011610866632948
Ccdc107	Actb	Muscle	Muscle	0.015526707118625572	0.01959287531045656	0.278096165300178	0.28728471884004897	FALSE	0.9438646839113842
Tnc	Sdc4	Muscle	Epithelial	0.048203690775674594	0.05576812086850791	0.40962138243999235	0.4804803957800183	TRUE	0.889719536877345
Tagln	Bag2	Muscle	Muscle	0.042241386881220026	0.026946539637858105	0.7660572197291108	0.7434702298151028	FALSE	0.9317317935877348
Lama3	Itga1	Epithelial	Muscle	0.11241920113963398	0.023248600715150433	0.8063233285580804	0.19312058519483438	TRUE	0.9012382420203194
Ethe1	Lgals3	Epithelial	Epithelial	0.01139406366612717	0.015179132746690614	0.36038665194341	0.5187962552411411	FALSE	0.9390853098385941
Lama3	Lamc2	Epithelial	Epithelial	0.11241920113963398	0.10321003454513461	0.8063233285580804	0.7884530536319682	FALSE	0.9197371992200479
Vegfb	Map3k20	Muscle	Muscle	0.029041646854400197	0.018034386320428038	0.20818747477010544	0.4590740457519512	FALSE	0.9395205582923951
Cdh1	Itga1	Epithelial	Muscle	0.08794281002758596	0.023248600715150433	0.6762438980023182	0.19312058519483438	TRUE	0.9290702094352661
Lama3	Itgb1	Epithelial	Muscle	0.11241920113963398	0.016734256197412475	0.8063233285580804	0.13410799074695234	TRUE	0.8439156288964513
Actb	Map3k20	Muscle	Muscle	0.01959287531045656	0.018034386320428038	0.28728471884004897	0.4590740457519512	FALSE	0.8835373233155399
Ugt2b17	Guca2a	Epithelial	Epithelial	0.03196758203369145	0.07927820595170816	0.7691910103389122	0.735501319761177	FALSE	0.8865764783427661
Gprc5a	Cdh17	Epithelial	Epithelial	0.03234442319151293	0.029115948375333493	0.6886461241629186	0.7273076579064044	FALSE	0.8844542444696442
Ier3	Cxcl2	Epithelial	Epithelial	0.01374361976422635	0.07423297792416171	0.32552040571766316	0.415586499080848	FALSE	0.8982572914490946
Prss8	Tmem45b	Epithelial	Epithelial	0.022219880303014507	0.02925344727603309	0.6185678678194216	0.6575472582582468	FALSE	0.8727261696786989
Gdf15	Dhrs7	Epithelial	Epithelial	0.08924304855304524	0.011502157957117436	0.7208530157794556	0.22943671311238825	FALSE	0.8367578980075926
Tagln	Sbspon	Muscle	Muscle	0.042241386881220026	0.031126169293795067	0.7660572197291108	0.7798956485949752	FALSE	0.7256233275686879
Chpt1	Oat	Epithelial	Epithelial	0.018921363633257814	0.014873048160493233	0.3336077933704866	0.30309360529130047	FALSE	0.9034027768302964
Actb	Anxa6	Muscle	Muscle	0.01959287531045656	0.017423096663415422	0.28728471884004897	0.3070672639707413	FALSE	0.9178911049837415
Cxadr	F2rl1	Epithelial	Epithelial	0.025034654973053294	0.10009331090376636	0.6716666397133022	0.6711947355918865	FALSE	0.726508778353552
Fgf7	Actb	Muscle	Muscle	0.07609238128194709	0.01959287531045656	0.5670955849983713	0.28728471884004897	FALSE	0.08119119109276396
Lama3	Lmo7	Epithelial	Epithelial	0.11241920113963398	0.026445992481017738	0.8063233285580804	0.7460960779951884	FALSE	0.049741618170309976
Slc44a4	Ugt2b17	Epithelial	Epithelial	0.03822669081038765	0.03196758203369145	0.7148646785472001	0.7691910103389122	FALSE	0.8554681329957318
Ccl25	Rbp2	Epithelial	Epithelial	0.05410657860538512	0.022580686723180504	0.5030238934836977	0.4943082352424333	FALSE	0.016178543092076003
Sbspon	Kcnmb1	Muscle	Muscle	0.031126169293795067	0.022264975108048927	0.7798956485949752	0.8204181668684482	FALSE	0.1671690132939
Grn	Heph	Epithelial	Epithelial	0.027599753839105436	0.01310081143275215	0.1965947023293911	0.28237751972632547	FALSE	0
