node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Ltbp4	Col6a3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.025873225471191655	0.0401013564871864	0.5365172322959781	0.31498033859652663	FALSE	0.9253790863319571
Gucy2c	Oat	Epithelial	Epithelial	0.07346008471558871	0.014873048160493233	0.676010929327949	0.30309360529130047	FALSE	0.8957915312911358
Cxcl2	Cxcl3	Epithelial	Epithelial	0.07423297792416171	0.05178254865733545	0.415586499080848	0.31862543067297733	FALSE	0.6629738395717669
Lama3	Cd55	Epithelial	Epithelial	0.11241920113963398	0.02051915822908731	0.8063233285580804	0.16141021589734156	FALSE	0.8650064878784002
Bmp4	Ackr3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.083964184441644385	0.09072289560714039	0.6573172705688001	0.6307242506429122	FALSE	0.9521958999594923
Spint1	Eda	Epithelial	Epithelial	0.037691425253883644	0.05417024358165424	0.6484295887865765	0.4879904438276439	FALSE	0.9373805769405084
Fzd1	Degs1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.057491636078692766	0.011417606147480353	0.47919530339158667	0.21956088608974683	FALSE	0.9388651823341022
Clcf1	Ier3	Epithelial	Epithelial	0.04112958621520205	0.01374361976422635	0.3597997116271324	0.32552040571766316	FALSE	0.9249735986552571
Ethe1	Ereg	Epithelial	Epithelial	0.01139406366612717	0.07121964103362466	0.36038665194341	0.6391957573083445	FALSE	0.9243425922553911
Plat	Nsg1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.0316541559249119	0.44346688124831446	0.6496312299915509	FALSE	0.9035357095570704
Col6a2	Sdc4	Myofibroblast_Mesothelium	Epithelial	0.04038094850146819	0.05576812086850791	0.2909390785272474	0.4804803957800183	TRUE	0.9072964575026352
Cxadr	F2rl1	Epithelial	Epithelial	0.025034654973053294	0.10009331090376636	0.6716666397133022	0.6711947355918865	FALSE	0.8182814471989974
Ptn	Sdc4	Myofibroblast_Mesothelium	Epithelial	0.04546787705261957	0.05576812086850791	0.3323181955218304	0.4804803957800183	TRUE	0.7918216039409178
Lama3	Lmo7	Epithelial	Epithelial	0.11241920113963398	0.026445992481017738	0.8063233285580804	0.7460960779951884	FALSE	0.8653026285717906
Col6a2	Col6a1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.04038094850146819	0.039919973615154335	0.2909390785272474	0.30340157198902445	FALSE	0.9629020651411364
Slc44a4	Ugt2b17	Epithelial	Epithelial	0.03822669081038765	0.03196758203369145	0.7148646785472001	0.7691910103389122	FALSE	0.9037422654937735
Ccl25	Rbp2	Epithelial	Epithelial	0.05410657860538512	0.022580686723180504	0.5030238934836977	0.4943082352424333	FALSE	0.7572704795717682
Cldn4	Arl14	Epithelial	Epithelial	0.02790726596475406	0.028562068007061462	0.7366994616359875	0.7009585293902459	FALSE	0.8623402506872104
Tmbim4	C1r	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.013404080634688157	0.02095507053837838	0.20659740029113682	0.4774935467907453	FALSE	0.7757557744162811
Fn1	Sdc4	Myofibroblast_Mesothelium	Epithelial	0.053977012568459014	0.05576812086850791	0.3509119971999273	0.4804803957800183	TRUE	0.821517586290657
Col6a3	Sdc4	Myofibroblast_Mesothelium	Epithelial	0.0401013564871864	0.05576812086850791	0.31498033859652663	0.4804803957800183	TRUE	0.9344291312098459
Foxf1	Itgb1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.02315780798271794	0.02718522751011799	0.5086679597460734	0.1664480942311201	FALSE	0.9158423928848582
Grn	Heph	Epithelial	Epithelial	0.027599753839105436	0.01310081143275215	0.1965947023293911	0.28237751972632547	FALSE	0.9180869559880347
