node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Ctsa	Ttr	Epithelial	Epithelial	0.038354565016649356	0.021684740102110477	0.5634687478773204	0.5894604186434305	FALSE	0.9276629363884568
Ttr	Cdhr5	Epithelial	Epithelial	0.021684740102110477	0.03127489444865715	0.5894604186434305	0.7193395484317582	FALSE	0.8980023587990932
Mt-nd4	Mt-atp6	Epithelial	Epithelial	0.00453499427103146	0.00379420085149366	0.23084642624655333	0.19949861365462238	FALSE	0.6646100693756689
Mt-cyb	Mt-co2	Epithelial	Epithelial	0.006439337921436435	0.007000691886875784	0.21114558432264546	0.23687140414249874	FALSE	0.9074230077539398
Mt-co3	Mt-co1	Epithelial	Epithelial	0.007112243677012572	0.007996600877525585	0.2926640192626972	0.22922777398802485	FALSE	0.9215839175004306
Mt-co2	Mt-co1	Epithelial	Epithelial	0.007000691886875784	0.007996600877525585	0.23687140414249874	0.22922777398802485	FALSE	0.9315074922537993
Mt-cyb	Mt-nd4	Epithelial	Epithelial	0.006439337921436435	0.00453499427103146	0.21114558432264546	0.23084642624655333	FALSE	0.8671413374177867
Serpina1	Apoa1	Epithelial	Epithelial	0.026704187737162956	0.034967067618201945	0.6224258787747874	0.6069864957829874	FALSE	0.9377511628797867
Ctsa	Serpina1	Epithelial	Epithelial	0.038354565016649356	0.026704187737162956	0.5634687478773204	0.6224258787747874	FALSE	0.9266238842283007
Apoa1	Rbp2	Epithelial	Epithelial	0.034967067618201945	0.022580686723180504	0.6069864957829874	0.4943082352424333	FALSE	0.9057656498180946
Serpina1	Apob	Epithelial	Epithelial	0.026704187737162956	0.02828969510161868	0.6224258787747874	0.7303336053018464	FALSE	0.8945963809954469
Gas7	Plp1	Neural	Neural	0.01528855390261796	0.030084908665455958	0.7613468580542593	0.8688218281019667	FALSE	0.88453564174946675
Spint1	Eda	Epithelial	Epithelial	0.037691425253883644	0.05417024358165424	0.6484295887865765	0.4879904438276439	FALSE	0.95774479539871
Cdh2	Dmd	Neural	Neural	0.10099067677225468	0.015258457073037716	0.829745464089096	0.4850471403384941	FALSE	0.820300978607283
Lrp6	Ctnnal1	Neural	Neural	0.051212308350860075	0.013986236994615977	0.46686893980237937	0.49608916400879466	FALSE	0.7937758320422533
Gas7	Ptprz1	Neural	Neural	0.01528855390261796	0.09817042412538883	0.7613468580542593	0.8417293735876713	FALSE	0.8674382089910396
Col20a1	Gfra1	Neural	Neural	0.014258031360311191	0.06042368319504053	0.8563665015569442	0.5428278961543853	FALSE	0.9001996160412286
Clcf1	Ier3	Epithelial	Epithelial	0.04112958621520205	0.01374361976422635	0.3597997116271324	0.32552040571766316	FALSE	0.9019405962785627
L1cam	Uchl1	Neural	Neural	0.10278219163427056	0.015111240719430314	0.851300503804952	0.7420649793948928	FALSE	0.9652785224961358
Col9a3	Lrrc4c	Neural	Neural	0.07672750338346726	0.09092469216672938	0.6142752419827001	0.7107819184060745	FALSE	0.7591394349578371
Ethe1	Ereg	Epithelial	Epithelial	0.01139406366612717	0.07121964103362466	0.36038665194341	0.6391957573083445	FALSE	0.8644685199115134
Col20a1	Map1b	Neural	Neural	0.014258031360311191	0.011117602234893229	0.8563665015569442	0.5011550775463607	FALSE	0.7776703517991062
Ttr	Gsta1	Epithelial	Epithelial	0.021684740102110477	0.012288571831595858	0.5894604186434305	0.5259031168845639	FALSE	0.8235451045408289
Ttr	Amn	Epithelial	Epithelial	0.021684740102110477	0.033113328456264704	0.5894604186434305	0.7685258560417072	FALSE	0.9632176533653167
Lgals3	Epcam	Epithelial	Epithelial	0.015179132746690614	0.02784995918093367	0.5187962552411411	0.6789856338718653	FALSE	0.9669112923525
Mt-co1	Lgals3	Epithelial	Epithelial	0.007996600877525585	0.015179132746690614	0.22922777398802485	0.5187962552411411	FALSE	0.9662925446050475
Cldn4	Epcam	Epithelial	Epithelial	0.02790726596475406	0.02784995918093367	0.7366994616359875	0.6789856338718653	FALSE	0.8936509816126754
Ctsa	Mep1a	Epithelial	Epithelial	0.038354565016649356	0.024592374817120233	0.5634687478773204	0.675586766877258	FALSE	0.8240303770939352
Cldn7	Epcam	Epithelial	Epithelial	0.024941934018108017	0.02784995918093367	0.7116193956169613	0.6789856338718653	FALSE	0.8252994200576734
Oat	Gsta1	Epithelial	Epithelial	0.014873048160493233	0.012288571831595858	0.30309360529130047	0.5259031168845639	FALSE	0.7723593998968805
Cdhr5	Ugt2b17	Epithelial	Epithelial	0.03127489444865715	0.03196758203369145	0.7193395484317582	0.7691910103389122	FALSE	0.6608382605878927
Vim	Plp1	Neural	Neural	0.02403596052330205	0.030084908665455958	0.3481024159298193	0.8688218281019667	FALSE	0.6802893009650495
S100b	Plp1	Neural	Neural	0.027161710492094242	0.030084908665455958	0.8506970057802938	0.8688218281019667	FALSE	0.9034157045526033
Ugt2b17	Epcam	Epithelial	Epithelial	0.03196758203369145	0.02784995918093367	0.7691910103389122	0.6789856338718653	FALSE	0.9375811304786433
Cdhr5	Cel	Epithelial	Epithelial	0.03127489444865715	0.016857267942195414	0.7193395484317582	0.7415616713410134	FALSE	0.9513592774765841
Cldn7	F2rl1	Epithelial	Epithelial	0.024941934018108017	0.10009331090376636	0.7116193956169613	0.6711947355918865	FALSE	0.9198032370049762
Ctsa	Agt	Epithelial	Epithelial	0.038354565016649356	0.08676966710576955	0.5634687478773204	0.6515168863133247	FALSE	0.8532540734885724
Ctsa	Grn	Epithelial	Epithelial	0.038354565016649356	0.027599753839105436	0.5634687478773204	0.1965947023293911	FALSE	0.9285964195013274
Gprc5a	Cldn4	Epithelial	Epithelial	0.03234442319151293	0.02790726596475406	0.6886461241629186	0.7366994616359875	FALSE	0.9313699078156715
Tmem45b	Mep1a	Epithelial	Epithelial	0.02925344727603309	0.024592374817120233	0.6575472582582468	0.675586766877258	FALSE	0.9300858230866293
Vim	Mpz	Neural	Neural	0.02403596052330205	0.11202725668751681	0.3481024159298193	0.8761731569541686	FALSE	0.8851849788460361
Lgals3	Agr3	Epithelial	Epithelial	0.015179132746690614	0.019768029414874412	0.5187962552411411	0.590386464304486	FALSE	0.9284623662017292
Lama3	Gprc5a	Epithelial	Epithelial	0.11241920113963398	0.03234442319151293	0.8063233285580804	0.6886461241629186	FALSE	0.927886520953715
Perp	Epcam	Epithelial	Epithelial	0.021152791380922364	0.02784995918093367	0.5926643934449038	0.6789856338718653	FALSE	0.9301646452536136
Dhrs7	Tmem45b	Epithelial	Epithelial	0.011502157957117436	0.02925344727603309	0.22943671311238825	0.6575472582582468	FALSE	0.9281152782042652
Prph	Vim	Neural	Neural	0.02306779776992114	0.02403596052330205	0.8260616767996473	0.3481024159298193	FALSE	0.9103115564916819
Mt-cyb	Anxa4	Epithelial	Epithelial	0.006439337921436435	0.016316593882300598	0.21114558432264546	0.42422709555106214	FALSE	0.9665009944925087
Cldn4	Ier3	Epithelial	Epithelial	0.02790726596475406	0.01374361976422635	0.7366994616359875	0.32552040571766316	FALSE	0.8899329795951471
Bmp2	F2rl1	Epithelial	Epithelial	0.058136198559323705	0.10009331090376636	0.4518971826696988	0.6711947355918865	FALSE	0.9215934364389763
Cel	Aoc1	Epithelial	Epithelial	0.016857267942195414	0.0280749024341932	0.7415616713410134	0.760100161239377	FALSE	0.9155352093104007
Prph	Pcsk1n	Neural	Neural	0.02306779776992114	0.01591482254959766	0.8260616767996473	0.6051616006487274	FALSE	0.9521399581949107
Tmem45b	Tnfsf10	Epithelial	Epithelial	0.02925344727603309	0.049207698799751155	0.6575472582582468	0.39229010289245186	FALSE	0.9621829443883272
Lamc2	Itga1	Epithelial	Neural	0.10321003454513461	0.025612863544183104	0.7884530536319682	0.21407510139821645	TRUE	0.8992016376861809
Cdh19	Vim	Neural	Neural	0.02573939617056114	0.02403596052330205	0.8731922694741701	0.3481024159298193	FALSE	0.8949869620545041
Edn1	Ednrb	Epithelial	Neural	0.0749533174990852	0.0612305887680191	0.6101346575762239	0.5326195974216755	TRUE	0.832610596905269
Prph	Map1b	Neural	Neural	0.02306779776992114	0.011117602234893229	0.8260616767996473	0.5011550775463607	FALSE	0.9239537868567823
Ethe1	Lgals3	Epithelial	Epithelial	0.01139406366612717	0.015179132746690614	0.36038665194341	0.5187962552411411	FALSE	0.9073772393386709
Lama3	Lamc2	Epithelial	Epithelial	0.11241920113963398	0.10321003454513461	0.8063233285580804	0.7884530536319682	FALSE	0.9503754033231745
Col9a3	Sdc4	Neural	Epithelial	0.07672750338346726	0.05576812086850791	0.6142752419827001	0.4804803957800183	TRUE	0.9463196705978967
Ugt2b17	Guca2a	Epithelial	Epithelial	0.03196758203369145	0.07927820595170816	0.7691910103389122	0.735501319761177	FALSE	0.8958567664596526
Cdh1	Itga1	Epithelial	Neural	0.08794281002758596	0.025612863544183104	0.6762438980023182	0.21407510139821645	TRUE	0.9381588210827728
Gprc5a	Cdh17	Epithelial	Epithelial	0.03234442319151293	0.029115948375333493	0.6886461241629186	0.7273076579064044	FALSE	0.9074549269085108
Ier3	Cxcl2	Epithelial	Epithelial	0.01374361976422635	0.07423297792416171	0.32552040571766316	0.415586499080848	FALSE	0.9455630614276844
Sdcbp2	Cdhr5	Epithelial	Epithelial	0.012775074735255687	0.03127489444865715	0.6109240063263538	0.7193395484317582	FALSE	0.9460013121980309
Map1b	Uchl1	Neural	Neural	0.011117602234893229	0.015111240719430314	0.5011550775463607	0.7420649793948928	FALSE	0.9354788774896946
Amn	Lamb3	Epithelial	Epithelial	0.033113328456264704	0.10172191842394808	0.7685258560417072	0.7549561977108965	FALSE	0.9656201329923044
Prss8	Tmem45b	Epithelial	Epithelial	0.022219880303014507	0.02925344727603309	0.6185678678194216	0.6575472582582468	FALSE	0.8497369059932911
Gdf15	Dhrs7	Epithelial	Epithelial	0.08924304855304524	0.011502157957117436	0.7208530157794556	0.22943671311238825	FALSE	0.8905551543950434
Chpt1	Oat	Epithelial	Epithelial	0.018921363633257814	0.014873048160493233	0.3336077933704866	0.30309360529130047	FALSE	0.9044534139271435
Chrna3	Prph	Neural	Neural	0.10339431901377039	0.02306779776992114	0.8196466840748267	0.8260616767996473	FALSE	0.8837827673480895
Cxadr	F2rl1	Epithelial	Epithelial	0.025034654973053294	0.10009331090376636	0.6716666397133022	0.6711947355918865	FALSE	0.842529801525532
Lama3	Lmo7	Epithelial	Epithelial	0.11241920113963398	0.026445992481017738	0.8063233285580804	0.7460960779951884	FALSE	0.7306286317875847
Slc44a4	Ugt2b17	Epithelial	Epithelial	0.03822669081038765	0.03196758203369145	0.7148646785472001	0.7691910103389122	FALSE	0.9096343925438963
Ccl25	Rbp2	Epithelial	Epithelial	0.05410657860538512	0.022580686723180504	0.5030238934836977	0.4943082352424333	FALSE	0.9620945188769109
Grn	Heph	Epithelial	Epithelial	0.027599753839105436	0.01310081143275215	0.1965947023293911	0.28237751972632547	FALSE	0.8979869193892285
App	Dst	Neural	Neural	0.05505558942765039	0.016608251137631192	0.42398576549609646	0.49757012899285835	FALSE	0.924222660276564
Ilvbl	Dhrs7	Epithelial	Epithelial	0.014399382276892955	0.011502157957117436	0.21938930324830225	0.22943671311238825	FALSE	0.9286542166601215
Prss8	Spint1	Epithelial	Epithelial	0.022219880303014507	0.037691425253883644	0.6185678678194216	0.6484295887865765	FALSE	0.7315201903564474
Lmo7	Liph	Epithelial	Epithelial	0.026445992481017738	0.02253134225663359	0.7460960779951884	0.7958611801559105	FALSE	0.08175124283844792
Erbb3	Heph	Epithelial	Epithelial	0.06356837746591368	0.01310081143275215	0.44786506898450196	0.28237751972632547	FALSE	0.050084732733780224
Spint1	Arse	Epithelial	Epithelial	0.037691425253883644	0.025362229199854733	0.6484295887865765	0.5712452413915591	FALSE	0.8613690985415369
Myh14	Chpt1	Epithelial	Epithelial	0.025738029588399467	0.018921363633257814	0.6458097203753812	0.3336077933704866	FALSE	0.016290141667973046
Spint1	Tnfrsf14	Epithelial	Epithelial	0.037691425253883644	0.03600627006333841	0.6484295887865765	0.24092126164518068	FALSE	0.16832213466654433
Spint1	Stx3	Epithelial	Epithelial	0.037691425253883644	0.02285518257586643	0.6484295887865765	0.5609211338543971	FALSE	0
Ndrg1	Slc44a4	Epithelial	Epithelial	0.011843707813072524	0.03822669081038765	0.3302006154274995	0.7148646785472001	FALSE	0.9116174042306893
F2rl1	Ocln	Epithelial	Epithelial	0.10009331090376636	0.07677283338545313	0.6711947355918865	0.5699849279673865	FALSE	0.9229544521188522
Tnfrsf12a	F2rl1	Epithelial	Epithelial	0.04369411004233394	0.10009331090376636	0.33935615864620244	0.6711947355918865	FALSE	0.9140704699360598
Dhrs7	Prss3	Epithelial	Epithelial	0.011502157957117436	0.05821405750229292	0.22943671311238825	0.4591991242491549	FALSE	0.7921178071605107
Bex1	Pcsk1n	Neural	Neural	0.018710828327387137	0.01591482254959766	0.7295733578535488	0.6051616006487274	FALSE	0.9268698971166955
F2rl1	F11r	Epithelial	Epithelial	0.10009331090376636	0.0842969814411912	0.6711947355918865	0.611053609121713	FALSE	0.8502513182029489
Vim	Mdk	Neural	Neural	0.02403596052330205	0.0276356325015556	0.3481024159298193	0.23568781679234063	FALSE	0.9235104881878446
Ttr	Sct	Epithelial	Epithelial	0.021684740102110477	0.05154817311205505	0.5894604186434305	0.45928382660273226	FALSE	0.8891906509339318
Ndrg1	Fgfr3	Epithelial	Epithelial	0.011843707813072524	0.07767917797037317	0.3302006154274995	0.5806439265997954	FALSE	0.8779629228747906
