node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Sav1	Adcy4	Endothelial	Endothelial	0.014614206091712748	0.028310392398927683	0.3259416302431069	0.8581600916098988	FALSE	0.9097679165666107
Arap3	Sema6a	Endothelial	Endothelial	0.02540161907962608	0.04557172391195086	0.6785720144045388	0.34512874493631834	FALSE	0.8798042897533267
Rab11a	Clic4	Endothelial	Endothelial	0.011430842699106774	0.01210310523141896	0.2586526387917908	0.29014711875149696	FALSE	0.8876092982997964
Plekhg1	Gnb1	Endothelial	Endothelial	0.024687730095010685	0.012621134691057731	0.7466316086356003	0.25191271465453646	FALSE	0.8884397365876283
Shank3	Sox7	Endothelial	Endothelial	0.0296308945228842	0.03293831225012931	0.8459648446295933	0.8471747598314981	FALSE	0.9017285015553118
Tnfrsf1a	Igf2bp2	Endothelial	Endothelial	0.022677984202089073	0.011568402921025093	0.18275119047026095	0.1695655301990925	FALSE	0.8878468391111569
Rflnb	Plekhg1	Endothelial	Endothelial	0.02364020622874953	0.024687730095010685	0.6381488703804816	0.7466316086356003	FALSE	0.8898448587203829
Cd320	Madcam1	Endothelial	Endothelial	0.019794330326488207	0.12505633011519407	0.6003497638610797	0.8381844700149517	FALSE	0.9360746218387687
Cd93	Col15a1	Endothelial	Endothelial	0.03351227684558161	0.028252355091871767	0.8120926374106732	0.7028635421097215	FALSE	0.9149452690169398
Thbd	Dusp1	Endothelial	Endothelial	0.03055680247210757	0.01022467438849791	0.8623102749302716	0.25406573838438884	FALSE	0.9029976306754524
A2m	Cd34	Endothelial	Endothelial	0.03618442013875251	0.10900185799467098	0.6806229756732696	0.8227395734230055	FALSE	0.9085204048695746
Slc25a25	Rbms1	Endothelial	Endothelial	0.010825833683582402	0.011311451195509843	0.36623733644620915	0.152282722100063	FALSE	0.8960160733405397
Sema6a	Flnb	Endothelial	Endothelial	0.04557172391195086	0.01216262122281386	0.34512874493631834	0.342143833161871	FALSE	0.8975002037059722
Icam1	Slc25a25	Endothelial	Endothelial	0.06230322070329754	0.010825833683582402	0.4934675719449173	0.36623733644620915	FALSE	0.8723355690184402
Jam2	Clec14a	Endothelial	Endothelial	0.08442902476931784	0.030923559243901708	0.675005151292078	0.8290207800120537	FALSE	0.8770269526132263
Igf2bp2	Stab1	Endothelial	Endothelial	0.011568402921025093	0.015774970925138056	0.1695655301990925	0.5095477037780148	FALSE	0.9034667103806326
Ccm2l	Srgap2	Endothelial	Endothelial	0.025814109736087377	0.01987688172229111	0.8628195397394263	0.43248541222930154	FALSE	0.8965600547957909
Atp2b1	Tek	Endothelial	Endothelial	0.015055319510425234	0.10070674661995714	0.2511799301326409	0.8305856881646827	FALSE	0.8865155050322586
Vsir	Aqp1	Endothelial	Endothelial	0.05171501512436643	0.027653754340002883	0.41364500141589555	0.7297115746859542	FALSE	0.8673019810033477
Lgals9	Scaf11	Endothelial	Endothelial	0.07302541857981837	0.011842635338159015	0.6233088046414285	0.21974561821989705	FALSE	0.8824998164072443
Entpd1	Ctnnd1	Endothelial	Endothelial	0.05102555420882884	0.010730172275213242	0.441225525140542	0.2320315234639346	FALSE	0.8770915931672654
Taf1c	Plxna2	Endothelial	Endothelial	0.016374228980883886	0.03650309116464265	0.5653171592243341	0.2961497105129825	FALSE	0.8768140829613414
Cdh11	Col5a2	Fibroblasts	Fibroblasts	0.04713744581894814	0.020134361669747705	0.3616393468587528	0.3871127461494679	FALSE	0.8584743653738903
Elk3	Tnfsf10	Endothelial	Endothelial	0.03201062244669938	0.05518672122002318	0.6962809026179516	0.45705497159363806	FALSE	0.8852642783753357
Lama5	Lrrfip1	Endothelial	Endothelial	0.027888634191504738	0.01169194223978846	0.23287177082077343	0.3310931083034075	FALSE	0.9294565247187423
Adcy4	Npr1	Endothelial	Endothelial	0.028310392398927683	0.09895501315220517	0.8581600916098988	0.8510157891247906	FALSE	0.8928879252288978
Lrp6	Stk25	Endothelial	Endothelial	0.026886301356893447	0.011202842331047817	0.22230506300571312	0.2257532885080609	FALSE	0.8826076698602051
Tspan14	Tnfrsf25	Endothelial	Endothelial	0.018642011687513407	0.06233711523376144	0.41054888828871455	0.564969277518188	FALSE	0.8922880081554313
Glg1	Lamb1	Fibroblasts	Fibroblasts	0.016484950323713034	0.026786820313619432	0.13739796311061786	0.21899547947703787	FALSE	0.8717014587379941
Fzd4	Spry4	Endothelial	Endothelial	0.06555865633842224	0.023629840100661582	0.5758921009879775	0.43566477525148295	FALSE	0.9210449866862189
Jag1	Ptprb	Endothelial	Endothelial	0.03418132012184433	0.03290070241691145	0.2779710721939982	0.8480296477504351	FALSE	0.8860063602817758
Pkn1	Gata2	Endothelial	Endothelial	0.016076619828046725	0.03182323289834461	0.3430925781841125	0.838265167188929	FALSE	0.9109872326550006
Hbegf	Myo10	Endothelial	Endothelial	0.08166570442947303	0.026956859840303892	0.567933682716931	0.6526731565161914	FALSE	0.8865842230648623
Afap1l1	Msx1	Endothelial	Endothelial	0.025664818375509137	0.029262232130696716	0.7915329756995626	0.7579778875649391	FALSE	0.9129064872244637
Jag2	Rbms1	Endothelial	Endothelial	0.10826000369654488	0.011311451195509843	0.8466914346378706	0.152282722100063	FALSE	0.9217354136803164
Mef2a	Ephb4	Endothelial	Endothelial	0.012808730240591797	0.07080516505111616	0.33409655832706303	0.5328502357766243	FALSE	0.9139281859651851
Stab1	Fgd5	Endothelial	Endothelial	0.015774970925138056	0.034328656225270655	0.5095477037780148	0.7888720278157124	FALSE	0.9007285804929537
Icam2	Gimap1	Endothelial	Endothelial	0.10309364463396244	0.022912320576275014	0.726475266533156	0.7612622204074485	FALSE	0.9345446064595548
Yy1	Plxnd1	Endothelial	Endothelial	0.00990491386277453	0.09401789889943497	0.11474090084594922	0.769256669008072	FALSE	0.8765656290661586
Prrc2b	Bmpr2	Endothelial	Endothelial	0.01760183961163474	0.058721685770505176	0.2532930379531593	0.45409822590676613	FALSE	0.8754346611595799
Rgl2	Il6st	Endothelial	Endothelial	0.016625030796904968	0.041663970486198944	0.4112461796382984	0.341913752684618	FALSE	0.8881627668669417
Rarres2	Pcolce	Fibroblasts	Fibroblasts	0.03220943158334146	0.018882315930445565	0.2537638616606272	0.45421374513683455	FALSE	0.8963636496218116
Cav1	Efna1	Endothelial	Endothelial	0.021715324562663292	0.07565938416017948	0.4590733548123352	0.5548081285929725	FALSE	0.46641096709488916
Hla-b	Hla-a	Endothelial	Endothelial	0.045203862119214025	0.032288540729389956	0.3156094446328907	0.24305096247025543	FALSE	0.6036122541587918
Sav1	Tnfrsf10d	Endothelial	Endothelial	0.014614206091712748	0.023782080503638885	0.3259416302431069	0.692448298823338	FALSE	0.892296147277542
Cd40	Arhgef15	Endothelial	Endothelial	0.0786263839842931	0.03105798656035479	0.6376943936086211	0.8650920785255272	FALSE	0.8983062505452336
Scarf1	Lifr	Endothelial	Endothelial	0.023946138438441282	0.08282837036007756	0.8270020728852684	0.6216381651928828	FALSE	0.8945359149106997
Pdgfb	Efcab14	Endothelial	Endothelial	0.05033518366885184	0.018574486268195755	0.40496618508826665	0.541420394809637	FALSE	0.785942236023388
