node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Col5a1	Emilin1	Fibroblasts	Fibroblasts	0.01927617225741113	0.01418147487745908	0.4868445918683161	0.36091792864108135	FALSE	0.9575820765005972
Prss8	Tmem45b	Epithelial	Epithelial	0.022219880303014507	0.02925344727603309	0.6185678678194216	0.6575472582582468	FALSE	0.9276629363884568
Gdf15	Dhrs7	Epithelial	Epithelial	0.08924304855304524	0.011502157957117436	0.7208530157794556	0.22943671311238825	FALSE	0.8980023587990932
Sparc	Dpt	Fibroblasts	Fibroblasts	0.022822206953050053	0.03059007596621785	0.35689021179793107	0.7969671898259549	FALSE	0.6646100693756689
Thbs1	Sdc4	Fibroblasts	Epithelial	0.042171715536672816	0.05576812086850791	0.3819598256781602	0.4804803957800183	TRUE	0.8671413374177867
Col1a1	Col5a1	Fibroblasts	Fibroblasts	0.15828276552969223	0.01927617225741113	0.6188835963166893	0.4868445918683161	FALSE	0.9266238842283007
Cxadr	F2rl1	Epithelial	Epithelial	0.025034654973053294	0.10009331090376636	0.6716666397133022	0.6711947355918865	FALSE	0.9057656498180946
Lama3	Lmo7	Epithelial	Epithelial	0.11241920113963398	0.026445992481017738	0.8063233285580804	0.7460960779951884	FALSE	0.9520654463258834
Slc44a4	Ugt2b17	Epithelial	Epithelial	0.03822669081038765	0.03196758203369145	0.7148646785472001	0.7691910103389122	FALSE	0.820300978607283
Ccl25	Rbp2	Epithelial	Epithelial	0.05410657860538512	0.022580686723180504	0.5030238934836977	0.4943082352424333	FALSE	0.7937758320422533
Gprc5a	Cdh17	Epithelial	Epithelial	0.03234442319151293	0.029115948375333493	0.6886461241629186	0.7273076579064044	FALSE	0.8674382089910396
Ier3	Cxcl2	Epithelial	Epithelial	0.01374361976422635	0.07423297792416171	0.32552040571766316	0.415586499080848	FALSE	0.9652785224961358
Amn	Lamb3	Epithelial	Epithelial	0.033113328456264704	0.10172191842394808	0.7685258560417072	0.7549561977108965	FALSE	0.7591394349578371
Prss8	Spint1	Epithelial	Epithelial	0.022219880303014507	0.037691425253883644	0.6185678678194216	0.6484295887865765	FALSE	0.8644685199115134
Erbb3	Heph	Epithelial	Epithelial	0.06356837746591368	0.01310081143275215	0.44786506898450196	0.28237751972632547	FALSE	0.7776703517991062
Col6a2	Col6a1	Fibroblasts	Fibroblasts	0.059404400440299716	0.040188164065440374	0.34319549045857545	0.27443610771481003	FALSE	0.8235451045408289
Spint1	Arse	Epithelial	Epithelial	0.037691425253883644	0.025362229199854733	0.6484295887865765	0.5712452413915591	FALSE	0.40651775051748773
Spint1	Tnfrsf14	Epithelial	Epithelial	0.037691425253883644	0.03600627006333841	0.6484295887865765	0.24092126164518068	FALSE	0.5664076617002046
Ptn	Sdc4	Fibroblasts	Epithelial	0.03945715320086233	0.05576812086850791	0.32924123774075625	0.4804803957800183	TRUE	0.902830468063089
Spint1	Stx3	Epithelial	Epithelial	0.037691425253883644	0.02285518257586643	0.6484295887865765	0.5609211338543971	FALSE	0.9075457603682752
Ndrg1	Slc44a4	Epithelial	Epithelial	0.011843707813072524	0.03822669081038765	0.3302006154274995	0.7148646785472001	FALSE	0.7788890839240245
F2rl1	Ocln	Epithelial	Epithelial	0.10009331090376636	0.07677283338545313	0.6711947355918865	0.5699849279673865	FALSE	0.8983796138455676
Col5a2	Emilin1	Fibroblasts	Fibroblasts	0.020134361669747705	0.01418147487745908	0.3871127461494679	0.36091792864108135	FALSE	0.9176693907609763
Grn	Heph	Epithelial	Epithelial	0.027599753839105436	0.01310081143275215	0.1965947023293911	0.28237751972632547	FALSE	0.8823445352641267
Ilvbl	Dhrs7	Epithelial	Epithelial	0.014399382276892955	0.011502157957117436	0.21938930324830225	0.22943671311238825	FALSE	0.9109516734096059
Col1a1	Sdc4	Fibroblasts	Epithelial	0.15828276552969223	0.05576812086850791	0.6188835963166893	0.4804803957800183	TRUE	0.8240303770939352
Ttr	Sct	Epithelial	Epithelial	0.021684740102110477	0.05154817311205505	0.5894604186434305	0.45928382660273226	FALSE	0.8252994200576734
Ndrg1	Fgfr3	Epithelial	Epithelial	0.011843707813072524	0.07767917797037317	0.3302006154274995	0.5806439265997954	FALSE	0.7723593998968805
Perp	Ptprf	Epithelial	Epithelial	0.021152791380922364	0.05883257865332489	0.5926643934449038	0.4366844666410946	FALSE	0.6608382605878927
Gprc5a	Epha2	Epithelial	Epithelial	0.03234442319151293	0.06293373070729186	0.6886461241629186	0.513761495839916	FALSE	0.6802893009650495
Marveld3	Oat	Epithelial	Epithelial	0.02608462870002828	0.014873048160493233	0.7897379675743135	0.30309360529130047	FALSE	0.9034157045526033
Pdgfa	Pdgfra	Epithelial	Fibroblasts	0.017158798081475506	0.04188775525709753	0.13750020774365276	0.3897658147863659	TRUE	0.9375811304786433
Ccl15	Anxa4	Epithelial	Epithelial	0.07094075527003754	0.016316593882300598	0.5819608879632695	0.42422709555106214	FALSE	0.9513592774765841
Tnfrsf12a	Areg	Epithelial	Epithelial	0.04369411004233394	0.0756259968902158	0.33935615864620244	0.5848608159801001	FALSE	0.7782205147983341
Agr3	Efna1	Epithelial	Epithelial	0.019768029414874412	0.032131806167287946	0.590386464304486	0.26732178007069	FALSE	0.8634467363629199
