node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Fgf7	Actb	Muscle	Muscle	0.07609238128194709	0.01959287531045656	0.5670955849983713	0.28728471884004897	FALSE	0.5698537077493995
Col6a2	Col6a1	Fibroblasts	Fibroblasts	0.059404400440299716	0.040188164065440374	0.34319549045857545	0.27443610771481003	FALSE	0.8667476084393665
Tpm1	Nexn	Muscle	Muscle	0.02953902846373782	0.01581638527344182	0.5783358678770224	0.5598291217126063	FALSE	0.9367241681190847
Thbs1	Itgb1	Fibroblasts	Muscle	0.042171715536672816	0.016734256197412475	0.3819598256781602	0.13410799074695234	TRUE	0.8447849406947205
Ptn	Pcolce	Fibroblasts	Fibroblasts	0.03945715320086233	0.018882315930445565	0.32924123774075625	0.45421374513683455	FALSE	0.2472662128647578
Itgb1	Anxa6	Muscle	Muscle	0.016734256197412475	0.017423096663415422	0.13410799074695234	0.3070672639707413	FALSE	0.44773008728697383
Fgf7	Hand1	Muscle	Muscle	0.07609238128194709	0.032783004689427846	0.5670955849983713	0.8633857118340202	FALSE	0.823630438213856
Rarres2	Pcolce	Fibroblasts	Fibroblasts	0.03220943158334146	0.018882315930445565	0.2537638616606272	0.45421374513683455	FALSE	0.7141311930643965
Postn	Ccdc107	Muscle	Muscle	0.03976273169618855	0.015526707118625572	0.31981829236131165	0.278096165300178	FALSE	0.8438396934464877
Tpm1	Nrp2	Muscle	Muscle	0.02953902846373782	0.06735198300020795	0.5783358678770224	0.5144202553561562	FALSE	0.8797062325317518
Tpm1	Fn1	Muscle	Muscle	0.02953902846373782	0.0527152095768283	0.5783358678770224	0.35995358979625597	FALSE	0.7132929665855425
Anxa6	Lamb2	Muscle	Muscle	0.017423096663415422	0.032852867286267295	0.3070672639707413	0.2803755074497283	FALSE	0.8201463537118834
Tnc	Nexn	Muscle	Muscle	0.048203690775674594	0.01581638527344182	0.40962138243999235	0.5598291217126063	FALSE	0.7105531993919713
Col1a1	Col1a2	Fibroblasts	Fibroblasts	0.15828276552969223	0.14478489246459111	0.6188835963166893	0.5790817953670376	FALSE	0.8101909397156423
Col1a1	Col3a1	Fibroblasts	Fibroblasts	0.15828276552969223	0.0887105743331287	0.6188835963166893	0.551055246957261	FALSE	0.8710540066176184
Tagln	Actg2	Muscle	Muscle	0.042241386881220026	0.029323021503302883	0.7660572197291108	0.8393440724398927	FALSE	0.903137404625846
Acta2	Tagln	Muscle	Muscle	0.03245724061791314	0.042241386881220026	0.5839402234473263	0.7660572197291108	FALSE	0.8986754181484597
Tagln	Actb	Muscle	Muscle	0.042241386881220026	0.01959287531045656	0.7660572197291108	0.28728471884004897	FALSE	0.8394777980568247
Tagln	Mylk	Muscle	Muscle	0.042241386881220026	0.035369009102728013	0.7660572197291108	0.7614179290626542	FALSE	0.752085405632416
