node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Col1a1	Col1a2	Fibroblasts	Fibroblasts	0.15828276552969223	0.14478489246459111	0.6188835963166893	0.5790817953670376	FALSE	0.8618828228231233
Col1a1	Col3a1	Fibroblasts	Fibroblasts	0.15828276552969223	0.0887105743331287	0.6188835963166893	0.551055246957261	FALSE	0.9614376294433205
Dcn	Sparc	Fibroblasts	Fibroblasts	0.030890166429708873	0.022822206953050053	0.6269253841996634	0.35689021179793107	FALSE	0.8963842639978183
Col1a2	Sparc	Fibroblasts	Fibroblasts	0.14478489246459111	0.022822206953050053	0.5790817953670376	0.35689021179793107	FALSE	0.9752492857037796
Vim	Ap1s2	Neural	Neural	0.02403596052330205	0.016043166412834087	0.3481024159298193	0.574024604435024	FALSE	0.9537046534203837
Mdk	Ptprz1	Fibroblasts	Neural	0.029810383596949163	0.09817042412538883	0.23925736560265518	0.8417293735876713	TRUE	0.9804169314500925
Chrna3	Prph	Neural	Neural	0.10339431901377039	0.02306779776992114	0.8196466840748267	0.8260616767996473	FALSE	0.8893449092762584
App	Dst	Neural	Neural	0.05505558942765039	0.016608251137631192	0.42398576549609646	0.49757012899285835	FALSE	0.2532275430150992
Col6a2	Col6a1	Fibroblasts	Fibroblasts	0.059404400440299716	0.040188164065440374	0.34319549045857545	0.27443610771481003	FALSE	0.45852439208760065
Col1a1	Itga1	Fibroblasts	Neural	0.15828276552969223	0.025612863544183104	0.6188835963166893	0.21407510139821645	TRUE	0.9061384527087151
Thbs1	Cd47	Fibroblasts	Neural	0.042171715536672816	0.03828889620864957	0.3819598256781602	0.32868034377655475	TRUE	0.9225143582575644
Col6a1	Col5a2	Fibroblasts	Fibroblasts	0.040188164065440374	0.020134361669747705	0.27443610771481003	0.3871127461494679	FALSE	0.7313481502992396
Pcsk1n	Dst	Neural	Neural	0.01591482254959766	0.016608251137631192	0.6051616006487274	0.49757012899285835	FALSE	0.9098863216837231
Col1a1	Thbs2	Fibroblasts	Fibroblasts	0.15828276552969223	0.10384105786433032	0.6188835963166893	0.7548231832166867	FALSE	0.8641837871595615
Ednrb	Vim	Neural	Neural	0.0612305887680191	0.02403596052330205	0.5326195974216755	0.3481024159298193	FALSE	0.9009150310435937
Dst	Nrxn1	Neural	Neural	0.016608251137631192	0.10725605859679592	0.49757012899285835	0.874262210733052	FALSE	0.9802243119422599
Vim	Sema3b	Neural	Neural	0.02403596052330205	0.08313301662216148	0.3481024159298193	0.627032120620765	FALSE	0.9719720877228485
S100b	Erbb3	Neural	Neural	0.027161710492094242	0.06745014281916013	0.8506970057802938	0.5466076523033336	FALSE	0.8399192257489919
Cdh11	Col5a2	Fibroblasts	Fibroblasts	0.04713744581894814	0.020134361669747705	0.3616393468587528	0.3871127461494679	FALSE	0.7276838949361852
App	Cdh2	Neural	Neural	0.05505558942765039	0.10099067677225468	0.42398576549609646	0.829745464089096	FALSE	0.9254830641941377
Itga1	Dbi	Neural	Neural	0.025612863544183104	0.015251514760672122	0.21407510139821645	0.36209888288915476	FALSE	0.9226591849718285
Col9a3	Lrrc4c	Neural	Neural	0.07672750338346726	0.09092469216672938	0.6142752419827001	0.7107819184060745	FALSE	0.8297237971186148
Cadm1	L1cam	Neural	Neural	0.08643120010232397	0.10278219163427056	0.6970082183662653	0.851300503804952	FALSE	0.9562179446563462
Col9a3	Erbb3	Neural	Neural	0.07672750338346726	0.06745014281916013	0.6142752419827001	0.5466076523033336	FALSE	0.88208578813313
Chrna3	L1cam	Neural	Neural	0.10339431901377039	0.10278219163427056	0.8196466840748267	0.851300503804952	FALSE	0.8597167310275641
Vim	Plp1	Neural	Neural	0.02403596052330205	0.030084908665455958	0.3481024159298193	0.8688218281019667	FALSE	0.7702173992933555
S100b	Plp1	Neural	Neural	0.027161710492094242	0.030084908665455958	0.8506970057802938	0.8688218281019667	FALSE	0.9213538513901894
Mfap4	Sparc	Fibroblasts	Fibroblasts	0.02098062404006499	0.022822206953050053	0.3878699935890848	0.35689021179793107	FALSE	0.8585578460934
Vim	Mpz	Neural	Neural	0.02403596052330205	0.11202725668751681	0.3481024159298193	0.8761731569541686	FALSE	0.8272104743671445
Prph	Vim	Neural	Neural	0.02306779776992114	0.02403596052330205	0.8260616767996473	0.3481024159298193	FALSE	0.8686421681944136
Fbln1	Sparc	Fibroblasts	Fibroblasts	0.044928158251488416	0.022822206953050053	0.6440603205970007	0.35689021179793107	FALSE	0.950422204495318
Dcn	Mdk	Fibroblasts	Fibroblasts	0.030890166429708873	0.029810383596949163	0.6269253841996634	0.23925736560265518	FALSE	0.7593846110304914
Prph	Pcsk1n	Neural	Neural	0.02306779776992114	0.01591482254959766	0.8260616767996473	0.6051616006487274	FALSE	0.9078511829083982
Mfap4	Cxcl12	Fibroblasts	Fibroblasts	0.02098062404006499	0.05810296982224343	0.3878699935890848	0.43205743039695965	FALSE	0.864613854607164
Col6a2	Col1a1	Fibroblasts	Fibroblasts	0.059404400440299716	0.15828276552969223	0.34319549045857545	0.6188835963166893	FALSE	0.8736642699300565
Thbs2	Cd47	Fibroblasts	Neural	0.10384105786433032	0.03828889620864957	0.7548231832166867	0.32868034377655475	TRUE	0.8085977562681731
Ptn	Ptprz1	Fibroblasts	Neural	0.03945715320086233	0.09817042412538883	0.32924123774075625	0.8417293735876713	TRUE	0.7556723587855579
Ap1s2	Dbi	Neural	Neural	0.016043166412834087	0.015251514760672122	0.574024604435024	0.36209888288915476	FALSE	0.9269341786410115
