node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Ifi30	Sat1	Immune	Immune	0.03860654296588801	0.07032746169778503	0.8662480733108945	0.6407908712042392	FALSE	0.37368724492008265
Cyba	Nfkb1	Immune	Immune	0.03682824268285337	0.04298895834961572	0.549751851551744	0.6807397132324245	FALSE	0.9176719233218933
Bid	Fgl2	Immune	Immune	0.03797337033732279	0.05291079258360177	0.6129590548289409	0.7851030811843629	FALSE	0.9041871719370946
Csf1r	C1qc	Immune	Immune	0.13207327989387305	0.08722682795606464	0.8561291573115357	0.8621017675061988	FALSE	0.8446367566126332
Clec7a	Sat1	Immune	Immune	0.04112750638102941	0.07032746169778503	0.8767635041164863	0.6407908712042392	FALSE	0.619335509058563
Itgb2	Cst3	Immune	Immune	0.13166237828360403	0.06890713974073798	0.872862624331008	0.5562367181455767	FALSE	0.781071629969009
Cyba	Laptm5	Immune	Immune	0.03682824268285337	0.06822612864594305	0.549751851551744	0.8670120016255647	FALSE	0.820695989308027
Tyrobp	Bcl2a1	Immune	Immune	0.0549039835245348	0.03930401957870913	0.8553230085808066	0.8476638809756212	FALSE	0.6802801577236446
Sat1	Stab1	Immune	Immune	0.07032746169778503	0.04625712185565733	0.6407908712042392	0.6351187849674309	FALSE	0.7374701566943698
Dusp2	Rel	Immune	Immune	0.043004531670967155	0.03947485496882337	0.7698682746345964	0.6400389539767892	FALSE	0.5812179001221003
Icam1	Tnfaip3	Immune	Immune	0.07376332616175728	0.0434111237315379	0.4146782443604108	0.7031257800578565	FALSE	0.7139815152676712
Fxyd5	Rnase6	Immune	Immune	0.019989363486020626	0.03882172579817611	0.3732331994183616	0.8691865239572061	FALSE	0.7789862376334679
Nampt	Il1b	Immune	Immune	0.06387556226944864	0.18231381267715582	0.41821044982366484	0.8697161922334553	FALSE	0.871605943390759
Mt-co1	Tgfb1	Immune	Immune	0.011071976951907822	0.07511847538305935	0.1529306821463373	0.5194104493853936	FALSE	0.8677178811373039
Ldlrad4	Vsir	Immune	Immune	0.03631803001661995	0.05562671316745238	0.7377612915132332	0.3746444314728944	FALSE	0.8030830468087238
Cxcl2	Il1b	Immune	Immune	0.048665747612987344	0.18231381267715582	0.36111646588606716	0.8697161922334553	FALSE	0.7947779135889578
Psap	Vsir	Immune	Immune	0.04664766698733992	0.05562671316745238	0.29996812482497875	0.3746444314728944	FALSE	0.8053737524755263
Hla-c	Prmt9	Immune	Immune	0.07233227564292347	0.05062287896851685	0.4081254937784352	0.8001425019422411	FALSE	0.8730239161037044
Cd55	Laptm5	Immune	Immune	0.06693733112078776	0.06822612864594305	0.4577619423516963	0.8670120016255647	FALSE	0.8947046534092461
Tpm2	Col6a3	Muscle	Muscle	0.019733997488426785	0.028277683570303573	0.6791373531283729	0.2251717165210319	FALSE	0.8243042034561249
Fxyd5	Tagap	Immune	Immune	0.019989363486020626	0.054002996310921925	0.3732331994183616	0.8783523273419618	FALSE	0.8438833000978926
Cd44	Sgk1	Immune	Immune	0.09379090112658527	0.0345015647319378	0.6758407825007328	0.5430236538737374	FALSE	0.8571980684955911
Tpm1	Nrp2	Muscle	Muscle	0.02953902846373782	0.06735198300020795	0.5783358678770224	0.5144202553561562	FALSE	0.7101126170634959
Chmp1b	Fcer1g	Immune	Immune	0.02008275539590192	0.04295500583547673	0.3822648849764294	0.8484612568601533	FALSE	0.8218760820660935
Runx3	Tnfrsf1b	Immune	Immune	0.03993402399112468	0.10946023650614456	0.8890844779983831	0.7509486752620328	FALSE	0.7396860262656414
Tnfrsf1b	Hes4	Immune	Immune	0.10946023650614456	0.026056211809912105	0.7509486752620328	0.5271080432957213	FALSE	0.7177999890771265
Hcst	Tagap	Immune	Immune	0.10667925805887796	0.054002996310921925	0.8536204549807306	0.8783523273419618	FALSE	0.7850228318556827
Ldlrad4	Cxcr4	Immune	Immune	0.03631803001661995	0.10533760451658512	0.7377612915132332	0.7970645911157754	FALSE	0.44750712753937005
Plaur	Cxcl3	Immune	Immune	0.04651863595472344	0.0774401583809384	0.6128090924960056	0.505684995271419	FALSE	0.7525495495150032
Srgn	Ifngr1	Immune	Immune	0.07090956372166075	0.04809434132724641	0.8497946964925158	0.35487878542511897	FALSE	0.8509786179966102
Chmp1b	Tnf	Immune	Immune	0.02008275539590192	0.12510894017479068	0.3822648849764294	0.871149406341857	FALSE	0.8618120980369389
Anxa1	Stab1	Immune	Immune	0.0610004447782005	0.04625712185565733	0.48012387100877524	0.6351187849674309	FALSE	0.5747903859575837
Adgre5	Srgn	Immune	Immune	0.09731446792769427	0.07090956372166075	0.6777148457286731	0.8497946964925158	FALSE	0.7675929888878502
Mt-co2	Tnfrsf14	Immune	Immune	0.013007356725002172	0.05093970554308554	0.1703695408008748	0.39307620982056624	FALSE	0.8263099447324489
Plek	C1qc	Immune	Immune	0.03935572444445314	0.08722682795606464	0.8829281015618333	0.8621017675061988	FALSE	0.8199389803675206
Sat1	Hes4	Immune	Immune	0.07032746169778503	0.026056211809912105	0.6407908712042392	0.5271080432957213	FALSE	0.8287466247371291
Sgk1	Hla-dqa1	Immune	Immune	0.0345015647319378	0.1651386294935722	0.5430236538737374	0.8923776623409237	FALSE	0.812248712061929
Psap	C1qc	Immune	Immune	0.04664766698733992	0.08722682795606464	0.29996812482497875	0.8621017675061988	FALSE	0.773394637600723
Lcp1	Fcer1g	Immune	Immune	0.04891758590712713	0.04295500583547673	0.8676163747639597	0.8484612568601533	FALSE	0.8006986077011384
Col6a3	Cd44	Muscle	Immune	0.028277683570303573	0.09379090112658527	0.2251717165210319	0.6758407825007328	TRUE	0.7833536690459831
B2m	Hla-a	Immune	Immune	0.021953889736364012	0.07275195163407448	0.2979103931450251	0.4251329367592297	FALSE	0.8052540343684235
Hla-b	Hla-c	Immune	Immune	0.09022591802105732	0.07233227564292347	0.562756044687283	0.4081254937784352	FALSE	0.8598516292689116
Sema6b	Serpinb9	Immune	Immune	0.08934177743887459	0.04877262832603012	0.6473338450901005	0.7950408538697887	FALSE	0.8713898444493139
Ctsz	Serpinb9	Immune	Immune	0.027640040559576654	0.04877262832603012	0.5281773654172102	0.7950408538697887	FALSE	0.7646619499222318
Sat1	Csf2ra	Immune	Immune	0.07032746169778503	0.12331905021572553	0.6407908712042392	0.8780155116327382	FALSE	0.8840680844670422
Coro1a	Laptm5	Immune	Immune	0.039247799384793544	0.06822612864594305	0.8185140594958733	0.8670120016255647	FALSE	0.8461147815552972
Mt-co2	Mt-co1	Immune	Immune	0.013007356725002172	0.011071976951907822	0.1703695408008748	0.1529306821463373	FALSE	0.8643205180203383
Mt-co3	Mt-co1	Immune	Immune	0.007943371171632178	0.011071976951907822	0.10430937691421628	0.1529306821463373	FALSE	0.6889889543700762
Mt-cyb	Mt-co2	Immune	Immune	0.005766319544977493	0.013007356725002172	0.06948436062901243	0.1703695408008748	FALSE	0.3264248996880247
Hla-drb1	Hla-dra	Immune	Immune	0.24746069338583354	0.24663646905763895	0.8856307329529862	0.8778248214637904	FALSE	0.6178804983803602
Hla-drb1	Cd74	Immune	Immune	0.24746069338583354	0.2057980606911558	0.8856307329529862	0.8517665066675612	FALSE	0.4561497187949307
Hla-dpa1	Hla-drb1	Immune	Immune	0.2067178207385831	0.24746069338583354	0.8725409337416996	0.8856307329529862	FALSE	0.8027706400037972
Tagln	Actg2	Muscle	Muscle	0.042241386881220026	0.029323021503302883	0.7660572197291108	0.8393440724398927	FALSE	0.5264816019640923
Acta2	Tagln	Muscle	Muscle	0.03245724061791314	0.042241386881220026	0.5839402234473263	0.7660572197291108	FALSE	0.21348231632824233
