node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Hla-e	Dusp1	Endothelial	Endothelial	0.03629577884278771	0.01022467438849791	0.2602227969967942	0.25406573838438884	FALSE	0.9097679165666107
Col4a2	Col4a1	Endothelial	Endothelial	0.0327984934770597	0.05931515314960636	0.22315668955054294	0.38295894041073786	FALSE	0.8798042897533267
Gpihbp1	Gja4	Endothelial	Endothelial	0.03543533145988303	0.03434466546389219	0.8641553367092486	0.5827332709330187	FALSE	0.8876092982997964
Col4a1	Col15a1	Endothelial	Endothelial	0.05931515314960636	0.028252355091871767	0.38295894041073786	0.7028635421097215	FALSE	0.8884397365876283
Madcam1	Prcp	Endothelial	Endothelial	0.12505633011519407	0.03789105854984208	0.8381844700149517	0.6664666066500017	FALSE	0.9017285015553118
Madcam1	Aplnr	Endothelial	Endothelial	0.12505633011519407	0.12216816430243348	0.8381844700149517	0.8286382056891046	FALSE	0.8878468391111569
Igfbp3	Cxcl14	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.029971277267333393	0.05721015581048417	0.5975442966782298	0.787728613635714	FALSE	0.8898448587203829
Lrrfip1	Rbms1	Endothelial	Endothelial	0.01169194223978846	0.011311451195509843	0.3310931083034075	0.152282722100063	FALSE	0.9360746218387687
Arih1	Asap1	Endothelial	Endothelial	0.01073968611100659	0.0130220269036847	0.19698516143446493	0.4021418969403938	FALSE	0.9149452690169398
Postn	Igfbp3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08086424430039835	0.029971277267333393	0.6260153621311679	0.5975442966782298	FALSE	0.9029976306754524
Stom	Lrrfip1	Endothelial	Endothelial	0.01619760058507084	0.01169194223978846	0.3497981675248381	0.3310931083034075	FALSE	0.9085204048695746
Pecam1	Kdr	Endothelial	Endothelial	0.1212224320521816	0.13671903125444942	0.8309619969240292	0.8559208426988136	FALSE	0.8960160733405397
Prcp	Calcrl	Endothelial	Endothelial	0.03789105854984208	0.10694317522985221	0.6664666066500017	0.7745553462760133	FALSE	0.8975002037059722
Cdh5	Nrp1	Endothelial	Endothelial	0.13170547900166263	0.08461873859176845	0.8659680142122235	0.6303536695462906	FALSE	0.8723355690184402
Rasip1	Skil	Endothelial	Endothelial	0.041667771969777286	0.013607881788709945	0.8029874646455017	0.32205409856016814	FALSE	0.8770269526132263
Igfbp3	Notch4	Endothelial	Endothelial	0.028268683949948425	0.12195269730343951	0.39871276360772373	0.8475447638819485	FALSE	0.9034667103806326
Podxl	Btnl9	Endothelial	Endothelial	0.11858651041553345	0.04018682234080852	0.8460541590098521	0.8900954845506495	FALSE	0.8965600547957909
Ramp2	Cav1	Endothelial	Endothelial	0.023168212874655245	0.021715324562663292	0.7252804445391322	0.4590733548123352	FALSE	0.8865155050322586
Cdh5	Efnb2	Endothelial	Endothelial	0.13170547900166263	0.09748897044450622	0.8659680142122235	0.6535595910837106	FALSE	0.8673019810033477
Asap1	Gnb1	Endothelial	Endothelial	0.0130220269036847	0.012621134691057731	0.4021418969403938	0.25191271465453646	FALSE	0.8824998164072443
Pecam1	Hla-b	Endothelial	Endothelial	0.1212224320521816	0.045203862119214025	0.8309619969240292	0.3156094446328907	FALSE	0.8770915931672654
Arih1	Ehd4	Endothelial	Endothelial	0.01073968611100659	0.03284035823138319	0.19698516143446493	0.5300045798341219	FALSE	0.8768140829613414
Arpc1b	Vgll4	Endothelial	Endothelial	0.010734521861863001	0.010939304258195974	0.2303420071578614	0.23964820875040002	FALSE	0.8584743653738903
Hla-b	Hla-e	Endothelial	Endothelial	0.045203862119214025	0.03629577884278771	0.3156094446328907	0.2602227969967942	FALSE	0.8852642783753357
Plat	Dll1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.09600970869463368	0.44346688124831446	0.6848389593701594	FALSE	0.9294565247187423
Pkn1	Tacc1	Endothelial	Endothelial	0.016076619828046725	0.01106218340742767	0.3430925781841125	0.25525364381247123	FALSE	0.8928879252288978
Vgll4	Rbms1	Endothelial	Endothelial	0.010939304258195974	0.011311451195509843	0.23964820875040002	0.152282722100063	FALSE	0.8826076698602051
Ecscr	Igfbp2	Endothelial	Endothelial	0.029441376741731175	0.01490208592439787	0.7911926742647254	0.3440434709460378	FALSE	0.8986869001491353
Igf2bp2	Dysf	Endothelial	Endothelial	0.011568402921025093	0.02493686802381582	0.1695655301990925	0.8715549705047603	FALSE	0.8942678794055183
Cyth2	Gnb1	Endothelial	Endothelial	0.012710508786951612	0.012621134691057731	0.26129526013312315	0.25191271465453646	FALSE	0.9132560430903209
Tjp1	Hdac7	Endothelial	Endothelial	0.017609495162776552	0.027923747759911077	0.3955805977518025	0.5347510315507544	FALSE	0.8922880081554313
Tmbim4	Degs1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.013404080634688157	0.011417606147480353	0.20659740029113682	0.21956088608974683	FALSE	0.8717014587379941
Ace	Dll4	Endothelial	Endothelial	0.020724079221879705	0.10222588143056828	0.7545299985986553	0.7314063573111675	FALSE	0.9210449866862189
Igf2bp2	Tgfbr2	Endothelial	Endothelial	0.011568402921025093	0.08551672916580733	0.1695655301990925	0.5836991242718337	FALSE	0.8860063602817758
Flt1	Tgfbr2	Endothelial	Endothelial	0.0384876321627075	0.08551672916580733	0.8385611197846725	0.5836991242718337	FALSE	0.9109872326550006
Tgfbr2	Itga6	Endothelial	Endothelial	0.08551672916580733	0.09502520940228887	0.5836991242718337	0.6829751219622223	FALSE	0.8865842230648623
Ehd4	Prrc2b	Endothelial	Endothelial	0.03284035823138319	0.01760183961163474	0.5300045798341219	0.2532930379531593	FALSE	0.9129064872244637
Arih1	Tjp1	Endothelial	Endothelial	0.01073968611100659	0.017609495162776552	0.19698516143446493	0.3955805977518025	FALSE	0.9217354136803164
Bcam	Efcab14	Endothelial	Endothelial	0.022225823578631676	0.018574486268195755	0.40681913373450795	0.541420394809637	FALSE	0.936084357914357
Hdac7	Jak1	Endothelial	Endothelial	0.027923747759911077	0.012825305738256519	0.5347510315507544	0.2795282795655104	FALSE	0.9139281859651851
Pkn1	Vgll4	Endothelial	Endothelial	0.016076619828046725	0.010939304258195974	0.3430925781841125	0.23964820875040002	FALSE	0.9007285804929537
Qki	Igf2bp2	Endothelial	Endothelial	0.01028700305799255	0.011568402921025093	0.24086946050546457	0.1695655301990925	FALSE	0.9277692135204559
Sox18	Npdc1	Endothelial	Endothelial	0.03211268052313454	0.03263575793765863	0.8377957869210773	0.6300972417614511	FALSE	0.8765656290661586
Itga5	Tspan14	Endothelial	Endothelial	0.07923276532499786	0.018642011687513407	0.5733028004291383	0.41054888828871455	FALSE	0.8754346611595799
Map3k11	Igf2bp2	Endothelial	Endothelial	0.024954697149481238	0.011568402921025093	0.5044220159968991	0.1695655301990925	FALSE	0.8881627668669417
Cyyr1	Sh3bp5	Endothelial	Endothelial	0.02637661486735736	0.0236540539880365	0.7601044784309888	0.5926600040554781	FALSE	0.8963636496218116
Dll1	Notch4	Myofibroblast_Mesothelium	Endothelial	0.09600970869463368	0.12195269730343951	0.6848389593701594	0.8475447638819485	TRUE	0.8552044949372557
Atp2b1	Prcp	Endothelial	Endothelial	0.015055319510425234	0.03789105854984208	0.2511799301326409	0.6664666066500017	FALSE	0.8905360168949779
