node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Plat	Pdgfra	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.0792373842769407	0.44346688124831446	0.6301612837498084	FALSE	0.9554581004102227
Bmp5	Nsg1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08675809691931467	0.0316541559249119	0.6975665327295925	0.6496312299915509	FALSE	0.9473677509916238
Plaur	Cxcl3	Immune	Immune	0.04651863595472344	0.0774401583809384	0.6128090924960056	0.505684995271419	FALSE	0.9116397160987678
Ccl4l2	Tnf	Immune	Immune	0.06733566300248026	0.12510894017479068	0.8649539922324069	0.871149406341857	FALSE	0.7764673450891353
Anxa1	Stab1	Immune	Immune	0.0610004447782005	0.04625712185565733	0.48012387100877524	0.6351187849674309	FALSE	0.8735030036960362
Bmp4	Ackr3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.083964184441644385	0.09072289560714039	0.6573172705688001	0.6307242506429122	FALSE	0.947513194885055
Itga8	Lama4	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.07573057551995231	0.04131423025744771	0.6112509234607533	0.2900314231453229	FALSE	0.9312466200232034
Adgre5	Srgn	Immune	Immune	0.09731446792769427	0.07090956372166075	0.6777148457286731	0.8497946964925158	FALSE	0.8130318681436783
Pdgfd	Plat	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.09041238264866575	0.0360337280179699	0.727493226529476	0.44346688124831446	FALSE	0.847343740993189
Tnfrsf1b	Hes4	Immune	Immune	0.10946023650614456	0.026056211809912105	0.7509486752620328	0.5271080432957213	FALSE	0.7535981970791
Hcst	Tagap	Immune	Immune	0.10667925805887796	0.054002996310921925	0.8536204549807306	0.8783523273419618	FALSE	0.8332514295305995
Ldlrad4	Cxcr4	Immune	Immune	0.03631803001661995	0.10533760451658512	0.7377612915132332	0.7970645911157754	FALSE	0.9450172259785884
Hla-drb1	Hla-dra	Immune	Immune	0.24746069338583354	0.24663646905763895	0.8856307329529862	0.8778248214637904	FALSE	0.9278202253528323
Hla-drb1	Cd74	Immune	Immune	0.24746069338583354	0.2057980606911558	0.8856307329529862	0.8517665066675612	FALSE	0.9254875325731066
Hla-dpa1	Hla-drb1	Immune	Immune	0.2067178207385831	0.24746069338583354	0.8725409337416996	0.8856307329529862	FALSE	0.8867090353350378
Cst3	Hla-drb1	Immune	Immune	0.06890713974073798	0.24746069338583354	0.5562367181455767	0.8856307329529862	FALSE	0.8817262642183479
Hla-dpb1	Hla-dra	Immune	Immune	0.1958403838260118	0.24663646905763895	0.8546521511091076	0.8778248214637904	FALSE	0.8309302344678524
Hla-dqb1	Hla-dra	Immune	Immune	0.14701524449912967	0.24663646905763895	0.8803856767791143	0.8778248214637904	FALSE	0.8979841576958079
Cxcl8	Il1b	Immune	Immune	0.19046542981602518	0.18231381267715582	0.8767962125173634	0.8697161922334553	FALSE	0.8355423718314778
Ccl4	Ccl3	Immune	Immune	0.17149794838313312	0.1585943255486752	0.875668978093731	0.8706375727292728	FALSE	0.875873577907931
Igfbp3	Cxcl14	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.029971277267333393	0.05721015581048417	0.5975442966782298	0.787728613635714	FALSE	0.673376705384076
Hla-dpb1	Hla-dqa1	Immune	Immune	0.1958403838260118	0.1651386294935722	0.8546521511091076	0.8923776623409237	FALSE	0.8563908159786991
B2m	Hla-b	Immune	Immune	0.021953889736364012	0.09022591802105732	0.2979103931450251	0.562756044687283	FALSE	0.9154445971155979
Sat1	Hla-dra	Immune	Immune	0.07032746169778503	0.24663646905763895	0.6407908712042392	0.8778248214637904	FALSE	0.9230732826582857
C1qc	C1qa	Immune	Immune	0.08722682795606464	0.05913258632579614	0.8621017675061988	0.8665901450262423	FALSE	0.7497419275788293
Sod2	Il1b	Immune	Immune	0.04683674639390021	0.18231381267715582	0.5977686118638561	0.8697161922334553	FALSE	0.8654163202324179
Hla-dma	Hla-drb1	Immune	Immune	0.1427262938760449	0.24746069338583354	0.855012779629633	0.8856307329529862	FALSE	0.9006443104284221
Cpvl	Hla-drb1	Immune	Immune	0.05185398602044615	0.24746069338583354	0.6670302154977367	0.8856307329529862	FALSE	0.8688970937336644
Ccl4l2	Ccl4	Immune	Immune	0.06733566300248026	0.17149794838313312	0.8649539922324069	0.875668978093731	FALSE	0.9053323886001389
Cst3	Cxcl16	Immune	Immune	0.06890713974073798	0.10112800090680142	0.5562367181455767	0.6948901866703412	FALSE	0.935297046610706
Plaur	Sod2	Immune	Immune	0.04651863595472344	0.04683674639390021	0.6128090924960056	0.5977686118638561	FALSE	0.9125264761060036
Ccl3	Cxcl8	Immune	Immune	0.1585943255486752	0.19046542981602518	0.8706375727292728	0.8767962125173634	FALSE	0.818256822306688
Plaur	Sat1	Immune	Immune	0.04651863595472344	0.07032746169778503	0.6128090924960056	0.6407908712042392	FALSE	0.6007318709524911
Postn	Plat	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08086424430039835	0.0360337280179699	0.6260153621311679	0.44346688124831446	FALSE	0.7755943927848219
Plat	Ackr3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.09072289560714039	0.44346688124831446	0.6307242506429122	FALSE	0.6785619387743211
Ctsz	Hla-drb1	Immune	Immune	0.027640040559576654	0.24746069338583354	0.5281773654172102	0.8856307329529862	FALSE	0.8865216028685072
Plat	Fn1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.053977012568459014	0.44346688124831446	0.3509119971999273	FALSE	0.7207584534796667
Cyba	Hla-dpa1	Immune	Immune	0.03682824268285337	0.2067178207385831	0.549751851551744	0.8725409337416996	FALSE	0.5329705205541496
Postn	Igfbp3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08086424430039835	0.029971277267333393	0.6260153621311679	0.5975442966782298	FALSE	0.5287185222314357
Srgn	Fcer1g	Immune	Immune	0.07090956372166075	0.04295500583547673	0.8497946964925158	0.8484612568601533	FALSE	0.8786409120812801
Fgl2	Hla-dpa1	Immune	Immune	0.05291079258360177	0.2067178207385831	0.7851030811843629	0.8725409337416996	FALSE	0.7658894753702548
Plat	Dll1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.09600970869463368	0.44346688124831446	0.6848389593701594	FALSE	0.8920769312347648
B2m	Srgn	Immune	Immune	0.021953889736364012	0.07090956372166075	0.2979103931450251	0.8497946964925158	FALSE	0.9536982291108062
Tyrobp	Fcer1g	Immune	Immune	0.0549039835245348	0.04295500583547673	0.8553230085808066	0.8484612568601533	FALSE	0.8996701633046507
Cst3	Fcer1g	Immune	Immune	0.06890713974073798	0.04295500583547673	0.5562367181455767	0.8484612568601533	FALSE	0.8897302565286925
Icam1	Il1b	Immune	Immune	0.07376332616175728	0.18231381267715582	0.4146782443604108	0.8697161922334553	FALSE	0.9370539643394378
Cd74	C1qa	Immune	Immune	0.2057980606911558	0.05913258632579614	0.8517665066675612	0.8665901450262423	FALSE	0.9217422191957524
Hla-dqa1	Dnase1l3	Immune	Immune	0.1651386294935722	0.05024811221544936	0.8923776623409237	0.8838812889503134	FALSE	0.920914283824552
Cd7	Hla-drb1	Immune	Immune	0.05308747083333386	0.24746069338583354	0.8723728706877631	0.8856307329529862	FALSE	0.8980169610086923
Plat	Nsg1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.0316541559249119	0.44346688124831446	0.6496312299915509	FALSE	0.9321049858540318
Lama4	Cd44	Myofibroblast_Mesothelium	Immune	0.04131423025744771	0.09379090112658527	0.2900314231453229	0.6758407825007328	TRUE	0.8550400068058897
Il2rg	Cxcl8	Immune	Immune	0.116266022689748	0.19046542981602518	0.7172794458202159	0.8767962125173634	FALSE	0.8729978157794832
Ptprc	C1qc	Immune	Immune	0.14348200107795359	0.08722682795606464	0.8965136795523907	0.8621017675061988	FALSE	0.8629936844693868
Csf1r	C1qc	Immune	Immune	0.13207327989387305	0.08722682795606464	0.8561291573115357	0.8621017675061988	FALSE	0.8870745489580093
Npy	Fn1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.09965752446510952	0.053977012568459014	0.7627883232132818	0.3509119971999273	FALSE	0.9290852024606654
Itgb2	Cst3	Immune	Immune	0.13166237828360403	0.06890713974073798	0.872862624331008	0.5562367181455767	FALSE	0.9371598326231768
Cyba	Laptm5	Immune	Immune	0.03682824268285337	0.06822612864594305	0.549751851551744	0.8670120016255647	FALSE	0.8490994787249637
Sat1	Stab1	Immune	Immune	0.07032746169778503	0.04625712185565733	0.6407908712042392	0.6351187849674309	FALSE	0.8432053164463612
Sat1	Hes4	Immune	Immune	0.07032746169778503	0.026056211809912105	0.6407908712042392	0.5271080432957213	FALSE	0.8668721346190581
Sgk1	Hla-dqa1	Immune	Immune	0.0345015647319378	0.1651386294935722	0.5430236538737374	0.8923776623409237	FALSE	0.8495783082113236
Fn1	Cd44	Myofibroblast_Mesothelium	Immune	0.053977012568459014	0.09379090112658527	0.3509119971999273	0.6758407825007328	TRUE	0.9076449770684563
Psap	C1qc	Immune	Immune	0.04664766698733992	0.08722682795606464	0.29996812482497875	0.8621017675061988	FALSE	0.9223644659493496
B2m	Hla-a	Immune	Immune	0.021953889736364012	0.07275195163407448	0.2979103931450251	0.4251329367592297	FALSE	0.8934756210228048
Hla-b	Hla-c	Immune	Immune	0.09022591802105732	0.07233227564292347	0.562756044687283	0.4081254937784352	FALSE	0.915672772727002
Sema6b	Serpinb9	Immune	Immune	0.08934177743887459	0.04877262832603012	0.6473338450901005	0.7950408538697887	FALSE	0.904331059718446
Ctsz	Serpinb9	Immune	Immune	0.027640040559576654	0.04877262832603012	0.5281773654172102	0.7950408538697887	FALSE	0.8015696851936831
Sat1	Csf2ra	Immune	Immune	0.07032746169778503	0.12331905021572553	0.6407908712042392	0.8780155116327382	FALSE	0.9017689233615935
Nampt	Il1b	Immune	Immune	0.06387556226944864	0.18231381267715582	0.41821044982366484	0.8697161922334553	FALSE	0.927375831078006
Ldlrad4	Vsir	Immune	Immune	0.03631803001661995	0.05562671316745238	0.7377612915132332	0.3746444314728944	FALSE	0.9129472888489976
Psap	Vsir	Immune	Immune	0.04664766698733992	0.05562671316745238	0.29996812482497875	0.3746444314728944	FALSE	0.9044490982676514
Cxcl14	F2r	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.05721015581048417	0.0818423070538012	0.787728613635714	0.5928282560449316	FALSE	0.817076907419008
Cd55	Laptm5	Immune	Immune	0.06693733112078776	0.06822612864594305	0.4577619423516963	0.8670120016255647	FALSE	0.8674587417360109
Sdc2	F2r	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.05470340827434591	0.0818423070538012	0.37301778506812877	0.5928282560449316	FALSE	0.9280918546545207
Cd44	Sgk1	Immune	Immune	0.09379090112658527	0.0345015647319378	0.6758407825007328	0.5430236538737374	FALSE	0.9331709261723632
Tagap	Hla-drb1	Immune	Immune	0.054002996310921925	0.24746069338583354	0.8783523273419618	0.8856307329529862	FALSE	0.8750533414832541
