node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Ptch1	Vegfa	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.07660676373179508	0.037120198679479355	0.577623776030637	0.2852791580948191	FALSE	0.6260499980112701
Postn	Ccdc107	Muscle	Muscle	0.03976273169618855	0.015526707118625572	0.31981829236131165	0.278096165300178	FALSE	0.8841563138243409
Sdc2	F2r	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.05470340827434591	0.0818423070538012	0.37301778506812877	0.5928282560449316	FALSE	0.8755846058115296
Bmp5	Nsg1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08675809691931467	0.0316541559249119	0.6975665327295925	0.6496312299915509	FALSE	0.9429381671861405
Tpm1	Nrp2	Muscle	Muscle	0.02953902846373782	0.06735198300020795	0.5783358678770224	0.5144202553561562	FALSE	0.9267501347983791
Plat	Pdgfra	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.0792373842769407	0.44346688124831446	0.6301612837498084	FALSE	0.928372295865252
Nell1	Igfbp3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.02696653057230238	0.029971277267333393	0.7821807223390311	0.5975442966782298	FALSE	0.91319359161275
Col6a3	Itgb1	Muscle	Myofibroblast_Mesothelium	0.028277683570303573	0.02718522751011799	0.2251717165210319	0.1664480942311201	TRUE	0.86506295002056
Rarres2	Leprot	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.04489486690874259	0.01321482593112992	0.3043579892607989	0.24834566791083862	FALSE	0.9316283557658339
Cxcl14	F2r	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.05721015581048417	0.0818423070538012	0.787728613635714	0.5928282560449316	FALSE	0.911811138418729
Ltbp4	Col6a3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.025873225471191655	0.0401013564871864	0.5365172322959781	0.31498033859652663	FALSE	0.9038125496074434
Bmp4	Ackr3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.083964184441644385	0.09072289560714039	0.6573172705688001	0.6307242506429122	FALSE	0.9129744559350528
Fzd1	Crtap	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.057491636078692766	0.012843603648838896	0.47919530339158667	0.22084979772381838	FALSE	0.8890066798705508
Pdgfd	Plat	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.09041238264866575	0.0360337280179699	0.727493226529476	0.44346688124831446	FALSE	0.9029242304967952
Sema3a	Nid1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.07354355748837797	0.020050384222904612	0.5327188072624616	0.3130766750580408	FALSE	0.9159111704103413
C1r	Efnb1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.02095507053837838	0.04870671906998685	0.4774935467907453	0.36345750668340904	FALSE	0.9060892035795884
F2r	Prom1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0818423070538012	0.027964170664464643	0.5928282560449316	0.7071243634625762	FALSE	0.9186162620499322
