node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Mt-co2	Mt-co1	Immune	Immune	0.013007356725002172	0.011071976951907822	0.1703695408008748	0.1529306821463373	FALSE	0.9552145519690205
Hla-drb1	Hla-dra	Immune	Immune	0.24746069338583354	0.24663646905763895	0.8856307329529862	0.8778248214637904	FALSE	0.900202328576658
Hla-drb1	Cd74	Immune	Immune	0.24746069338583354	0.2057980606911558	0.8856307329529862	0.8517665066675612	FALSE	0.9600971409771716
Sgk1	Hla-dqa1	Immune	Immune	0.0345015647319378	0.1651386294935722	0.5430236538737374	0.8923776623409237	FALSE	0.8927824185454413
Prmt9	Mcl1	Immune	Immune	0.05062287896851685	0.017654495179446544	0.8001425019422411	0.29626084775212747	FALSE	0.9118738265234144
Col9a3	Cd44	Neural	Immune	0.07672750338346726	0.09379090112658527	0.6142752419827001	0.6758407825007328	TRUE	0.7478998313868526
Psap	C1qc	Immune	Immune	0.04664766698733992	0.08722682795606464	0.29996812482497875	0.8621017675061988	FALSE	0.8656111986850349
Lcp1	Fcer1g	Immune	Immune	0.04891758590712713	0.04295500583547673	0.8676163747639597	0.8484612568601533	FALSE	0.8944497629454756
Sat1	Rgs1	Immune	Immune	0.07032746169778503	0.035320959629796825	0.6407908712042392	0.8633830703891705	FALSE	0.7922552782931519
B2m	Hla-a	Immune	Immune	0.021953889736364012	0.07275195163407448	0.2979103931450251	0.4251329367592297	FALSE	0.9743889120658502
Icam1	Ptgs2	Immune	Immune	0.07376332616175728	0.0328759840308786	0.4146782443604108	0.7001936620526245	FALSE	0.8338780953653703
Hla-b	Hla-c	Immune	Immune	0.09022591802105732	0.07233227564292347	0.562756044687283	0.4081254937784352	FALSE	0.7201578783785146
Cxcl8	Mcl1	Immune	Immune	0.19046542981602518	0.017654495179446544	0.8767962125173634	0.29626084775212747	FALSE	0.8167830884939965
Sema6b	Serpinb9	Immune	Immune	0.08934177743887459	0.04877262832603012	0.6473338450901005	0.7950408538697887	FALSE	0.8640934524834574
Ctsz	Serpinb9	Immune	Immune	0.027640040559576654	0.04877262832603012	0.5281773654172102	0.7950408538697887	FALSE	0.9443420317418982
Sat1	Csf2ra	Immune	Immune	0.07032746169778503	0.12331905021572553	0.6407908712042392	0.8780155116327382	FALSE	0.9315019703956854
Pcsk1n	Dst	Neural	Neural	0.01591482254959766	0.016608251137631192	0.6051616006487274	0.49757012899285835	FALSE	0.9286722430508082
Ednrb	Vim	Neural	Neural	0.0612305887680191	0.02403596052330205	0.5326195974216755	0.3481024159298193	FALSE	0.8816310831597447
Coro1a	Laptm5	Immune	Immune	0.039247799384793544	0.06822612864594305	0.8185140594958733	0.8670120016255647	FALSE	0.8755866165224281
Fxyd5	Arhgdib	Immune	Immune	0.019989363486020626	0.03619377870074113	0.3732331994183616	0.7296804463898378	FALSE	0.8832982561734114
Phactr1	Cxcl8	Immune	Immune	0.03551904680407235	0.19046542981602518	0.7991029725911122	0.8767962125173634	FALSE	0.9325339693449166
Icam1	Tnfaip3	Immune	Immune	0.07376332616175728	0.0434111237315379	0.4146782443604108	0.7031257800578565	FALSE	0.9483131856257443
Dst	Nrxn1	Neural	Neural	0.016608251137631192	0.10725605859679592	0.49757012899285835	0.874262210733052	FALSE	0.9797361932811469
