node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Igfbp3	Cxcl14	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.029971277267333393	0.05721015581048417	0.5975442966782298	0.787728613635714	FALSE	0.9513927253928861
Vim	Plp1	Neural	Neural	0.02403596052330205	0.030084908665455958	0.3481024159298193	0.8688218281019667	FALSE	0.954305689112467
S100b	Plp1	Neural	Neural	0.027161710492094242	0.030084908665455958	0.8506970057802938	0.8688218281019667	FALSE	0.947513194885055
Vim	Mpz	Neural	Neural	0.02403596052330205	0.11202725668751681	0.3481024159298193	0.8761731569541686	FALSE	0.9312466200232034
Ptn	Ptprz1	Myofibroblast_Mesothelium	Neural	0.04546787705261957	0.09817042412538883	0.3323181955218304	0.8417293735876713	TRUE	0.9631741824609701
Prph	Vim	Neural	Neural	0.02306779776992114	0.02403596052330205	0.8260616767996473	0.3481024159298193	FALSE	0.9700327119421351
Postn	Plat	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08086424430039835	0.0360337280179699	0.6260153621311679	0.44346688124831446	FALSE	0.8708342092782196
Plat	Ackr3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.09072289560714039	0.44346688124831446	0.6307242506429122	FALSE	0.9675822270397764
Plat	Fn1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.053977012568459014	0.44346688124831446	0.3509119971999273	FALSE	0.8898970385938144
Postn	Igfbp3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08086424430039835	0.029971277267333393	0.6260153621311679	0.5975442966782298	FALSE	0.9092550081772355
Cdh19	Vim	Neural	Neural	0.02573939617056114	0.02403596052330205	0.8731922694741701	0.3481024159298193	FALSE	0.960378705467636
Plat	Dll1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.09600970869463368	0.44346688124831446	0.6848389593701594	FALSE	0.9230732826582857
Plat	Nsg1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.0316541559249119	0.44346688124831446	0.6496312299915509	FALSE	0.9183143914051003
Chrna3	Prph	Neural	Neural	0.10339431901377039	0.02306779776992114	0.8196466840748267	0.8260616767996473	FALSE	0.7658894753702548
Npy	Fn1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.09965752446510952	0.053977012568459014	0.7627883232132818	0.3509119971999273	FALSE	0.9219026418097432
Ptn	Cxcl14	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.04546787705261957	0.05721015581048417	0.3323181955218304	0.787728613635714	FALSE	0.9089164783671737
Mdk	Sdc2	Neural	Myofibroblast_Mesothelium	0.0276356325015556	0.05470340827434591	0.23568781679234063	0.37301778506812877	TRUE	0.8980169610086923
Col9a3	Itgb1	Neural	Myofibroblast_Mesothelium	0.07672750338346726	0.02718522751011799	0.6142752419827001	0.1664480942311201	TRUE	0.9321049858540318
Vim	Mdk	Neural	Neural	0.02403596052330205	0.0276356325015556	0.3481024159298193	0.23568781679234063	FALSE	0.8550400068058897
Ednrb	Vim	Neural	Neural	0.0612305887680191	0.02403596052330205	0.5326195974216755	0.3481024159298193	FALSE	0.8729978157794832
Mdk	Itgb1	Neural	Myofibroblast_Mesothelium	0.0276356325015556	0.02718522751011799	0.23568781679234063	0.1664480942311201	TRUE	0.8629936844693868
Vim	Sema3b	Neural	Neural	0.02403596052330205	0.08313301662216148	0.3481024159298193	0.627032120620765	FALSE	0.8870745489580093
Cxcl14	F2r	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.05721015581048417	0.0818423070538012	0.787728613635714	0.5928282560449316	FALSE	0.9290852024606654
Sdc2	F2r	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.05470340827434591	0.0818423070538012	0.37301778506812877	0.5928282560449316	FALSE	0.8668721346190581
Plat	Pdgfra	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.0792373842769407	0.44346688124831446	0.6301612837498084	FALSE	0.8495783082113236
Bmp5	Nsg1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08675809691931467	0.0316541559249119	0.6975665327295925	0.6496312299915509	FALSE	0.8368958515148182
Pdgfd	Plat	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.09041238264866575	0.0360337280179699	0.727493226529476	0.44346688124831446	FALSE	0.9075669295274986
S100b	Erbb3	Neural	Neural	0.027161710492094242	0.06745014281916013	0.8506970057802938	0.5466076523033336	FALSE	0.8270206883766407
Bmp4	Ackr3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.083964184441644385	0.09072289560714039	0.6573172705688001	0.6307242506429122	FALSE	0.9419964767703999
App	Cdh2	Neural	Neural	0.05505558942765039	0.10099067677225468	0.42398576549609646	0.829745464089096	FALSE	0.7790398288961415
App	Erbb3	Neural	Neural	0.05505558942765039	0.06745014281916013	0.42398576549609646	0.5466076523033336	FALSE	0.927375831078006
Col9a3	Lrrc4c	Neural	Neural	0.07672750338346726	0.09092469216672938	0.6142752419827001	0.7107819184060745	FALSE	0.9116048218341984
Cadm1	L1cam	Neural	Neural	0.08643120010232397	0.10278219163427056	0.6970082183662653	0.851300503804952	FALSE	0.8210190489744041
Chrna3	L1cam	Neural	Neural	0.10339431901377039	0.10278219163427056	0.8196466840748267	0.851300503804952	FALSE	0.775873247015966
Cdh19	Nrxn1	Neural	Neural	0.02573939617056114	0.10725605859679592	0.8731922694741701	0.874262210733052	FALSE	0.921960996376294
