node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Ctnnd1	Sun1	Endothelial	Endothelial	0.010730172275213242	0.009949154441936411	0.2320315234639346	0.17515891696875802	FALSE	0.9097679165666107
Cspg4	Itga2	Pericytes	Endothelial	0.07265324115185645	0.08361168363763824	0.6116592644193806	0.7046385761335899	TRUE	0.8798042897533267
Madcam1	Prcp	Endothelial	Endothelial	0.12505633011519407	0.03789105854984208	0.8381844700149517	0.6664666066500017	FALSE	0.8876092982997964
Madcam1	Aplnr	Endothelial	Endothelial	0.12505633011519407	0.12216816430243348	0.8381844700149517	0.8286382056891046	FALSE	0.8884397365876283
Angpt2	Tek	Pericytes	Endothelial	0.10103842890538346	0.10070674661995714	0.777686821570688	0.8305856881646827	TRUE	0.9017285015553118
Asap1	Igf2bp2	Endothelial	Endothelial	0.0130220269036847	0.011568402921025093	0.4021418969403938	0.1695655301990925	FALSE	0.832191845852333
Rab11a	Hyal2	Endothelial	Endothelial	0.011430842699106774	0.0206951911792971	0.2586526387917908	0.5543433523289449	FALSE	0.8779561409793006
Gpihbp1	Aqp1	Endothelial	Endothelial	0.03543533145988303	0.027653754340002883	0.8641553367092486	0.7297115746859542	FALSE	0.8878468391111569
Slc25a37	Rbms1	Endothelial	Endothelial	0.011529808934245444	0.011311451195509843	0.22372634207521108	0.152282722100063	FALSE	0.8898448587203829
Plvap	Igfbp4	Endothelial	Endothelial	0.033539394152667275	0.012835649731322415	0.8329993782787015	0.5061016122175136	FALSE	0.9360746218387687
Notch1	Podxl	Endothelial	Endothelial	0.06324144803538113	0.11858651041553345	0.4460160697207689	0.8460541590098521	FALSE	0.9149452690169398
Igfbp3	Gja4	Endothelial	Endothelial	0.028268683949948425	0.03434466546389219	0.39871276360772373	0.5827332709330187	FALSE	0.9029976306754524
Igfbp3	Myo10	Endothelial	Endothelial	0.028268683949948425	0.026956859840303892	0.39871276360772373	0.6526731565161914	FALSE	0.892574969742539
Gpihbp1	Gja4	Endothelial	Endothelial	0.03543533145988303	0.03434466546389219	0.8641553367092486	0.5827332709330187	FALSE	0.8572797058723101
Col4a1	Col15a1	Endothelial	Endothelial	0.05931515314960636	0.028252355091871767	0.38295894041073786	0.7028635421097215	FALSE	0.8985604287571332
Igfbp4	Prcp	Endothelial	Endothelial	0.012835649731322415	0.03789105854984208	0.5061016122175136	0.6664666066500017	FALSE	0.8974773558641971
Sox18	Cav1	Endothelial	Endothelial	0.03211268052313454	0.021715324562663292	0.8377957869210773	0.4590733548123352	FALSE	0.9071288355313686
Hla-e	Dusp1	Endothelial	Endothelial	0.03629577884278771	0.01022467438849791	0.2602227969967942	0.25406573838438884	FALSE	0.9085204048695746
Ntrk3	Eln	Pericytes	Pericytes	0.09322422410232455	0.02690052278394052	0.6957444943827367	0.45186652232882063	FALSE	0.8960160733405397
