node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Gucy2c	Oat	Epithelial	Epithelial	0.07346008471558871	0.014873048160493233	0.676010929327949	0.30309360529130047	FALSE	0.8995796955963742
Cxcl2	Cxcl3	Epithelial	Epithelial	0.07423297792416171	0.05178254865733545	0.415586499080848	0.31862543067297733	FALSE	0.8861190917892097
Spint1	Eda	Epithelial	Epithelial	0.037691425253883644	0.05417024358165424	0.6484295887865765	0.4879904438276439	FALSE	0.9276629363884568
Ebf1	Sema5b	Pericytes	Pericytes	0.012323884648044148	0.09449922475641884	0.541438991313922	0.8201309702836542	FALSE	0.8887660782591195
Jag1	Cav2	Pericytes	Pericytes	0.05115874940227111	0.01320433504620803	0.42967165437987537	0.35688251943387783	FALSE	0.9088684797936463
Clcf1	Ier3	Epithelial	Epithelial	0.04112958621520205	0.01374361976422635	0.3597997116271324	0.32552040571766316	FALSE	0.9201159998409407
Ethe1	Ereg	Epithelial	Epithelial	0.01139406366612717	0.07121964103362466	0.36038665194341	0.6391957573083445	FALSE	0.6646100693756689
Ier3	Plxna2	Epithelial	Epithelial	0.01374361976422635	0.014615101307342348	0.32552040571766316	0.1281886886215572	FALSE	0.8671413374177867
Heph	Sema3b	Epithelial	Epithelial	0.01310081143275215	0.025676314476337492	0.28237751972632547	0.20023134764039113	FALSE	0.9266238842283007
Sertad1	Tnfsf9	Pericytes	Pericytes	0.016717861882989283	0.03616682441824465	0.39597222281531075	0.3205145579501747	FALSE	0.9057656498180946
Mfge8	Esam	Pericytes	Pericytes	0.023827348831008125	0.040672927858869785	0.5007328198823187	0.31396734739276844	FALSE	0.9219883759885424
Cspg4	Mcam	Pericytes	Pericytes	0.07265324115185645	0.07587475540788527	0.6116592644193806	0.5540666744892075	FALSE	0.820300978607283
Itga1	Agrn	Pericytes	Pericytes	0.06406349753443943	0.026405181692781138	0.4124761806323361	0.22094512125175284	FALSE	0.7937758320422533
Ntrk3	Pdgfa	Pericytes	Pericytes	0.09322422410232455	0.06318863803221679	0.6957444943827367	0.49331448262535943	FALSE	0.8674382089910396
F2rl1	F11r	Epithelial	Epithelial	0.10009331090376636	0.0842969814411912	0.6711947355918865	0.611053609121713	FALSE	0.9001996160412286
