node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Acta2	Eln	Pericytes	Pericytes	0.016021055730578274	0.02690052278394052	0.3693255310454212	0.45186652232882063	FALSE	0.8890726544733885
Lamb1	Itga7	Fibroblasts	Pericytes	0.026786820313619432	0.08538236944649502	0.21899547947703787	0.7462261429138074	TRUE	0.8740453560469457
Ntrk3	Eln	Pericytes	Pericytes	0.09322422410232455	0.02690052278394052	0.6957444943827367	0.45186652232882063	FALSE	0.8968064585240727
Fbln1	Sparc	Fibroblasts	Fibroblasts	0.044928158251488416	0.022822206953050053	0.6440603205970007	0.35689021179793107	FALSE	0.9476672799929675
Pcolce	Sparc	Fibroblasts	Fibroblasts	0.018882315930445565	0.022822206953050053	0.45421374513683455	0.35689021179793107	FALSE	0.3386226822753301
Dcn	Mdk	Fibroblasts	Fibroblasts	0.030890166429708873	0.029810383596949163	0.6269253841996634	0.23925736560265518	FALSE	0.5171223577090027
Dcn	Mest	Fibroblasts	Fibroblasts	0.030890166429708873	0.012654857157880934	0.6269253841996634	0.40812470871073636	FALSE	0.8927017879560771
Mfap4	Cxcl12	Fibroblasts	Fibroblasts	0.02098062404006499	0.05810296982224343	0.3878699935890848	0.43205743039695965	FALSE	0.8900551764259751
Ntf3	Eln	Pericytes	Pericytes	0.07550330785551755	0.02690052278394052	0.6149513880768189	0.45186652232882063	FALSE	0.9205482200152008
Col6a2	Col1a1	Fibroblasts	Fibroblasts	0.059404400440299716	0.15828276552969223	0.34319549045857545	0.6188835963166893	FALSE	0.7543347285339154
Sult1e1	Rgs5	Pericytes	Pericytes	0.024305468932566337	0.031438473624785086	0.8043143477318577	0.7062575532251241	FALSE	0.9133979493494413
Sept7	Cpe	Pericytes	Pericytes	0.014767063919404605	0.012963751116266277	0.39552879149172937	0.6212350092419167	FALSE	0.9130690354715898
Col6a2	Col6a1	Fibroblasts	Fibroblasts	0.059404400440299716	0.040188164065440374	0.34319549045857545	0.27443610771481003	FALSE	0.8998099996792214
Sept7	Sult1e1	Pericytes	Pericytes	0.014767063919404605	0.024305468932566337	0.39552879149172937	0.8043143477318577	FALSE	0.931223809975164
