node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Cd14	C1qc	Immune	Immune	0.04746806598326899	0.08722682795606464	0.8243857135792917	0.8621017675061988	FALSE	0.9585347146963352
B2m	Srgn	Immune	Immune	0.021953889736364012	0.07090956372166075	0.2979103931450251	0.8497946964925158	FALSE	0.950288223831681
Plaur	Sat1	Immune	Immune	0.04651863595472344	0.07032746169778503	0.6128090924960056	0.6407908712042392	FALSE	0.9138706480124389
Thy1	Itgb2	Pericytes	Immune	0.05199585532525193	0.13166237828360403	0.4251533534198195	0.872862624331008	TRUE	0.7760894886323488
Ctsz	Hla-drb1	Immune	Immune	0.027640040559576654	0.24746069338583354	0.5281773654172102	0.8856307329529862	FALSE	0.8749979078914641
Gpr183	Hla-dra	Immune	Immune	0.044515406158095204	0.24663646905763895	0.8691372458060678	0.8778248214637904	FALSE	0.8133596965972293
Cyba	Hla-dpa1	Immune	Immune	0.03682824268285337	0.2067178207385831	0.549751851551744	0.8725409337416996	FALSE	0.8483337788478906
Ntf3	Eln	Pericytes	Pericytes	0.07550330785551755	0.02690052278394052	0.6149513880768189	0.45186652232882063	FALSE	0.7527789725607398
Sod2	Fam49a	Immune	Immune	0.04683674639390021	0.04108808423726641	0.5977686118638561	0.7564003077753477	FALSE	0.8339694897764017
Srgn	Fcer1g	Immune	Immune	0.07090956372166075	0.04295500583547673	0.8497946964925158	0.8484612568601533	FALSE	0.9478923343534618
Fgl2	Hla-dpa1	Immune	Immune	0.05291079258360177	0.2067178207385831	0.7851030811843629	0.8725409337416996	FALSE	0.8737226030413022
Mpeg1	Hla-drb1	Immune	Immune	0.04828639508345653	0.24746069338583354	0.8834863815492979	0.8856307329529862	FALSE	0.9279857234118424
Fnbp1	Rel	Immune	Immune	0.04019651163712457	0.03947485496882337	0.5750289902351913	0.6400389539767892	FALSE	0.8884588121904804
Il2rg	Cxcl8	Immune	Immune	0.116266022689748	0.19046542981602518	0.7172794458202159	0.8767962125173634	FALSE	0.883379875006385
Ptprc	C1qc	Immune	Immune	0.14348200107795359	0.08722682795606464	0.8965136795523907	0.8621017675061988	FALSE	0.901436439247622
Sept4	Rgs5	Pericytes	Pericytes	0.028213991336340328	0.031438473624785086	0.7912988622502396	0.7062575532251241	FALSE	0.9130690354715898
Cyba	Nfkb1	Immune	Immune	0.03682824268285337	0.04298895834961572	0.549751851551744	0.6807397132324245	FALSE	0.9155671618253403
Col4a1	Col6a3	Pericytes	Pericytes	0.04956455896936746	0.05331355481750798	0.36511167001157707	0.3558793534336543	FALSE	0.8998099996792214
Csf1r	C1qc	Immune	Immune	0.13207327989387305	0.08722682795606464	0.8561291573115357	0.8621017675061988	FALSE	0.9295158053614039
Pdgfrb	Itga1	Pericytes	Pericytes	0.10932543292583898	0.06406349753443943	0.6705562464695534	0.4124761806323361	FALSE	0.8316034963081814
Clec7a	Sat1	Immune	Immune	0.04112750638102941	0.07032746169778503	0.8767635041164863	0.6407908712042392	FALSE	0.899951541210589
Itgb2	Cst3	Immune	Immune	0.13166237828360403	0.06890713974073798	0.872862624331008	0.5562367181455767	FALSE	0.9435751357539235
Cyba	Laptm5	Immune	Immune	0.03682824268285337	0.06822612864594305	0.549751851551744	0.8670120016255647	FALSE	0.8496888759983918
Sat1	Stab1	Immune	Immune	0.07032746169778503	0.04625712185565733	0.6407908712042392	0.6351187849674309	FALSE	0.8363046466130412
Dusp2	Rel	Immune	Immune	0.043004531670967155	0.03947485496882337	0.7698682746345964	0.6400389539767892	FALSE	0.8774142335123866
Sat1	Hes4	Immune	Immune	0.07032746169778503	0.026056211809912105	0.6407908712042392	0.5271080432957213	FALSE	0.6710092288595434
Eln	Col6a3	Pericytes	Pericytes	0.02690052278394052	0.05331355481750798	0.45186652232882063	0.3558793534336543	FALSE	0.8575554598111799
Ntrk3	Adirf	Pericytes	Pericytes	0.09322422410232455	0.026383973930675722	0.6957444943827367	0.8265805943236094	FALSE	0.9177489621522773
Psap	C1qc	Immune	Immune	0.04664766698733992	0.08722682795606464	0.29996812482497875	0.8621017675061988	FALSE	0.9243740894264587
Pdgfrb	Col6a3	Pericytes	Pericytes	0.10932543292583898	0.05331355481750798	0.6705562464695534	0.3558793534336543	FALSE	0.7488482781543251
Notch3	Mcam	Pericytes	Pericytes	0.11103843091776934	0.07587475540788527	0.775991393520953	0.5540666744892075	FALSE	0.8667551537336804
Lcp1	Fcer1g	Immune	Immune	0.04891758590712713	0.04295500583547673	0.8676163747639597	0.8484612568601533	FALSE	0.902663034135438
Col21a1	Pdgfrb	Pericytes	Pericytes	0.021875674035544464	0.10932543292583898	0.5467710679038469	0.6705562464695534	FALSE	0.8987669223025092
Mif	Cd74	Pericytes	Immune	0.022034952110024375	0.2057980606911558	0.16394580438317738	0.8517665066675612	TRUE	0.9041531661241771
Mfge8	Pdgfrb	Pericytes	Pericytes	0.023827348831008125	0.10932543292583898	0.5007328198823187	0.6705562464695534	FALSE	0.9075154989791178
B2m	Hla-a	Immune	Immune	0.021953889736364012	0.07275195163407448	0.2979103931450251	0.4251329367592297	FALSE	0.8703031051749337
Hla-b	Hla-c	Immune	Immune	0.09022591802105732	0.07233227564292347	0.562756044687283	0.4081254937784352	FALSE	0.8763934704690779
Mif	Cxcr4	Pericytes	Immune	0.022034952110024375	0.10533760451658512	0.16394580438317738	0.7970645911157754	TRUE	0.8897864621090784
Sema6b	Serpinb9	Immune	Immune	0.08934177743887459	0.04877262832603012	0.6473338450901005	0.7950408538697887	FALSE	0.8649627005126914
