node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Actb	Map3k20	Muscle	Muscle	0.01959287531045656	0.018034386320428038	0.28728471884004897	0.4590740457519512	FALSE	0.620355411816781
Tagln	Sbspon	Muscle	Muscle	0.042241386881220026	0.031126169293795067	0.7660572197291108	0.7798956485949752	FALSE	0.8812456199375989
Acta2	Cav2	Pericytes	Pericytes	0.016021055730578274	0.01320433504620803	0.3693255310454212	0.35688251943387783	FALSE	0.8663506157428722
Col6a2	Itga1	Muscle	Pericytes	0.028506572911307947	0.06406349753443943	0.20514700806754826	0.4124761806323361	TRUE	0.8823922227626847
Sept7	Cpe	Pericytes	Pericytes	0.014767063919404605	0.012963751116266277	0.39552879149172937	0.6212350092419167	FALSE	0.8736899830481664
Cspg4	Itgb1	Pericytes	Muscle	0.07265324115185645	0.016734256197412475	0.6116592644193806	0.13410799074695234	TRUE	0.8526146115822426
Col6a3	Itga1	Muscle	Pericytes	0.028277683570303573	0.06406349753443943	0.2251717165210319	0.4124761806323361	TRUE	0.9131315478724248
Col6a3	Itgb1	Pericytes	Muscle	0.05331355481750798	0.016734256197412475	0.3558793534336543	0.13410799074695234	TRUE	0.8915242435093467
Actb	Anxa6	Muscle	Muscle	0.01959287531045656	0.017423096663415422	0.28728471884004897	0.3070672639707413	FALSE	0.9039703314177919
Lamb2	Itga1	Muscle	Pericytes	0.032852867286267295	0.06406349753443943	0.2803755074497283	0.4124761806323361	TRUE	0.8630081013566973
Fgf7	Actb	Muscle	Muscle	0.07609238128194709	0.01959287531045656	0.5670955849983713	0.28728471884004897	FALSE	0.917798964583949
Col6a1	Itga1	Muscle	Pericytes	0.032865637560109566	0.06406349753443943	0.24874990368181527	0.4124761806323361	TRUE	0.9073365239333866
Sept4	Rgs5	Pericytes	Pericytes	0.028213991336340328	0.031438473624785086	0.7912988622502396	0.7062575532251241	FALSE	0.9053567647977557
Aoc3	Acta2	Pericytes	Pericytes	0.01441591401741398	0.016021055730578274	0.5756973300070303	0.3693255310454212	FALSE	0.90503074654409
Col4a1	Col6a3	Pericytes	Pericytes	0.04956455896936746	0.05331355481750798	0.36511167001157707	0.3558793534336543	FALSE	0.8918884379174217
Pdgfrb	Itga1	Pericytes	Pericytes	0.10932543292583898	0.06406349753443943	0.6705562464695534	0.4124761806323361	FALSE	0.9011147459603125
Col21a1	Cpe	Pericytes	Pericytes	0.021875674035544464	0.012963751116266277	0.5467710679038469	0.6212350092419167	FALSE	0.8882047340962278
Mfge8	Pdgfrb	Pericytes	Pericytes	0.023827348831008125	0.10932543292583898	0.5007328198823187	0.6705562464695534	FALSE	0.892469969296401
Col1a1	Itga1	Muscle	Pericytes	0.013616404866641806	0.06406349753443943	0.0768245185828726	0.4124761806323361	TRUE	0.8978882344855185
Itgb1	Anxa6	Muscle	Muscle	0.016734256197412475	0.017423096663415422	0.13410799074695234	0.3070672639707413	FALSE	0.8984861595384089
Angptl4	Itgb1	Pericytes	Muscle	0.05577934611549823	0.016734256197412475	0.4867450338645183	0.13410799074695234	TRUE	0.89676508885794
Sertad1	Pdgfrb	Pericytes	Pericytes	0.016717861882989283	0.10932543292583898	0.39597222281531075	0.6705562464695534	FALSE	0.9193027949957212
Fgf7	Hand1	Muscle	Muscle	0.07609238128194709	0.032783004689427846	0.5670955849983713	0.8633857118340202	FALSE	0.9307581307531929
Notch3	Phb2	Pericytes	Pericytes	0.11103843091776934	0.01238526916830113	0.775991393520953	0.1946255211705558	FALSE	0.9299940354618103
Col1a1	Fn1	Muscle	Muscle	0.013616404866641806	0.0527152095768283	0.0768245185828726	0.35995358979625597	FALSE	0.9317804949345231
Cygb	Eln	Pericytes	Pericytes	0.01944165996566443	0.02690052278394052	0.6097195115177857	0.45186652232882063	FALSE	0.9468717264239548
Phb2	Ccdc3	Pericytes	Pericytes	0.01238526916830113	0.030463911997329424	0.1946255211705558	0.8151262482247414	FALSE	0.8995261011312206
Postn	Ccdc107	Muscle	Muscle	0.03976273169618855	0.015526707118625572	0.31981829236131165	0.278096165300178	FALSE	0.8861930244722178
Sept4	Lingo1	Pericytes	Pericytes	0.028213991336340328	0.024138377542990867	0.7912988622502396	0.7159667891777314	FALSE	0.914509642896667
Tpm1	Nrp2	Muscle	Muscle	0.02953902846373782	0.06735198300020795	0.5783358678770224	0.5144202553561562	FALSE	0.8203432609274139
Hspa2	Sdc2	Pericytes	Pericytes	0.022886474758326964	0.05161451103518629	0.5982540338908566	0.4201396712157137	FALSE	0.9294780661855787
Cygb	Thy1	Pericytes	Pericytes	0.01944165996566443	0.05199585532525193	0.6097195115177857	0.4251533534198195	FALSE	0.9353206709604739
Cygb	Ndufa4l2	Pericytes	Pericytes	0.01944165996566443	0.027243645020671302	0.6097195115177857	0.8008261376696456	FALSE	0.9105715198692121
Ebf1	Pdgfrb	Pericytes	Pericytes	0.012323884648044148	0.10932543292583898	0.541438991313922	0.6705562464695534	FALSE	0.948932127610438
Sertad1	Tnfsf9	Pericytes	Pericytes	0.016717861882989283	0.03616682441824465	0.39597222281531075	0.3205145579501747	FALSE	0.8830197394265535
Mfge8	Esam	Pericytes	Pericytes	0.023827348831008125	0.040672927858869785	0.5007328198823187	0.31396734739276844	FALSE	0.8573509055312684
Itga1	Agrn	Pericytes	Pericytes	0.06406349753443943	0.026405181692781138	0.4124761806323361	0.22094512125175284	FALSE	0.9448071278951213
Ntrk3	Pdgfa	Pericytes	Pericytes	0.09322422410232455	0.06318863803221679	0.6957444943827367	0.49331448262535943	FALSE	0.934731251692427
Lingo1	Ednra	Pericytes	Pericytes	0.024138377542990867	0.07236266992845176	0.7159667891777314	0.6109946824336909	FALSE	0.9057522716082724
Ebf1	Sema5b	Pericytes	Pericytes	0.012323884648044148	0.09449922475641884	0.541438991313922	0.8201309702836542	FALSE	0.7300304921185923
Tnc	Nexn	Muscle	Muscle	0.048203690775674594	0.01581638527344182	0.40962138243999235	0.5598291217126063	FALSE	0.9042979994268096
Jag1	Cav2	Pericytes	Pericytes	0.05115874940227111	0.01320433504620803	0.42967165437987537	0.35688251943387783	FALSE	0.9165891242710844
Eln	Col6a3	Pericytes	Pericytes	0.02690052278394052	0.05331355481750798	0.45186652232882063	0.3558793534336543	FALSE	0.8591675695603309
Col4a2	Itgb1	Pericytes	Muscle	0.05253152129347897	0.016734256197412475	0.3905454148371697	0.13410799074695234	TRUE	0.9011384460493687
Ntrk3	Adirf	Pericytes	Pericytes	0.09322422410232455	0.026383973930675722	0.6957444943827367	0.8265805943236094	FALSE	0.7990803349884614
Pdgfrb	Col6a3	Pericytes	Pericytes	0.10932543292583898	0.05331355481750798	0.6705562464695534	0.3558793534336543	FALSE	0.9361720667836086
Aoc3	Phb2	Pericytes	Pericytes	0.01441591401741398	0.01238526916830113	0.5756973300070303	0.1946255211705558	FALSE	0.9026965389694961
Notch3	Mcam	Pericytes	Pericytes	0.11103843091776934	0.07587475540788527	0.775991393520953	0.5540666744892075	FALSE	0.8920864266913443
Tpm1	Nexn	Muscle	Muscle	0.02953902846373782	0.01581638527344182	0.5783358678770224	0.5598291217126063	FALSE	0.9204132044661903
Col21a1	Pdgfrb	Pericytes	Pericytes	0.021875674035544464	0.10932543292583898	0.5467710679038469	0.6705562464695534	FALSE	0.9204178708206012
Tagln	Actg2	Muscle	Muscle	0.042241386881220026	0.029323021503302883	0.7660572197291108	0.8393440724398927	FALSE	0.9218906695882289
Acta2	Tagln	Muscle	Muscle	0.03245724061791314	0.042241386881220026	0.5839402234473263	0.7660572197291108	FALSE	0.8906963001893347
Tagln	Actb	Muscle	Muscle	0.042241386881220026	0.01959287531045656	0.7660572197291108	0.28728471884004897	FALSE	0.8928139205395893
