node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Ntrk3	Eln	Pericytes	Pericytes	0.09322422410232455	0.02690052278394052	0.6957444943827367	0.45186652232882063	FALSE	0.9212027245835195
Postn	Plat	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08086424430039835	0.0360337280179699	0.6260153621311679	0.44346688124831446	FALSE	0.9110921517776648
Igfbp3	Cxcl14	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.029971277267333393	0.05721015581048417	0.5975442966782298	0.787728613635714	FALSE	0.947513194885055
Plat	Dll1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.09600970869463368	0.44346688124831446	0.6848389593701594	FALSE	0.9312466200232034
Dll1	Notch3	Myofibroblast_Mesothelium	Pericytes	0.09600970869463368	0.11103843091776934	0.6848389593701594	0.775991393520953	TRUE	0.9286643082677511
Pdgfd	Pdgfrb	Myofibroblast_Mesothelium	Pericytes	0.09041238264866575	0.10932543292583898	0.727493226529476	0.6705562464695534	TRUE	0.9261524852438237
Plat	Nsg1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.0316541559249119	0.44346688124831446	0.6496312299915509	FALSE	0.9266917975498821
Pdgfa	Pdgfra	Pericytes	Myofibroblast_Mesothelium	0.06318863803221679	0.0792373842769407	0.49331448262535943	0.6301612837498084	TRUE	0.9230732826582857
Npy	Fn1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.09965752446510952	0.053977012568459014	0.7627883232132818	0.3509119971999273	FALSE	0.8808795578140143
Pdgfrb	Itga1	Pericytes	Pericytes	0.10932543292583898	0.06406349753443943	0.6705562464695534	0.4124761806323361	FALSE	0.9054048972975717
Eln	Col6a3	Pericytes	Pericytes	0.02690052278394052	0.05331355481750798	0.45186652232882063	0.3558793534336543	FALSE	0.7658894753702548
Pdgfrb	Col6a3	Pericytes	Pericytes	0.10932543292583898	0.05331355481750798	0.6705562464695534	0.3558793534336543	FALSE	0.9536982291108062
Notch3	Mcam	Pericytes	Pericytes	0.11103843091776934	0.07587475540788527	0.775991393520953	0.5540666744892075	FALSE	0.9303479619225855
Angptl4	Sdc2	Pericytes	Myofibroblast_Mesothelium	0.05577934611549823	0.05470340827434591	0.4867450338645183	0.37301778506812877	TRUE	0.8665794633144723
Lama5	Itga1	Myofibroblast_Mesothelium	Pericytes	0.0354916421657047	0.06406349753443943	0.2929342882692523	0.4124761806323361	TRUE	0.9160743496415161
Angpt2	Itgb1	Pericytes	Myofibroblast_Mesothelium	0.10103842890538346	0.02718522751011799	0.777686821570688	0.1664480942311201	TRUE	0.860919872663313
Cxcl14	F2r	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.05721015581048417	0.0818423070538012	0.787728613635714	0.5928282560449316	FALSE	0.9101280235743334
Col4a2	Itgb1	Pericytes	Myofibroblast_Mesothelium	0.05253152129347897	0.02718522751011799	0.3905454148371697	0.1664480942311201	TRUE	0.8980169610086923
Cspg4	Itgb1	Pericytes	Myofibroblast_Mesothelium	0.07265324115185645	0.02718522751011799	0.6116592644193806	0.1664480942311201	TRUE	0.8654588571377906
Sdc2	F2r	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.05470340827434591	0.0818423070538012	0.37301778506812877	0.5928282560449316	FALSE	0.8059857546270599
Col4a2	Col6a3	Pericytes	Pericytes	0.05253152129347897	0.05331355481750798	0.3905454148371697	0.3558793534336543	FALSE	0.8920621721735209
Plat	Pdgfra	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.0792373842769407	0.44346688124831446	0.6301612837498084	FALSE	0.8823165355099252
Itgb1	Sdc2	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.02718522751011799	0.05470340827434591	0.1664480942311201	0.37301778506812877	FALSE	0.9085429311229448
Bmp5	Nsg1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08675809691931467	0.0316541559249119	0.6975665327295925	0.6496312299915509	FALSE	0.8980412613479091
Bmp4	Ackr3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.083964184441644385	0.09072289560714039	0.6573172705688001	0.6307242506429122	FALSE	0.8550400068058897
Itga8	Lama4	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.07573057551995231	0.04131423025744771	0.6112509234607533	0.2900314231453229	FALSE	0.8729978157794832
Plat	Ackr3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.09072289560714039	0.44346688124831446	0.6307242506429122	FALSE	0.8629936844693868
Lama5	Itga7	Myofibroblast_Mesothelium	Pericytes	0.0354916421657047	0.08538236944649502	0.2929342882692523	0.7462261429138074	TRUE	0.8870745489580093
Plat	Fn1	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.0360337280179699	0.053977012568459014	0.44346688124831446	0.3509119971999273	FALSE	0.9290852024606654
Ntf3	Eln	Pericytes	Pericytes	0.07550330785551755	0.02690052278394052	0.6149513880768189	0.45186652232882063	FALSE	0.8668721346190581
Lama4	Itga7	Myofibroblast_Mesothelium	Pericytes	0.04131423025744771	0.08538236944649502	0.2900314231453229	0.7462261429138074	TRUE	0.8495783082113236
Postn	Igfbp3	Myofibroblast_Mesothelium	Myofibroblast_Mesothelium	0.08086424430039835	0.029971277267333393	0.6260153621311679	0.5975442966782298	FALSE	0.927375831078006
