node1	node2	node1_type	node2_type	node1_prize	node2_prize	node1_pem	node2_pem	is_ct_edge	cost
Cdh19	Vim	Neural	Neural	0.02573939617056114	0.02403596052330205	0.8731922694741701	0.3481024159298193	FALSE	0.8145057409206692
Col9a3	Itga1	Neural	Pericytes	0.07672750338346726	0.06406349753443943	0.6142752419827001	0.4124761806323361	TRUE	0.8740453560469457
Prph	Pcsk1n	Neural	Neural	0.02306779776992114	0.01591482254959766	0.8260616767996473	0.6051616006487274	FALSE	0.9626802315923951
Ntf3	Eln	Pericytes	Pericytes	0.07550330785551755	0.02690052278394052	0.6149513880768189	0.45186652232882063	FALSE	0.8994425705745472
Ap1s2	Dbi	Neural	Neural	0.016043166412834087	0.015251514760672122	0.574024604435024	0.36209888288915476	FALSE	0.911999201965639
Sult1e1	Rgs5	Pericytes	Pericytes	0.024305468932566337	0.031438473624785086	0.8043143477318577	0.7062575532251241	FALSE	0.8678308527249172
Hnrnpa0	Nrep	Pericytes	Pericytes	0.010636719298833969	0.01121425832449007	0.18987783596604	0.25408984340521823	FALSE	0.8978288584395695
Sept4	Rgs5	Pericytes	Pericytes	0.028213991336340328	0.031438473624785086	0.7912988622502396	0.7062575532251241	FALSE	0.9316869412067761
Acta2	Eln	Pericytes	Pericytes	0.016021055730578274	0.02690052278394052	0.3693255310454212	0.45186652232882063	FALSE	0.925069388925168
Prph	Map1b	Neural	Neural	0.02306779776992114	0.011117602234893229	0.8260616767996473	0.5011550775463607	FALSE	0.9149058551270123
Vim	Ap1s2	Neural	Neural	0.02403596052330205	0.016043166412834087	0.3481024159298193	0.574024604435024	FALSE	0.8888648952849164
Sept7	Sult1e1	Pericytes	Pericytes	0.014767063919404605	0.024305468932566337	0.39552879149172937	0.8043143477318577	FALSE	0.8722776064993425
Prph	Tubb2b	Neural	Neural	0.02306779776992114	0.020480805075614852	0.8260616767996473	0.745722155746718	FALSE	0.9500991383808753
Mdk	Ptprz1	Pericytes	Neural	0.011091810767818835	0.09817042412538883	0.08884326788631652	0.8417293735876713	TRUE	0.8917083430067332
Vim	Cryab	Neural	Neural	0.02403596052330205	0.01630595443336712	0.3481024159298193	0.7306562276249298	FALSE	0.9399721890294217
Map1b	Uchl1	Neural	Neural	0.011117602234893229	0.015111240719430314	0.5011550775463607	0.7420649793948928	FALSE	0.8461386542454584
Cd99	Tinagl1	Pericytes	Pericytes	0.022809307963776927	0.022793856134121184	0.16574561618001857	0.5964495862591157	FALSE	0.9601175047894095
Phb2	Nrep	Pericytes	Pericytes	0.01238526916830113	0.01121425832449007	0.1946255211705558	0.25408984340521823	FALSE	0.963526890359891
Chrna3	Prph	Neural	Neural	0.10339431901377039	0.02306779776992114	0.8196466840748267	0.8260616767996473	FALSE	0.9133979493494413
App	Dst	Neural	Neural	0.05505558942765039	0.016608251137631192	0.42398576549609646	0.49757012899285835	FALSE	0.9130690354715898
Nell2	Dbi	Neural	Neural	0.027442207878507166	0.015251514760672122	0.800045472455774	0.36209888288915476	FALSE	0.8998099996792214
Ntrk3	Adirf	Pericytes	Pericytes	0.09322422410232455	0.026383973930675722	0.6957444943827367	0.8265805943236094	FALSE	0.9019747742096595
Pdgfrb	Col6a3	Pericytes	Pericytes	0.10932543292583898	0.05331355481750798	0.6705562464695534	0.3558793534336543	FALSE	0.9108616236498503
Col4a2	Itga1	Pericytes	Neural	0.05253152129347897	0.025612863544183104	0.3905454148371697	0.21407510139821645	TRUE	0.9530644342868678
Mdk	Bcan	Neural	Neural	0.0276356325015556	0.019743779088764665	0.23568781679234063	0.872466894655636	FALSE	0.8637096399625074
Aoc3	Phb2	Pericytes	Pericytes	0.01441591401741398	0.01238526916830113	0.5756973300070303	0.1946255211705558	FALSE	0.9635502860338657
Notch3	Mcam	Pericytes	Pericytes	0.11103843091776934	0.07587475540788527	0.775991393520953	0.5540666744892075	FALSE	0.9435751357539235
Prmt1	Hla-e	Pericytes	Pericytes	0.010111810625340579	0.02064682056391037	0.18732909432222178	0.15156690079709106	FALSE	0.9753707533802625
Col21a1	Pdgfrb	Pericytes	Pericytes	0.021875674035544464	0.10932543292583898	0.5467710679038469	0.6705562464695534	FALSE	0.9339947482929762
Col21a1	Cpe	Pericytes	Pericytes	0.021875674035544464	0.012963751116266277	0.5467710679038469	0.6212350092419167	FALSE	0.8889163882868061
Ttyh1	Bcan	Neural	Neural	0.01016819693427079	0.019743779088764665	0.7255285196811445	0.872466894655636	FALSE	0.8926550082828468
Pmp22	Tmem176a	Neural	Neural	0.00974697845012926	0.010964868302091238	0.2730205781754125	0.3095431973867337	FALSE	0.9274678451956745
