Endothelial|Epithelial	Epithelial|Epithelial	Fibroblasts|Epithelial	Immune|Epithelial	Muscle|Epithelial	Myofibroblast_Mesothelium|Epithelial	Neural|Epithelial	Pericytes|Epithelial
GDNF - GFRA1	0	0	0.083276447307268	0	0.413801548197716	0.243659966567292	0	0.00529297639714453
ARTN - GFRA1	0	0	0	0	0	0	0.199635662368111	0.709298847970289
NTF3 - NTRK3	0	0	0	0	0	0.252379090844805	0	0.744011793671106
WNT2B - FZD4	0	0	0.128095511236327	0	0	0.220707776841501	0	0
WNT4 - FZD4	0	0	0.00124821866007873	0	0	0.0862800282347628	0.0233607649099236	0
WNT6 - FZD4	0	0	0	0	0	0	0.0326543936931779	0.591193963476719
WNT9A - FZD4	0	0	0.00572538362121517	0	0	0	0	0
WNT5A - FZD4	0	0	0.0207346226945104	0	0	0.349186311527312	0.00153972510731674	0
WNT5B - FZD4	0	0	0.0309882472526745	0	0.0162743182084745	0.46088889116165	0	0
WNT11 - FZD4	0	0.00616431088720692	0	0	0	0.0114743507490672	0	0
IL1A - IL1R1	0	0	0	1.17538782806162	0	0	0	0
IL1B - IL1R1	0	0	0	2.62104550307063	0	0	0	0
NRTN - GFRA2	0	0	0	0	0.773674881729579	0.0629589091761633	0	0
WNT2B - FZD2	0	0	0.128095511236327	0	0	0.220707776841501	0	0
WNT4 - FZD2	0	0	0.00124821866007873	0	0	0.0862800282347628	0.0233607649099236	0
WNT6 - FZD2	0	0	0	0	0	0	0.0326543936931779	0.591193963476719
WNT9A - FZD2	0	0	0.00572538362121517	0	0	0	0	0
WNT5A - FZD2	0	0	0.0207346226945104	0	0	0.349186311527312	0.00153972510731674	0
WNT5B - FZD2	0	0	0.0309882472526745	0	0.0162743182084745	0.46088889116165	0	0
WNT11 - FZD2	0	0.00616431088720692	0	0	0	0.0114743507490672	0	0
VIP - VIPR2	0.170084515317126	0	0	0	0	0	0.918010361156873	0
EDN1 - EDNRA	0.0102976178621153	0.72799783385827	0	0	0	0	0	0
EDN3 - EDNRA	0	0.0857651166787503	0	0.0522320459255055	0	0	0	0
