Endothelial|Pericytes	Epithelial|Pericytes	Fibroblasts|Pericytes	Immune|Pericytes	Muscle|Pericytes	Myofibroblast_Mesothelium|Pericytes	Neural|Pericytes	Pericytes|Pericytes
PTN - SDC1	0	0	0.402325628996929	0	0.160469132321674	0.552213380677728	0	0.181073022551761
FGF1 - FGFR4	0	0	0	0	0	0	0.222942332044675	0
FGF2 - FGFR4	0	0	0.0783525288154804	0	0.102509016260343	0.0848332266701556	0.0996859972186025	0
FGF17 - FGFR4	0	0	0	0	0	0	0.0150771632982135	0
FGF18 - FGFR4	0.0539632644718207	0.0226259711094975	0	0	0.0218861175725516	0	0	0
FGF9 - FGFR4	0	0.252919662103207	0	0	0	0	0	0
FGF23 - FGFR4	0	0.0884290697839853	0	0	0	0	0	0
EGF - EGFR	0	0.117631174424376	0	0	0	0	0	0
TGFA - EGFR	0	0.0425506334958243	0	0.0195652487181328	0	0	0	0
AREG - EGFR	0	0.680366120383503	0	0	0	0	0	0
BTC - EGFR	0	0	0	0	0.324256092778476	0	0.28689904408413	0.127650685031434
HBEGF - EGFR	1.07648752929503	0	0	0.171248763533467	0	0	0.00978008748927819	0.0489524153036013
EREG - EGFR	0	0.519645350741884	0	0	0	0	0	0
PTN - SDC4	0	0	0.402325628996929	0	0.160469132321674	0.552213380677728	0	0.181073022551761
GAS6 - MERTK	0.285888706425247	0.117520087510561	0	0	0	0	0	0.48230192585324
VIP - VIPR1	0.170084515317126	0	0	0	0	0	0.918010361156873	0
EDN1 - EDNRB	0.0102976178621153	0.72799783385827	0	0	0	0	0	0
EDN3 - EDNRB	0	0.0857651166787503	0	0.0522320459255055	0	0	0	0
IL7 - IL2RG	0	0	0	0	0	0.334195508649485	0	0
NAMPT - INSR	0.391384896180395	0	0.0798346038461924	0.611234116298878	0	0	0	0
PRL - PRLR	0	0	0	0	0.05802797535812	0	0	0.0671386026430152
GAS6 - TYRO3	0.285888706425247	0.117520087510561	0	0	0	0	0	0.48230192585324
WNT2B - FZD7	0	0	0.128095511236327	0	0	0.220707776841501	0	0
WNT4 - FZD7	0	0	0.00124821866007873	0	0	0.0862800282347628	0.0233607649099236	0
WNT6 - FZD7	0	0	0	0	0	0	0.0326543936931779	0.591193963476719
WNT9A - FZD7	0	0	0.00572538362121517	0	0	0	0	0
WNT5A - FZD7	0	0	0.0207346226945104	0	0	0.349186311527312	0.00153972510731674	0
WNT5B - FZD7	0	0	0.0309882472526745	0	0.0162743182084745	0.46088889116165	0	0
WNT11 - FZD7	0	0.00616431088720692	0	0	0	0.0114743507490672	0	0
THRB - PARD3	0	0.380359766201552	0	0	0.306297185725868	0	0	0
EGF - ERBB2	0	0.117631174424376	0	0	0	0	0	0
TGFA - ERBB2	0	0.0425506334958243	0	0.0195652487181328	0	0	0	0
AREG - ERBB2	0	0.680366120383503	0	0	0	0	0	0
BTC - ERBB2	0	0	0	0	0.324256092778476	0	0.28689904408413	0.127650685031434
HBEGF - ERBB2	1.07648752929503	0	0	0.171248763533467	0	0	0.00978008748927819	0.0489524153036013
EREG - ERBB2	0	0.519645350741884	0	0	0	0	0	0
NRG1 - ERBB2	0	0	0	0	0	0.470479191210512	0	0
NRG2 - ERBB2	0	0	0	0	0	0.173916750861944	0.247285281976483	0
NRG3 - ERBB2	0	0	0.0355482127884897	0	0	0	0	0
SMS - SSR1	0.366228755772855	0	0	0	0.0985424300708088	0	0.10467785003997	0.0390467153444163
CORT - SSR1	0.231731289343585	0	0	0	0	0	0	0
WNT2B - LRP5	0	0	0.128095511236327	0	0	0.220707776841501	0	0
WNT4 - LRP5	0	0	0.00124821866007873	0	0	0.0862800282347628	0.0233607649099236	0
WNT6 - LRP5	0	0	0	0	0	0	0.0326543936931779	0.591193963476719
WNT9A - LRP5	0	0	0.00572538362121517	0	0	0	0	0
HGF - MET	0	0	0.00134081212314692	0	0	0.0984950727880598	0.0167012667490317	0.223820193250479
WNT2B - FZD3	0	0	0.128095511236327	0	0	0.220707776841501	0	0
WNT4 - FZD3	0	0	0.00124821866007873	0	0	0.0862800282347628	0.0233607649099236	0
WNT6 - FZD3	0	0	0	0	0	0	0.0326543936931779	0.591193963476719
WNT9A - FZD3	0	0	0.00572538362121517	0	0	0	0	0
WNT5A - FZD3	0	0	0.0207346226945104	0	0	0.349186311527312	0.00153972510731674	0
WNT5B - FZD3	0	0	0.0309882472526745	0	0.0162743182084745	0.46088889116165	0	0
WNT11 - FZD3	0	0.00616431088720692	0	0	0	0.0114743507490672	0	0
CTF1 - LIFR	0	0	0.00512288093284072	0	0.106079038244399	0.111827381100759	0.00690786348801581	0.0199378238378945
LIF - LIFR	0	0.187404325534937	0	0.215183872942088	0	0	0	0
IGF1 - IGF1R	0	0	0	0.0393835657295348	0	0.635755089557651	0	0
IGF2 - IGF1R	0.0800696658707839	0.136761316430557	0	0	0	0	0	0.064186257286953
PTN - SDC2	0	0	0.402325628996929	0	0.160469132321674	0.552213380677728	0	0.181073022551761
