LR_comb	lig_cell_type	lig_expr	ligand	rec_cell_type	rec_expr	receptor	LR_expr	lig_nr	rec_nr	rand_expr	av_diff	log2fc	pvalue	LR_cell_comb	p.adj	PI
ANGPTL2-ITGA5	Fibroblasts	0.668809694100366	ANGPTL2	Muscle	0.61352711100173	ITGA5	1.2823368051021	71	26	1.05486452056011	0.227472284541986	0.259385553726457	0	Fibroblasts--Muscle	0	0.304970998719963
ANGPTL2-ITGB1	Fibroblasts	0.668809694100366	ANGPTL2	Muscle	1.89743622949077	ITGB1	2.56624592359113	71	26	2.33877363904915	0.227472284541986	0.128653997884217	0	Fibroblasts--Muscle	0	0.151264161247171
ANGPTL2-TLR4	Fibroblasts	0.668809694100366	ANGPTL2	Muscle	0.0399078661337786	TLR4	0.708717560234144	71	26	0.481245275692157	0.227472284541986	0.476488852949557	0	Fibroblasts--Muscle	0	0.560228891992199
APLN-APLNR	Epithelial	0	APLN	Fibroblasts	0.174083301510151	APLNR	0.174083301510151	29	38	0.497042063588945	-0.322958762078794	-1.12321814287865	0	Epithelial--Fibroblasts	0	-2.06077821671424
BMP2-ACVR2B	Epithelial	0	BMP2	Myofibroblast_Mesothelium	0.0310553716569372	ACVR2B	0.0310553716569372	35	35	0.243224021584688	-0.212168649927751	-1.38897404018823	0	Epithelial--Myofibroblast_Mesothelium	0	-1.60845304456783
BMP2-BMPR1B	Epithelial	0	BMP2	Myofibroblast_Mesothelium	0	BMPR1B	0	35	35	0.198828049765224	-0.198828049765224	-1.57931557435834	0	Epithelial--Myofibroblast_Mesothelium	0	-1.82887143345445
CADM1-CADM1	Fibroblasts	0.072953501319786	CADM1	Myofibroblast_Mesothelium	0.056363128775009	CADM1	0.129316630094795	56	42	0.295332334361241	-0.166015704266446	-0.785724975194743	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.33736931133994
CADM1-CADM1	Myofibroblast_Mesothelium	0.056363128775009	CADM1	Fibroblasts	0.072953501319786	CADM1	0.129316630094795	42	56	0.295332334361241	-0.166015704266446	-0.785724975194743	0	Myofibroblast_Mesothelium--Fibroblasts	0	-1.33736931133994
CALCB-CALCRL	Fibroblasts	0.140054877291882	CALCB	Muscle	0.159407647209424	CALCRL	0.299462524501306	71	26	0.216557555149383	0.0829049693519225	0.335592335164892	0	Fibroblasts--Muscle	0	0.394570661887877
CDH2-CDH2	Fibroblasts	0.0185541913068586	CDH2	Myofibroblast_Mesothelium	0.053634550349341	CDH2	0.0721887416561997	56	42	0.245924710081309	-0.173735968425109	-1.00646725490948	0	Fibroblasts--Myofibroblast_Mesothelium	0	-1.71309104594884
