CYR61	ADAM17	COL18A1	FN1	COL1A1	LAMC3	LAMB1	COL4A1	VCAM1	CALM3	CALM1	CALM2	VEGFA	PGF	VEGFB	MDK	PTN	BMP2	BMP5	ANGPT1	ANGPT2	EFNA1	EFNB2	TNFSF12	THBS1	TGFB1	NAMPT	LAMB2	JAM3	JAG1	GDF11	GAS6	ESAM	CXCL12	CTGF	COL5A3	CD99	CALR	APOE	ARF1
TGFBR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0488740954378469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766590481304378	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVRL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.587698592256377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779079048126132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA5	0.0277831783376591	0.0277831783376591	0.0277831783376591	0.476878121485994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0.215323106219401	0.0885726481273005	0.433977464142074	0.501195220221716	0.226691183478982	0.124822975832743	0.124822975832743	0.471078651730058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA6	0	0	0	0	0	0.16526674485442	0.232856689004002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB4	0	0	0	0	0	0.154990419344689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA1	0	0	0	0	0.146469335307509	0.146469335307509	0	0.151129337145447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA2	0	0	0	0.215955423629793	0.122189205544535	0.129456078474522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAV	0	0	0	0.114300526821933	0.240972063677946	0.149732286031872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLT1	0	0	0	0	0	0	0	0	0	0	0	0	0.965131026985729	0.513900869543275	0.726801572588755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRP1	0	0	0	0	0	0	0	0	0	0	0	0	0.579111625391905	0.481748384810589	0.0327665700634728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDR	0	0	0	0	0	0	0	0	0	0	0	0	0.871129536120872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0	0.994003407596781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257607230910452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0475842845069164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOTCH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.504296567444277	0	0	0	0	0	0	0	0	0	0
NOTCH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346663079159761	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423	0
LRP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125359473434717	0
JAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18982468825863	0	0	0	0	0	0	0	0	0	0	0
JAM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802323946513598	0	0	0	0	0	0	0	0	0	0	0
CD36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337589883617985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340051521904172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.608640564015116	0	0	0	0	0	0
CXCR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591427831828284	0	0	0	0	0	0
EPHB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649344480936287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71841881023812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.725363175989677	0.0385463913743838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.823493801786537	0.994355107744963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.397657607284579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297807589246952	0	0	0	0
SCARF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.782052651964811	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0	0	0	0	0	0	0	0	0	0	0
PTPRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0328389473223443	0.0328389473223443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.563631706442732
MYLK	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MERTK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02666185385441	0	0	0	0	0	0	0	0
LRP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186794032584459	0	0	0	0	0
INSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368228630613489	0	0	0	0	0	0	0	0	0	0	0	0	0
ESAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104748106819572	0	0	0	0	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303	0	0	0
ACVR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254784469581995	0	0	0	0	0	0	0	0	0
BMPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.830081918965643	0.0708928384558558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
