TFPI	SERPING1	SERPINE2	SERPINA1	PSAP	PLAT	LRPAP1	A2M	HSP90B1	LAMC3	COL1A1	FN1	LAMB1	COL4A1	VCAM1	ADAM17	COL18A1	CALM3	CALM1	CALM2	BMP2	BMP5	TNFSF12	THBS1	TGFB1	RGMA	NID1	NGF	NECTIN2	NAMPT	LAMB2	JAG1	HBEGF	GDF11	GAS6	EFNB2	EFNA1	CXCL12	APOE	CD99
ITGA6	0	0	0	0	0	0	0	0	0	0.16526674485442	0	0	0.232856689004002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB4	0	0	0	0	0	0	0	0	0	0.154990419344689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC2	0	0	0	0	0	0	0	0	0	0	0	0.022254232864487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR1	0	0	0	0	0	0	0	0	0	0	0.39986305116601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0	0.226691183478982	0.501195220221716	0.433977464142074	0.124822975832743	0.124822975832743	0.471078651730058	0.215323106219401	0.0885726481273005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC1	0	0	0	0	0	0	0	0	0	0	0.128085562808906	0.128085562808906	0	0	0	0	0	0	0	0	0	0	0	0.132160674891922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB8	0	0	0	0	0	0	0	0	0	0.187480562909747	0.187480562909747	0.221320837444875	0	0.0782045618749207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAV	0	0	0	0	0	0	0	0	0	0.149732286031872	0.240972063677946	0.114300526821933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA2	0	0	0	0	0	0	0	0	0	0.129456078474522	0.122189205544535	0.215955423629793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA3	0	0	0	0	0	0	0	0	0	0.173491723290324	0.173491723290324	0.132437671906698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SORL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.699239598034586	0
