TFPI	SERPING1	SERPINE2	SERPINA1	PSAP	PLAU	PLAT	LRPAP1	A2M	HSP90B1	FN1	COL1A1	COL18A1	LAMB1	JAM2	COL4A1	ADAM15	ADAM17	JAG2	JAG1	DLL1	DLL4	VEGFB	SEMA3B	VEGFA	CALM3	CALM1	CALM2	LAMB2	PRND	EFNB1	EFNB2	PDGFB	PLEKHO2	SELE	PSEN1	ITGB1	CD99	ADM	APOE
NOTCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.456563967419717	0.456563967419717	0.499903320363215	0.232242540124209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOTCH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.447642360540418	0.447642360540418	0.447642360540418	0.232775874954414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.703467632835687	0	0	0	0	0	0	0
PDGFRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.731185864316905	0.0978776072967996	0	0	0	0	0	0
SDC2	0	0	0	0	0	0	0	0	0	0	0.022254232864487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC1	0	0	0	0	0	0	0	0	0	0	0	0	0.0248539940327773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0	0	0	0.0373982870766781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0	0	0.433977464142074	0.501195220221716	0.0885726481273005	0.124822975832743	0.177918065691644	0.124822975832743	0.0960889624155033	0.215323106219401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0248123450298268	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0.183058774412581	0	0	0	0	0	0	0	0	0	0
RAMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433279748880135	0
NRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0327665700634728	0.371715213079687	0.579111625391905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCSTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030033644369182	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0	0	0
LRP1	0.02413170054837	0.02413170054837	0.140964001971249	0.303365764930636	0.02413170054837	0.02413170054837	0.02413170054837	0.486493867489844	0.46789770935035	0.02413170054837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423
GLG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.702508526929455	0	0	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303	0	0
EPHB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.689402275000496	0.769665038891173	0	0	0	0	0	0	0	0
