TFPI	SERPING1	SERPINA1	PSAP	PLAT	LRPAP1	A2M	HSP90B1	FN1	COL1A1	TNC	LAMB1	ADAM9	COL4A1	VEGFB	SEMA3A	VEGFA	CALM3	CALM1	CALM2	ITGA9	ITGB1	GDNF	NRTN	NCAM1	SLIT2	PDGFC	LAMB2	APOE	CD99
NCAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0419453034630874	0	0	0	0	0
GPC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377672711327691	0	0	0	0
ROBO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384119982203765	0.795233890012645	0	0	0	0
SDC2	0	0	0	0	0	0	0	0	0.022254232864487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0	0.0373982870766781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0.433977464142074	0.501195220221716	0.240961163066389	0.124822975832743	0.0960889624155033	0.124822975832743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24015666687394	0.0248123450298268	0	0	0	0	0	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0
PDGFRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.843844326838183	0	0	0
NRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0327665700634728	0.560665593706596	0.579111625391905	0	0	0	0	0	0	0	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0
LRP1	0.02413170054837	0.02413170054837	0.303365764930636	0.02413170054837	0.02413170054837	0.486493867489844	0.46789770935035	0.02413170054837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303
GFRA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01581568485265	0.0506967424881408	0	0	0	0	0	0
