TNC	COL4A1	LAMB1	VCAM1	COL1A1	FN1	ICAM1	JAM3	CTGF	CYR61	CALM3	CALM1	CALM2	SEMA3F	VEGFA	THBS1	TGFB1	RPS19	PLAU	LAMB2	CXCL12	CSF1	APOE	CD99
CD36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337589883617985	0	0	0	0	0	0	0	0
CD47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340051521904172	0	0	0	0	0	0	0	0
ITGB7	0	0	0	0.396060363097131	0	0.140132663789715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	0.40282899069551	0.294752691402503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0.240961163066389	0.124822975832743	0.124822975832743	0.471078651730058	0.501195220221716	0.433977464142074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAX	0	0	0	0	0	0	0.40875449117304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB2	0	0	0	0.186687838188365	0	0	0.0611300864894527	0.24722707202027	0.0603198522553222	0.0603198522553222	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766590481304378	0	0	0	0	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0	0	0
PLAUR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.653526152763309	0	0	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.803461227018396	0.994003407596781	0	0	0	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423	0
CXCR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591427831828284	0	0	0
CSF1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3399142492834	0	0
C5AR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0633305701055149	0	0	0	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303
