LAMB1	COL18A1	COL4A1	FN1	COL1A1	COL2A1	CALM3	CALM1	CALM2	TGFB1	TGFB2	SEMA3C	VEGFA	CTGF	CYR61	RPS19	LAMB2	CXCL12	APOE	CD99
ITGB7	0	0	0	0.140132663789715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0.294752691402503	0.40282899069551	0.113392135858105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0.124822975832743	0.0885726481273005	0.124822975832743	0.433977464142074	0.501195220221716	0.142809967830446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR2	0	0	0	0	0	0	0	0	0	0.766590481304378	0.660688731698517	0	0	0	0	0	0	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0.425116089592214	0.994003407596781	0	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423	0
ITGB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0603198522553222	0.0603198522553222	0	0	0	0	0
CXCR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591427831828284	0	0
C5AR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0633305701055149	0	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303
