LAMB1	COL4A1	ADAM17	COL18A1	VCAM1	FN1	COL1A1	LAMC3	ICAM1	JAM3	CTGF	CYR61	CALM3	CALM1	CALM2	VEGFA	THBS1	TGFB1	RPS19	LAMB2	GAS6	CXCL12	CSF1	APOE	CD99
CD36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337589883617985	0	0	0	0	0	0	0	0
CD47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340051521904172	0	0	0	0	0	0	0	0
AXL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04100463036071	0	0	0	0
MERTK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02666185385441	0	0	0	0
ITGB7	0	0	0	0	0.396060363097131	0.140132663789715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	0	0.294752691402503	0.40282899069551	0.185651003800483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0.124822975832743	0.124822975832743	0.215323106219401	0.0885726481273005	0.471078651730058	0.433977464142074	0.501195220221716	0.226691183478982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAX	0	0	0	0	0	0	0	0	0.40875449117304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB2	0	0	0	0	0.186687838188365	0	0	0	0.0611300864894527	0.24722707202027	0.0603198522553222	0.0603198522553222	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766590481304378	0	0	0	0	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994003407596781	0	0	0	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423	0
CXCR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591427831828284	0	0	0
CSF1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3399142492834	0	0
C5AR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0633305701055149	0	0	0	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303
