TFPI	SERPING1	SERPINE2	SERPINA1	PSAP	PLAT	LRPAP1	A2M	HSP90B1	FN1	COL18A1	CYR61	COL1A1	TNC	COL4A1	LAMB1	VCAM1	CALM3	CALM1	CALM2	VEGFA	NLGN2	NID1	NCAM1	NAMPT	LAMB2	CD99	APOE	BMP4
ITGA9	0	0	0	0	0	0	0	0	0	0	0	0	0.174851930282656	0.403611024860497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA1	0	0	0	0	0	0	0	0	0	0	0	0	0.146469335307509	0	0.151129337145447	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR1	0	0	0	0	0	0	0	0	0	0	0	0	0.39986305116601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0	0	0	0	0.0373982870766781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0.294752691402503	0	0	0.40282899069551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC2	0	0	0	0	0	0	0	0	0	0.022254232864487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA5	0	0	0	0	0	0	0	0	0	0.476878121485994	0.0277831783376591	0.0277831783376591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0	0.433977464142074	0.0885726481273005	0	0.501195220221716	0.240961163066389	0.124822975832743	0.124822975832743	0.471078651730058	0	0	0	0	0	0	0	0	0	0	0	0
NRXN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247778980021596	0	0	0	0	0	0	0
NRXN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.468597651940921	0	0	0	0	0	0	0
NCAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0419453034630874	0	0	0	0	0
ROBO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0510942142655433	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423	0
LRP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125359473434717	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0	0
PTPRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362065829933115	0	0	0	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994003407596781	0	0	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0
LRP1	0.02413170054837	0.02413170054837	0.140964001971249	0.303365764930636	0.02413170054837	0.02413170054837	0.486493867489844	0.46789770935035	0.02413170054837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368228630613489	0	0	0	0
BMPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.780621090790136
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303	0	0
