SERPINA1	PSAP	MMP9	LRPAP1	A2M	HSP90B1	CALM3	CALM1	CALM2	LTB	TNF	ADAM17	COL1A1	VEGFA	TGFB1	PSEN1	OSM	CD99	NAMPT
ITGA9	0	0	0	0	0	0	0	0	0	0	0	0	0.174851930282656	0	0	0	0	0	0
ITGA1	0	0	0	0	0	0	0	0	0	0	0	0	0.146469335307509	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0	0	0	0	0.0373982870766781	0	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0	0	0	0.40282899069551	0	0	0	0	0	0
DDR1	0	0	0	0	0	0	0	0	0	0	0	0	0.39986305116601	0	0	0	0	0	0
TGFBR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779079048126132	0	0	0	0
TGFBR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0488740954378469	0	0	0	0
LTBR	0	0	0	0	0	0	0	0	0	0.699784984855235	0.360908457441241	0	0	0	0	0	0	0	0
TNFRSF1A	0	0	0	0	0	0	0	0	0	0	0.66848855400907	0	0	0	0	0	0	0	0
ITGA5	0	0	0	0	0	0	0	0	0	0	0	0.0277831783376591	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0	0	0	0.215323106219401	0.501195220221716	0	0	0	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994003407596781	0	0	0	0	0
NCSTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030033644369182	0	0	0
MYLK	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0
LRP1	0.303365764930636	0.02413170054837	0.310435776660169	0.486493867489844	0.46789770935035	0.02413170054837	0	0	0	0	0	0	0	0	0	0	0	0	0
INSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368228630613489
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303	0
IL6ST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540864262754444	0	0
