SERPING1	SERPINE2	SERPINA1	PSAP	PLAT	HSP90B1	LRPAP1	ADAM23	CYR61	COL18A1	FN1	COL1A1	COL2A1	COL4A1	LAMB1	CALM3	CALM1	CALM2	NOV	DLL3	JAG1	TGFB1	TGFB2	SEMA3C	VEGFA	L1CAM	NCAM1	TNFSF12	PSEN1	NID1	NAMPT	LAMB2	COL5A3	CD99	APOE	CALCB
DDR1	0	0	0	0	0	0	0	0	0	0	0	0.39986305116601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0	0	0	0.0373982870766781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0	0.0885726481273005	0.433977464142074	0.501195220221716	0.142809967830446	0.124822975832743	0.124822975832743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA1	0	0	0	0	0	0	0	0	0	0	0	0.146469335307509	0.146469335307509	0.151129337145447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0	0.294752691402503	0.40282899069551	0.113392135858105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA9	0	0	0	0	0	0	0	0	0	0	0	0.174851930282656	0.174851930282656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779079048126132	0.640429921011965	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0488740954378469	0.851029970167089	0	0	0	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423	0
LRP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125359473434717	0
NOTCH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.359587047610679	0.472999292786057	0.504296567444277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOTCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346522759177716	0.456563967419717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0419453034630874	0.0419453034630874	0	0	0	0	0	0	0	0	0
ROBO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0510942142655433	0	0	0	0	0	0	0	0	0
ITGA5	0	0	0	0	0	0	0	0.0277831783376591	0.0277831783376591	0.0277831783376591	0.476878121485994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC2	0	0	0	0	0	0	0	0	0	0	0.022254232864487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257607230910452	0	0	0	0	0	0	0	0
SDC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297807589246952	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0	0	0
RAMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.461438754623581
PTPRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362065829933115	0	0	0	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.425116089592214	0.994003407596781	0	0	0	0	0	0	0	0	0	0	0
NCSTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030033644369182	0	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP1	0.02413170054837	0.140964001971249	0.303365764930636	0.02413170054837	0.02413170054837	0.02413170054837	0.486493867489844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303	0	0
INSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368228630613489	0	0	0	0	0
