TFPI	SERPING1	SERPINE2	SERPINA1	PSAP	PLAT	LRPAP1	A2M	HSP90B1	CYR61	ADAM17	COL18A1	COL4A1	LAMB1	VCAM1	FN1	COL1A1	LAMC3	CALM3	CALM1	CALM2	PDGFA	PDGFB	BMP2	BMP5	THBS1	TGFB1	RGMA	NTF3	NECTIN2	LAMB2	JAM3	JAG1	ITGB1	EFNB2	CXCL12	APOE	CD99
DDR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0373982870766781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA1	0	0	0	0	0	0	0	0	0	0	0	0	0.151129337145447	0	0	0	0.146469335307509	0.146469335307509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294752691402503	0.40282899069551	0.185651003800483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114300526821933	0.240972063677946	0.149732286031872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175693105238792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022254232864487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC1	0	0	0	0	0	0	0	0	0	0	0	0.0248539940327773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA5	0	0	0	0	0	0	0	0	0	0.0277831783376591	0.0277831783376591	0.0277831783376591	0	0	0	0.476878121485994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0	0	0.215323106219401	0.0885726481273005	0.124822975832743	0.124822975832743	0.471078651730058	0.433977464142074	0.501195220221716	0.226691183478982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0488740954378469	0	0	0	0	0	0	0	0	0	0	0
ACVRL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.587698592256377	0	0	0	0	0	0	0	0	0	0	0
TGFBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766590481304378	0	0	0	0	0	0	0	0	0	0	0
PDGFRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.883950387248897	0.703467632835687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356498647574639	0.731185864316905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.449074526515307	0.775038456131701	0.212453280593589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0248123450298268	0	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0	0	0	0	0	0
NTRK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16520603509437	0	0	0	0	0	0	0	0	0
NOTCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.456563967419717	0	0	0	0	0
NEO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169861502778695	0	0	0	0	0	0	0	0	0	0
NECTIN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.701519442218339	0	0	0	0	0	0	0	0
LRP1	0.02413170054837	0.02413170054837	0.140964001971249	0.303365764930636	0.02413170054837	0.02413170054837	0.486493867489844	0.46789770935035	0.02413170054837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423	0
JAM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802323946513598	0	0	0	0	0	0
EPHB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.769665038891173	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303
CD47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340051521904172	0	0	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.608640564015116	0	0
BMPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.830081918965643	0.0708928384558558	0	0	0	0	0	0	0	0	0	0	0	0	0
