TFPI	SERPING1	SERPINE2	SERPINA1	PSAP	PLAT	LRPAP1	A2M	HSP90B1	LAMB1	COL18A1	TNC	VCAM1	FN1	COL1A1	COL4A1	CALM3	CALM1	CALM2	VEGFA	SEMA3A	VEGFB	THBS1	THBS2	MDK	PTN	NLGN2	NID1	NECTIN2	NCAM1	LAMB2	EFNA1	CTGF	CD99	APOE	BMP4
NRXN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.468597651940921	0	0	0	0	0	0	0	0	0
NRXN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030348418390804	0	0	0	0	0	0	0	0	0
NRXN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247778980021596	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294752691402503	0.40282899069551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022254232864487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146469335307509	0.151129337145447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39986305116601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0373982870766781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.579111625391905	0.560665593706596	0.0327665700634728	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994003407596781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA6	0	0	0	0	0	0	0	0	0	0.232856689004002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC1	0	0	0	0	0	0	0	0	0	0	0.0248539940327773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0	0.124822975832743	0.0885726481273005	0.240961163066389	0.471078651730058	0.433977464142074	0.501195220221716	0.124822975832743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0	0	0	0
PTPRZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036053745508898	0.543818006275361	0	0	0	0	0	0	0	0	0	0
PTPRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362065829933115	0	0	0	0	0	0	0	0
NECTIN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.701519442218339	0	0	0	0	0	0	0
NCAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0419453034630874	0	0	0	0	0	0
MYLK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458417051574741	0.359634844152914	0.0882737719686937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186794032584459	0	0	0
LRP1	0.02413170054837	0.02413170054837	0.140964001971249	0.303365764930636	0.02413170054837	0.02413170054837	0.486493867489844	0.46789770935035	0.02413170054837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62702143137423	0
EPHA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71841881023812	0	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393198602007303	0	0
BMPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.780621090790136
CD47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340051521904172	0.2422404431704	0	0	0	0	0	0	0	0	0	0	0	0
