TFPI	SERPING1	SERPINE2	SERPINA1	PSAP	PLAT	LRPAP1	A2M	HSP90B1	LAMB1	COL18A1	ADAM17	VCAM1	FN1	COL4A1	COL1A1	LAMC3	CALM3	CALM1	CALM2	NTF3	BDNF	NGF	VEGFA	PGF	VEGFB	MDK	PTN	BMP2	BMP5	TNFSF12	THBS1	TGFB1	NID1	NECTIN2	LAMB2	JAG1	GAS6	EFNA1	CTGF	COL5A3	CD99	APOE	ARTN
DDR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39986305116601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0373982870766781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA6	0	0	0	0	0	0	0	0	0	0.232856689004002	0	0	0	0	0	0	0.16526674485442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0	0.124822975832743	0.0885726481273005	0.215323106219401	0.471078651730058	0.433977464142074	0.124822975832743	0.501195220221716	0.226691183478982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294752691402503	0	0.40282899069551	0.185651003800483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151129337145447	0.146469335307509	0.146469335307509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.579111625391905	0.481748384810589	0.0327665700634728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994003407596781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10344723287092	0	0	0	0	0	0
TNFRSF12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257607230910452	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766590481304378	0	0	0	0	0	0	0	0	0	0	0
SDC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297807589246952	0	0	0
SDC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022254232864487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0942608801914102	0	0	0	0	0	0	0	0
