Endothelial	Endothelial	interaction type	LRscore
HSPG2	ITGB1	autocrine	0.932492765722835
RPS27A	TGFBR2	autocrine	0.930671218959405
GNAI2	CAV1	autocrine	0.930158578548862
ICAM1	CAV1	autocrine	0.929472502862811
RPS27A	LDLR	autocrine	0.92599436530325
UBC	TGFBR2	autocrine	0.925201444292729
HMGB1	THBD	autocrine	0.921559777597657
UBC	LDLR	autocrine	0.920187248420753
COL4A1	CD93	autocrine	0.916598102908427
COL4A1	ITGB1	autocrine	0.915710111731266
UBB	TGFBR2	autocrine	0.915538839330368
EFNB2	PECAM1	autocrine	0.91455326740359
HSPA8	LDLR	autocrine	0.912873755397115
COL6A2	ITGB1	autocrine	0.912067134334275
FN1	ITGB1	autocrine	0.911963547921431
LGALS1	ITGB1	autocrine	0.911730140202045
APP	CAV1	autocrine	0.91140192461395
UBB	LDLR	autocrine	0.909939952985658
COL4A2	CD93	autocrine	0.909295852760351
MDK	ITGB1	autocrine	0.908078707097631
FN1	ITGA6	autocrine	0.900041822695922
COL3A1	ITGB1	autocrine	0.89783243808796
TIMP1	CD63	autocrine	0.89669213701806
ADAM15	ITGB1	autocrine	0.896033817526432
MDK	ITGA6	autocrine	0.895691076187663
COL1A2	CD93	autocrine	0.894764859972627
COL1A1	CD93	autocrine	0.893928943910697
FN1	ROBO4	autocrine	0.893798126627678
COL1A2	ITGB1	autocrine	0.89367137368464
COL1A1	ITGB1	autocrine	0.892827812086045
COL18A1	ITGB1	autocrine	0.891516182156471
CYR61	CAV1	autocrine	0.890958054633715
HLA-B	CANX	autocrine	0.890812943373797
FN1	ITGA5	autocrine	0.889801998415043
HSPG2	ITGA2	autocrine	0.88795871222824
UBA52	TGFBR2	autocrine	0.887614443600234
APOA1	LDLR	autocrine	0.884476919582335
AGRN	ITGB1	autocrine	0.882551861157131
TGFB1	CAV1	autocrine	0.880945595039218
UBA52	LDLR	autocrine	0.88040626569517
LAMB2	RPSA	autocrine	0.879143982974613
HLA-A	APLP2	autocrine	0.879018774169014
TIMP3	KDR	autocrine	0.878219533726348
HLA-C	NOTCH4	autocrine	0.877504810248888
COL6A1	ITGB1	autocrine	0.876554752654028
COL1A2	CD36	autocrine	0.8763712614753
COL18A1	KDR	autocrine	0.876187931381038
FBN1	ITGB1	autocrine	0.875793624039244
COL1A1	CD36	autocrine	0.87540958360519
UBA52	NOTCH1	autocrine	0.874469645469358
APP	CD74	autocrine	0.873846040900723
LAMB1	ITGB1	autocrine	0.872224910026649
LAMB2	ITGB1	autocrine	0.87056702718613
ADAM15	ITGA5	autocrine	0.870431979267398
CALM1	MYLK	autocrine	0.869917335551512
LAMC1	ITGB1	autocrine	0.869406432418553
