Endothelial	Epithelial	interaction type	LRscore
RPS27A	LDLR	autocrine|paracrine	0.916817646775746
UBC	LDLR	autocrine|paracrine	0.910360152773898
TIMP1	CD63	autocrine|paracrine	0.906320082138112
HSPA8	LDLR	autocrine|paracrine	0.902241837450171
HSP90AA1	FGFR3	autocrine|paracrine	0.89947813671562
UBB	LDLR	autocrine|paracrine	0.89898964041793
RPS27A	ERBB2	autocrine|paracrine	0.897732687558489
HSPG2	ITGB1	autocrine|paracrine	0.894122307533514
HLA-B	CANX	autocrine|paracrine	0.892861877030637
FN1	PLAUR	autocrine|paracrine	0.891928516108088
UBC	ERBB2	autocrine|paracrine	0.889971423245249
HLA-A	APLP2	autocrine|paracrine	0.888752631686614
HSP90AA1	ERBB2	autocrine|paracrine	0.887032856258985
LAMB2	RPSA	autocrine|paracrine	0.882911991044072
UBB	ERBB2	autocrine|paracrine	0.876365901332941
EFNA1	EPHA2	autocrine|paracrine	0.875655694945055
APOA1	LDLR	autocrine|paracrine	0.870869940390541
COL4A1	ITGB1	autocrine|paracrine	0.869139218815497
UBA52	LDLR	autocrine|paracrine	0.866392248551183
HSPG2	LRP1	autocrine|paracrine	0.865423101615815
HBEGF	CD9	autocrine|paracrine	0.865082232560774
COL6A2	ITGB1	autocrine|paracrine	0.863782876909449
FN1	ITGB1	autocrine|paracrine	0.863630915269513
LGALS1	ITGB1	autocrine|paracrine	0.863288574762038
HSP90B1	ERBB2	autocrine|paracrine	0.86241154594464
MDK	ITGB1	autocrine|paracrine	0.857945491684925
B2M	TFRC	autocrine|paracrine	0.855627827846852
A2M	LRP1	autocrine|paracrine	0.854679298091826
HLA-A	ERBB2	autocrine|paracrine	0.850415144605047
PTMA	VIPR1	autocrine|paracrine	0.846672303350278
P4HB	MTTP	autocrine|paracrine	0.845493541552708
MDK	TSPAN1	autocrine|paracrine	0.844686538611189
COL3A1	ITGB1	autocrine|paracrine	0.843076674136267
PRND	RPSA	autocrine|paracrine	0.840564355477231
ADAM15	ITGB1	autocrine|paracrine	0.840485361687461
UBA52	ERBB2	autocrine|paracrine	0.837784927303094
GNAS	VIPR1	autocrine|paracrine	0.837779615025007
COL1A2	ITGB1	autocrine|paracrine	0.837090169719729
COL1A1	ITGB1	autocrine|paracrine	0.835880156279846
RPS27A	TGFBR2	autocrine|paracrine	0.834993078891709
COL18A1	ITGB1	autocrine|paracrine	0.834001152144198
FABP5	RXRA	autocrine|paracrine	0.831258202924774
GNAI2	EDNRB	autocrine|paracrine	0.828685735544727
FN1	ITGA6	autocrine|paracrine	0.828031231640386
HSP90B1	LRP1	autocrine|paracrine	0.827888284182716
CALM1	INSR	autocrine|paracrine	0.825699563299492
ICAM1	IL2RG	autocrine|paracrine	0.825076984132184
UBC	TGFBR2	autocrine|paracrine	0.823407005177303
MDK	LRP1	autocrine|paracrine	0.821398965600374
ACTR2	LDLR	autocrine|paracrine	0.82126676664682
AGRN	ITGB1	autocrine|paracrine	0.821237179053607
MDK	ITGA6	autocrine|paracrine	0.821168937986451
COL4A1	ITGB8	autocrine|paracrine	0.81521793414357
HSPG2	SDC1	autocrine|paracrine	0.814367505450431
COL6A1	ITGB1	autocrine|paracrine	0.812773417703841
HSPG2	ITGA2	autocrine|paracrine	0.811740236763628
FBN1	ITGB1	autocrine|paracrine	0.811703508732393
COL3A1	DDR1	autocrine|paracrine	0.809131220919048
ARPC5	LDLR	autocrine|paracrine	0.808586507802627
HBEGF	ERBB2	autocrine|paracrine	0.808371622274436
FN1	ITGB8	autocrine|paracrine	0.807941478289079
LAMB1	ITGB1	autocrine|paracrine	0.806699782531597
APOA1	LRP1	autocrine|paracrine	0.804765618941196
LAMB2	ITGB1	autocrine|paracrine	0.804382386165283
HSP90AA1	EGFR	autocrine|paracrine	0.803587718368858
UBB	TGFBR2	autocrine|paracrine	0.803388874289704
LAMC1	ITGB1	autocrine|paracrine	0.802762785221467
HLA-C	DDR1	autocrine|paracrine	0.802721236599128
MDK	SDC4	autocrine|paracrine	0.802154794077159
COL4A1	CD47	autocrine|paracrine	0.801850807094636
HSP90AA1	CFTR	autocrine|paracrine	0.801436963454368
CXCL12	ITGB1	autocrine|paracrine	0.800826467725957
COL1A1	DDR1	autocrine|paracrine	0.800745884354927
RPS27A	SMAD3	autocrine|paracrine	0.799690295037124
GNAI2	IGF1R	autocrine|paracrine	0.799318894144076
CALR	LRP1	autocrine|paracrine	0.797249006134274
LAMA5	BCAM	autocrine|paracrine	0.796046490685006
NID1	PTPRF	autocrine|paracrine	0.795016437112768
CALM1	MYLK	autocrine|paracrine	0.794904541055774
FN1	TNFRSF11B	autocrine|paracrine	0.793871647161626
CALM1	VIPR1	autocrine|paracrine	0.793787311604169
GNAI2	CAV1	autocrine|paracrine	0.793662863257748
ICAM1	CAV1	autocrine|paracrine	0.791935873235828
ARF1	INSR	autocrine|paracrine	0.790468963852775
GNAS	PTGDR	autocrine|paracrine	0.790464787109663
LRPAP1	LDLR	autocrine|paracrine	0.788539905463065
UBC	SMAD3	autocrine|paracrine	0.786259933443573
NAMPT	INSR	autocrine|paracrine	0.785966732852716
JAG1	CD46	autocrine|paracrine	0.785551074779783
VWF	TNFRSF11B	autocrine|paracrine	0.784148444729162
APP	LRP1	autocrine|paracrine	0.782221318784377
CXCL12	ACKR3	autocrine|paracrine	0.781667088684399
FN1	SDC2	autocrine|paracrine	0.78131585817076
HMGB1	SDC1	autocrine|paracrine	0.780195043999255
APP	NCSTN	autocrine|paracrine	0.780155730106609
APOE	LDLR	autocrine|paracrine	0.779306373667446
COL5A1	ITGB1	autocrine|paracrine	0.779139911859148
PSAP	LRP1	autocrine|paracrine	0.778929237117692
LAMA4	ITGB1	autocrine|paracrine	0.778561468179928
AGRN	LRP1	autocrine|paracrine	0.777693739559081
NID1	ITGB1	autocrine|paracrine	0.776516951199525
TIMP2	ITGB1	autocrine|paracrine	0.775930103717214
APOC3	LDLR	autocrine|paracrine	0.77459131962589
FN1	ITGA3	autocrine|paracrine	0.773666231868206
CALM2	INSR	autocrine|paracrine	0.773564671037752
HSP90B1	ASGR1	autocrine|paracrine	0.772890283128784
TGFB1	ITGB1	autocrine|paracrine	0.77235819727787
COL4A1	ITGA2	autocrine|paracrine	0.772269199656652
CALM1	EGFR	autocrine|paracrine	0.772071568374341
COL4A1	ITGAV	autocrine|paracrine	0.77063969910707
LAMA5	ITGB1	autocrine|paracrine	0.769157779882383
COL6A1	ITGA6	autocrine|paracrine	0.767471827525216
APP	CD74	autocrine|paracrine	0.765832749924756
COL6A2	ITGA2	autocrine|paracrine	0.764024342041893
FN1	ITGA2	autocrine|paracrine	0.763791524270298
UBB	SMAD3	autocrine|paracrine	0.763241685599706
FN1	ITGAV	autocrine|paracrine	0.762120047965461
FN1	IL17RC	autocrine|paracrine	0.761905504207244
IGFBP4	LRP6	autocrine|paracrine	0.760449136072944
LAMB1	ITGA6	autocrine|paracrine	0.760361899939587
GNAI2	EGFR	autocrine|paracrine	0.759461396034203
MDK	SDC1	autocrine|paracrine	0.758306010537498
ICAM1	EGFR	autocrine|paracrine	0.757535600187377
COL4A2	ITGB5	autocrine|paracrine	0.75685297714447
CALM1	PTPRA	autocrine|paracrine	0.756721585016655
RPS27A	RIPK1	autocrine|paracrine	0.756721580730515
LAMC1	ITGA6	autocrine|paracrine	0.755766860359064
VIM	CD44	autocrine|paracrine	0.754960997815266
COL5A2	ITGB1	autocrine|paracrine	0.754168745726171
NECTIN2	NECTIN3	autocrine|paracrine	0.753359275218386
CALM3	INSR	autocrine|paracrine	0.750508422074578
UBA52	TGFBR2	autocrine|paracrine	0.748568497714313
APP	CAV1	autocrine|paracrine	0.748173280991647
FBLN1	ITGB1	autocrine|paracrine	0.745327206830318
TNFSF12	TNFRSF12A	autocrine|paracrine	0.743901655118495
EFNB2	EPHB2	autocrine|paracrine	0.743068104297768
UBC	RIPK1	autocrine|paracrine	0.741342094936778
ICAM4	ITGB1	autocrine|paracrine	0.739644014072846
CALM1	KCNN4	autocrine|paracrine	0.739124126116571
PLAU	ST14	autocrine|paracrine	0.736787116783173
GPC3	CD81	autocrine|paracrine	0.736717167146154
CALM2	MYLK	autocrine|paracrine	0.736498061396186
CALR	ITGA3	autocrine|paracrine	0.735947934324612
COL9A3	ITGB1	autocrine|paracrine	0.734992199978563
CTGF	LRP1	autocrine|paracrine	0.734570156881147
PLAU	PLAUR	autocrine|paracrine	0.734509664108588
UBA52	NOTCH1	autocrine|paracrine	0.733201490134401
COL3A1	ITGA2	autocrine|paracrine	0.732844030814211
TGM2	ITGB1	autocrine|paracrine	0.73188489350027
COL18A1	ITGA3	autocrine|paracrine	0.73058709869476
EDN1	EDNRB	autocrine|paracrine	0.729769757106489
CXCL12	SDC4	autocrine|paracrine	0.729671146153207
RPS27A	FGFR2	autocrine|paracrine	0.729168631386053
UBA52	EGFR	autocrine|paracrine	0.729072864216292
LAMA4	ITGA6	autocrine|paracrine	0.727754685026297
ADAM15	ITGAV	autocrine|paracrine	0.727187847206473
TNFSF10	TNFRSF10B	autocrine|paracrine	0.726276654852305
LRPAP1	SORL1	autocrine|paracrine	0.72574404323524
EFNB1	ERBB2	autocrine|paracrine	0.724212363190776
COL1A2	ITGA2	autocrine|paracrine	0.724028788026924
VEGFC	ITGB1	autocrine|paracrine	0.723689553469316
CALR	ITGAV	autocrine|paracrine	0.723166094932325
COL1A1	ITGA2	autocrine|paracrine	0.722257640189763
COL1A2	ITGAV	autocrine|paracrine	0.722178285987063
COL18A1	ITGB5	autocrine|paracrine	0.720776783729889
ADAM17	ITGB1	autocrine|paracrine	0.720618975069928
COL1A1	ITGAV	autocrine|paracrine	0.720399848162121
MMP2	SDC2	autocrine|paracrine	0.719619717084925
VCAN	ITGB1	autocrine|paracrine	0.718209341128638
GNAI2	F2R	autocrine|paracrine	0.718126584635884
LAMA5	ITGA6	autocrine|paracrine	0.716977739650579
EFNB2	EPHB4	autocrine|paracrine	0.715742678571995
UBB	RIPK1	autocrine|paracrine	0.715238467672172
JAM3	ITGB1	autocrine|paracrine	0.714964272196063
APOE	SORL1	autocrine|paracrine	0.714760366793391
COL4A1	ITGA1	autocrine|paracrine	0.714706210291573
ANXA1	EGFR	autocrine|paracrine	0.714240141739786
HBEGF	PRLR	autocrine|paracrine	0.713622209168543
APOA4	LDLR	autocrine|paracrine	0.713406064296371
COL6A3	ITGB1	autocrine|paracrine	0.712982309244794
UBC	FGFR2	autocrine|paracrine	0.712708604676953
THBS1	ITGB1	autocrine|paracrine	0.711719259062745
CALM3	MYLK	autocrine|paracrine	0.711077245151497
CALM2	EGFR	autocrine|paracrine	0.709538750556586
LUM	ITGB1	autocrine|paracrine	0.708474244744559
COL5A2	DDR1	autocrine|paracrine	0.707659772292957
SPTAN1	PTPRA	autocrine|paracrine	0.706822879473066
COL6A2	ITGA1	autocrine|paracrine	0.705172934758838
GNAS	ADCY9	autocrine|paracrine	0.704747345028219
SEMA6A	PLXNA2	autocrine|paracrine	0.704316560829682
MUC2	AGR2	autocrine|paracrine	0.703558051913564
RPS27A	TGFBR1	autocrine|paracrine	0.702796983816038
CYR61	CAV1	autocrine|paracrine	0.702364778356536
UBA52	SMAD3	autocrine|paracrine	0.701387952062865
GNAI2	PTPRU	autocrine|paracrine	0.701284146318232
EFNA1	EPHA1	autocrine|paracrine	0.700424337496784
HBEGF	CD82	autocrine|paracrine	0.69860619735512
VWF	SIRPA	autocrine|paracrine	0.698293599453856
LRPAP1	LRP1	autocrine|paracrine	0.695047564592614
APP	TNFRSF21	autocrine|paracrine	0.694456547932546
TFPI	LRP1	autocrine|paracrine	0.693284418025367
TGFB1	ITGB8	autocrine|paracrine	0.692659897367269
