Endothelial	Immune	interaction type	LRscore
VIM	CD44	autocrine|paracrine	0.937091973210728
APP	CD74	autocrine|paracrine	0.924049916700523
RPS27A	LDLR	autocrine|paracrine	0.91507322000687
LGALS1	PTPRC	autocrine|paracrine	0.9115018666439
FN1	PLAUR	autocrine|paracrine	0.909203415751287
UBC	LDLR	autocrine|paracrine	0.90849382130013
FN1	CD44	autocrine|paracrine	0.901272308198127
HSPA8	LDLR	autocrine|paracrine	0.900225005111599
UBB	LDLR	autocrine|paracrine	0.896913378618247
HSPG2	ITGB1	autocrine|paracrine	0.8955311775774
B2M	TFRC	autocrine|paracrine	0.893474695283163
MADCAM1	CD44	autocrine|paracrine	0.887121779743848
B2M	CD3D	autocrine|paracrine	0.886382313092325
TIMP1	CD63	autocrine|paracrine	0.884278549934393
ICAM1	ITGB2	autocrine|paracrine	0.883758099183206
COL1A2	CD44	autocrine|paracrine	0.881048463001438
COL1A1	CD44	autocrine|paracrine	0.880118191014938
LAMB2	RPSA	autocrine|paracrine	0.878690992707068
RPS19	C5AR1	autocrine|paracrine	0.875147758582502
COL4A1	ITGB1	autocrine|paracrine	0.870832503171958
PKM	CD44	autocrine|paracrine	0.869402543420043
APOA1	LDLR	autocrine|paracrine	0.868300355176742
HLA-B	CANX	autocrine|paracrine	0.865846929587729
COL6A2	ITGB1	autocrine|paracrine	0.865534747284062
ICAM1	IL2RG	autocrine|paracrine	0.86540780173648
FN1	ITGB1	autocrine|paracrine	0.865384435427176
LGALS1	ITGB1	autocrine|paracrine	0.865045809073165
UBA52	LDLR	autocrine|paracrine	0.863747501427055
LGALS1	CD69	autocrine|paracrine	0.863482579828157
HLA-A	APLP2	autocrine|paracrine	0.860634193407709
MDK	ITGB1	autocrine|paracrine	0.859760247259959
HBEGF	CD44	autocrine|paracrine	0.859708330129855
HLA-B	CD3D	autocrine|paracrine	0.859492408382753
RPS27A	TGFBR2	autocrine|paracrine	0.853446586097689
CALM1	MYLK	autocrine|paracrine	0.852460559672879
FN1	C5AR1	autocrine|paracrine	0.84876932951502
COL3A1	ITGB1	autocrine|paracrine	0.845047073066963
COL4A1	CD47	autocrine|paracrine	0.844860785569666
ICAM2	ITGB2	autocrine|paracrine	0.844584686837257
GNAI2	C5AR1	autocrine|paracrine	0.844038421944181
ICAM1	ITGAX	autocrine|paracrine	0.844008979021549
CXCL12	CXCR4	autocrine|paracrine	0.843783827308857
UBC	TGFBR2	autocrine|paracrine	0.842912472707017
ADAM15	ITGB1	autocrine|paracrine	0.84248221905215
CALM1	ABCA1	autocrine|paracrine	0.841022668030558
COL1A2	ITGB1	autocrine|paracrine	0.839121393826925
COL1A1	ITGB1	autocrine|paracrine	0.837923546199038
B2M	KLRC1	autocrine|paracrine	0.837521696966865
RPS27A	TLR4	autocrine|paracrine	0.836783141918921
RPS27A	ADRB2	autocrine|paracrine	0.836365196395691
COL18A1	ITGB1	autocrine|paracrine	0.836063348505124
PRND	RPSA	autocrine|paracrine	0.83510185540379
HLA-A	CD3D	autocrine|paracrine	0.832066885040117
COL4A1	CD93	autocrine|paracrine	0.831501698380926
FN1	ITGB7	autocrine|paracrine	0.830059530518742
HSPG2	LRP1	autocrine|paracrine	0.825595484936725
UBC	TLR4	autocrine|paracrine	0.825296460790587
CYR61	ITGB2	autocrine|paracrine	0.824980184992136
UBC	ADRB2	autocrine|paracrine	0.82485525808972
