Endothelial	Muscle	interaction type	LRscore
CALM1	MYLK	autocrine|paracrine	0.944326045306439
HSPG2	ITGB1	autocrine|paracrine	0.929421198222872
CALM2	MYLK	autocrine|paracrine	0.924425841375185
GNAI2	CAV1	autocrine|paracrine	0.922347722674095
ICAM1	CAV1	autocrine|paracrine	0.921591386249329
CALM3	MYLK	autocrine|paracrine	0.915043655549158
COL4A1	ITGB1	autocrine|paracrine	0.911947041952226
COL6A2	ITGB1	autocrine|paracrine	0.908157738112211
FN1	ITGB1	autocrine|paracrine	0.908050010650641
LGALS1	ITGB1	autocrine|paracrine	0.907807276035227
MDK	ITGB1	autocrine|paracrine	0.904010651812448
VIM	CD44	autocrine|paracrine	0.903142616916557
APP	CAV1	autocrine|paracrine	0.901715032289922
COL3A1	ITGB1	autocrine|paracrine	0.893364174992571
TIMP1	CD63	autocrine|paracrine	0.891577815803865
ADAM15	ITGB1	autocrine|paracrine	0.891496398737949
HSPG2	LRP1	autocrine|paracrine	0.891457947044266
COL1A2	ITGB1	autocrine|paracrine	0.889043617752341
COL1A1	ITGB1	autocrine|paracrine	0.888167936067715
COL18A1	ITGB1	autocrine|paracrine	0.886806506427334
RPS27A	ERBB2	autocrine|paracrine	0.884683342533347
A2M	LRP1	autocrine|paracrine	0.882510436075341
LAMB2	RPSA	autocrine|paracrine	0.881375990682993
CYR61	CAV1	autocrine|paracrine	0.87933186831476
AGRN	ITGB1	autocrine|paracrine	0.877506483871714
UBC	ERBB2	autocrine|paracrine	0.876068454111257
COL4A1	ITGA1	autocrine|paracrine	0.874775274632583
HSP90AA1	ERBB2	autocrine|paracrine	0.872811641355735
COL6A1	ITGB1	autocrine|paracrine	0.871289321484137
FBN1	ITGB1	autocrine|paracrine	0.870500524006909
COL6A2	ITGA1	autocrine|paracrine	0.86961501787678
TGFB1	CAV1	autocrine|paracrine	0.868409538889233
HLA-A	APLP2	autocrine|paracrine	0.867594994211908
LAMB1	ITGB1	autocrine|paracrine	0.866802857702331
LAMB2	ITGB1	autocrine|paracrine	0.865085505506734
LAMC1	ITGB1	autocrine|paracrine	0.863883444264186
RPS27A	TGFBR1	autocrine|paracrine	0.863111339426855
CXCL12	ITGB1	autocrine|paracrine	0.862444343117567
UBB	ERBB2	autocrine|paracrine	0.861012251930258
RPS27A	FGFR2	autocrine|paracrine	0.860360896835241
HSP90B1	LRP1	autocrine|paracrine	0.860009909922884
RPS27A	LDLR	autocrine|paracrine	0.856316612530626
MDK	LRP1	autocrine|paracrine	0.854518884333345
HLA-B	CANX	autocrine|paracrine	0.853246854977654
UBC	TGFBR1	autocrine|paracrine	0.853152387102074
FN1	CD44	autocrine|paracrine	0.85106457191487
UBC	FGFR2	autocrine|paracrine	0.850236564379707
COL5A1	ITGB1	autocrine|paracrine	0.846178229160548
UBC	LDLR	autocrine|paracrine	0.845951557275651
