Endothelial	Pericytes	interaction type	LRscore
HSPG2	ITGB1	autocrine|paracrine	0.928526139493651
GNAI2	CAV1	autocrine|paracrine	0.921218403442922
ICAM1	CAV1	autocrine|paracrine	0.920452016064844
COL4A1	ITGB1	autocrine|paracrine	0.910851636973549
COL6A2	ITGB1	autocrine|paracrine	0.9070199993587
FN1	ITGB1	autocrine|paracrine	0.906911074165841
LGALS1	ITGB1	autocrine|paracrine	0.906665641961141
TIMP1	CD63	autocrine|paracrine	0.904720671578336
MDK	ITGB1	autocrine|paracrine	0.902827036116458
APP	CAV1	autocrine|paracrine	0.900318075444186
CALM1	MYLK	autocrine|paracrine	0.899494247757641
COL4A1	ITGA1	autocrine|paracrine	0.898906537979352
COL6A2	ITGA1	autocrine|paracrine	0.894620891953831
FN1	SDC2	autocrine|paracrine	0.89294922188808
COL3A1	ITGB1	autocrine|paracrine	0.892064954899047
ADAM15	ITGB1	autocrine|paracrine	0.890177219686724
LAMB2	RPSA	autocrine|paracrine	0.888583247378457
RPS27A	LDLR	autocrine|paracrine	0.887916505048267
COL1A2	ITGB1	autocrine|paracrine	0.887698374476984
COL1A1	ITGB1	autocrine|paracrine	0.886813427621179
GNAS	PTGIR	autocrine|paracrine	0.886050061592361
COL18A1	ITGB1	autocrine|paracrine	0.885437635314266
HLA-B	CANX	autocrine|paracrine	0.881055165900707
UBC	LDLR	autocrine|paracrine	0.879510258124469
CYR61	CAV1	autocrine|paracrine	0.877659935646112
AGRN	ITGB1	autocrine|paracrine	0.876040866566456
COL1A2	ITGA1	autocrine|paracrine	0.873083216187685
DLL4	NOTCH3	autocrine|paracrine	0.872369996879193
COL1A1	ITGA1	autocrine|paracrine	0.872099694185191
HSPG2	LRP1	autocrine|paracrine	0.871612403960376
COL6A1	ITGB1	autocrine|paracrine	0.86976035732193
JAG2	NOTCH3	autocrine|paracrine	0.869727091200137
HSPA8	LDLR	autocrine|paracrine	0.869000040298589
FBN1	ITGB1	autocrine|paracrine	0.868963598874887
TGFB1	CAV1	autocrine|paracrine	0.866609227457359
CALM2	MYLK	autocrine|paracrine	0.865845813678791
LAMB1	ITGB1	autocrine|paracrine	0.865228842174232
UBB	LDLR	autocrine|paracrine	0.864807668162368
LAMB2	ITGB1	autocrine|paracrine	0.863494391683654
LAMC1	ITGB1	autocrine|paracrine	0.862280410800965
A2M	LRP1	autocrine|paracrine	0.861283516139937
CXCL12	ITGB1	autocrine|paracrine	0.860827091855012
JAG1	NOTCH3	autocrine|paracrine	0.860336730362925
RTN4	LINGO1	autocrine|paracrine	0.860290552308096
GNAI2	EDNRA	autocrine|paracrine	0.858673920627358
MMP2	SDC2	autocrine|paracrine	0.856982612767164
HLA-A	APLP2	autocrine|paracrine	0.855439909823796
RPS27A	TGFBR2	autocrine|paracrine	0.854572215860869
COL6A1	ITGA1	autocrine|paracrine	0.853196776051402
CALM3	MYLK	autocrine|paracrine	0.850368335329161
RPS27A	ERBB2	autocrine|paracrine	0.849570370761241
LAMB1	ITGA1	autocrine|paracrine	0.848189543528785
FYN	THY1	autocrine|paracrine	0.847997759566125
PRND	RPSA	autocrine|paracrine	0.847933480771436
DLL1	NOTCH3	autocrine|paracrine	0.847185823529797
LAMC1	ITGA1	autocrine|paracrine	0.844935145966751
COL5A1	ITGB1	autocrine|paracrine	0.844404238502601
UBC	TGFBR2	autocrine|paracrine	0.844104232257251
LAMA4	ITGB1	autocrine|paracrine	0.843962493300382
LAMA5	BCAM	autocrine|paracrine	0.842624983389104
NID1	ITGB1	autocrine|paracrine	0.842399584150296
TIMP2	ITGB1	autocrine|paracrine	0.841950526614568
TGFB1	ITGB1	autocrine|paracrine	0.839212970425648
UBC	ERBB2	autocrine|paracrine	0.838810261314858
GNAI2	F2R	autocrine|paracrine	0.837048880800193
LAMA5	ITGB1	autocrine|paracrine	0.836753804251645
HSP90B1	LRP1	autocrine|paracrine	0.835475667433301
HSP90AA1	ERBB2	autocrine|paracrine	0.834759012648184
COL3A1	DDR2	autocrine|paracrine	0.833523866287948
RPS27A	ADRB2	autocrine|paracrine	0.833206244930422
COL4A2	ITGB5	autocrine|paracrine	0.832867129581968
UBA52	NOTCH1	autocrine|paracrine	0.832661372536948
MDK	LRP1	autocrine|paracrine	0.829213409321071
APOA1	LDLR	autocrine|paracrine	0.828982448614412
PDGFB	PDGFRB	autocrine|paracrine	0.827937976066352
PDAP1	PDGFRB	autocrine|paracrine	0.827522652746617
CXCL12	ACKR3	autocrine|paracrine	0.827252247161067
HBEGF	CD9	autocrine|paracrine	0.826676357888411
COL1A1	DDR2	autocrine|paracrine	0.825979682949956
UBB	TGFBR2	autocrine|paracrine	0.825936315688329
COL4A1	ITGAV	autocrine|paracrine	0.825630763198843
COL5A1	ITGA1	autocrine|paracrine	0.82526377778298
COL5A2	ITGB1	autocrine|paracrine	0.825156178199851
FABP5	RXRA	autocrine|paracrine	0.823913359647805
UBA52	LDLR	autocrine|paracrine	0.823346904767843
UBC	ADRB2	autocrine|paracrine	0.821521525134098
UBB	ERBB2	autocrine|paracrine	0.820156838212941
CALM1	CACNA1C	autocrine|paracrine	0.818799952088646
FN1	ITGAV	autocrine|paracrine	0.818673145093222
FBLN1	ITGB1	autocrine|paracrine	0.818252486089569
TGFB1	SDC2	autocrine|paracrine	0.817144702988481
IGFBP4	LRP6	autocrine|paracrine	0.81455781639436
ICAM4	ITGB1	autocrine|paracrine	0.813790091559432
APOA1	LRP1	autocrine|paracrine	0.813142273790142
CALM1	PTPRA	autocrine|paracrine	0.812494621751396
COL9A3	ITGB1	autocrine|paracrine	0.810122965971555
GPC3	CD81	autocrine|paracrine	0.809968836440321
GNAI2	S1PR3	autocrine|paracrine	0.809478808177894
TGM2	ITGB1	autocrine|paracrine	0.807666069097164
HSPA8	ADRB2	autocrine|paracrine	0.807062635791984
GNAS	ADCY9	autocrine|paracrine	0.806359194999607
CALR	LRP1	autocrine|paracrine	0.805870369724437
COL18A1	ITGB5	autocrine|paracrine	0.805165951814911
COL5A2	ITGA1	autocrine|paracrine	0.804196984450451
GNAS	PTGDR	autocrine|paracrine	0.802019846731402
COL4A1	CD47	autocrine|paracrine	0.801626503427655
UBB	ADRB2	autocrine|paracrine	0.801341227250687
HSP90B1	ERBB2	autocrine|paracrine	0.801296727050682
VEGFC	ITGB1	autocrine|paracrine	0.801157772331567
HRAS	CAV1	autocrine|paracrine	0.800573561476606
ADAM17	ITGB1	autocrine|paracrine	0.79870862907633
VCAN	ITGB1	autocrine|paracrine	0.796782576656675
APP	NCSTN	autocrine|paracrine	0.795325897190864
PSEN1	NOTCH3	autocrine|paracrine	0.794815507793588
JAM3	ITGB1	autocrine|paracrine	0.79418304837011
LAMB1	ITGA7	autocrine|paracrine	0.793116792415415
COL6A3	ITGB1	autocrine|paracrine	0.792592128250845
RPS27A	TGFBR1	autocrine|paracrine	0.792208845043358
B2M	TFRC	autocrine|paracrine	0.791648159048101
THBS1	ITGB1	autocrine|paracrine	0.7915769983434
APP	LRP1	autocrine|paracrine	0.791314424226933
ADAM15	ITGAV	autocrine|paracrine	0.789754641993655
LAMC1	ITGA7	autocrine|paracrine	0.78897551512336
LUM	ITGB1	autocrine|paracrine	0.788964356066741
FN1	IL17RC	autocrine|paracrine	0.788351841088542
PSAP	LRP1	autocrine|paracrine	0.788122567223573
DLL4	NOTCH1	autocrine|paracrine	0.78700093132583
AGRN	LRP1	autocrine|paracrine	0.786924393781593
CALR	ITGAV	autocrine|paracrine	0.786384293620898
COL1A2	ITGAV	autocrine|paracrine	0.785555170315899
FN1	PLAUR	autocrine|paracrine	0.785523807907011
HLA-A	ERBB2	autocrine|paracrine	0.78529828546495
FN1	ITGA8	autocrine|paracrine	0.784286682801755
APOC3	SDC2	autocrine|paracrine	0.784150481130472
COL1A1	ITGAV	autocrine|paracrine	0.784061122876158
HSP90AA1	EGFR	autocrine|paracrine	0.783472509567084
JAG2	NOTCH1	autocrine|paracrine	0.783029912522526
RPS27A	SMAD3	autocrine|paracrine	0.78266129842509
UBC	TGFBR1	autocrine|paracrine	0.7784158588532
JAG1	CD46	autocrine|paracrine	0.778147437290151
UBA52	TGFBR2	autocrine|paracrine	0.775647115163149
EDN1	EDNRA	autocrine|paracrine	0.772315601096164
HSP90AA1	FGFR3	autocrine|paracrine	0.771645994024169
SPTAN1	PTPRA	autocrine|paracrine	0.77056709069169
FN1	ITGA4	autocrine|paracrine	0.76923514484473
JAG1	NOTCH1	autocrine|paracrine	0.769049693562859
COL6A3	ITGA1	autocrine|paracrine	0.768822989938986
UBA52	ERBB2	autocrine|paracrine	0.768665553613955
UBC	SMAD3	autocrine|paracrine	0.768419816165239
ACTR2	LDLR	autocrine|paracrine	0.767583075309637
PLAU	ITGB1	autocrine|paracrine	0.765580260815559
CALM2	CACNA1C	autocrine|paracrine	0.765188205805198
CALM1	PDE1A	autocrine|paracrine	0.762563279756908
MFGE8	PDGFRB	autocrine|paracrine	0.761181156802
MDK	ITGA4	autocrine|paracrine	0.760704674893179
EFEMP2	LINGO1	autocrine|paracrine	0.759875384873208
COL18A1	GPC4	autocrine|paracrine	0.759585599897964
GNAI2	IGF1R	autocrine|paracrine	0.759393042309588
RPS27A	RIPK1	autocrine|paracrine	0.75919753519583
VEGFA	ITGB1	autocrine|paracrine	0.759005563866954
COL16A1	ITGB1	autocrine|paracrine	0.758734951800434
TIMP3	ADAM17	autocrine|paracrine	0.758220233208869
CYR61	ITGB5	autocrine|paracrine	0.755002084917936
UBB	TGFBR1	autocrine|paracrine	0.754816284220579
FBN1	ITGAV	autocrine|paracrine	0.754493009139436
APP	CD74	autocrine|paracrine	0.75371075484597
FN1	ITGA5	autocrine|paracrine	0.752581404970341
ARPC5	LDLR	autocrine|paracrine	0.752243182412332
DLL1	NOTCH1	autocrine|paracrine	0.749802809841128
CALM1	EGFR	autocrine|paracrine	0.749733902337941
EFNA1	EPHA2	autocrine|paracrine	0.749029647402479
LAMB1	ITGAV	autocrine|paracrine	0.748440153548165
NECTIN2	NECTIN3	autocrine|paracrine	0.747558782237266
EFNB2	EPHB3	autocrine|paracrine	0.747221591244581
UBA52	AGTR1	autocrine|paracrine	0.746867007422763
UBA52	ADRB2	autocrine|paracrine	0.746130328155978
VIM	CD44	autocrine|paracrine	0.745384617673012
CTGF	LRP1	autocrine|paracrine	0.745004288347535
UBB	SMAD3	autocrine|paracrine	0.744105603605825
UBC	RIPK1	autocrine|paracrine	0.74392160487898
LAMC1	ITGAV	autocrine|paracrine	0.743693572581663
GNAI2	ADCY9	autocrine|paracrine	0.743132866497814
ADAM10	NOTCH1	autocrine|paracrine	0.742746690411747
MADCAM1	ITGA4	autocrine|paracrine	0.741586004903646
EFNB2	EPHB4	autocrine|paracrine	0.741564629442676
GNAI2	EGFR	autocrine|paracrine	0.736309977132469
TGFB1	ITGB5	autocrine|paracrine	0.736202098443914
ICAM1	EGFR	autocrine|paracrine	0.734263682531366
HRAS	SDC2	autocrine|paracrine	0.73413394460416
GNAI2	UNC5B	autocrine|paracrine	0.733896837244222
MFAP2	NOTCH1	autocrine|paracrine	0.732963939851827
LTBP3	ITGB5	autocrine|paracrine	0.732139146277804
HBEGF	ERBB2	autocrine|paracrine	0.730747236943457
HSP90B1	ASGR1	autocrine|paracrine	0.730650280813556
IGFBP4	FZD8	autocrine|paracrine	0.730046447268585
CCL2	CCR10	autocrine|paracrine	0.728625152701583
LRPAP1	LDLR	autocrine|paracrine	0.728278714904417
CYR61	ITGAV	autocrine|paracrine	0.727589670319301
COL18A1	GPC1	autocrine|paracrine	0.727413533715538
RTN4	NGFR	autocrine|paracrine	0.727096309039115
CALM1	FAS	autocrine|paracrine	0.726599769123856
CALM1	PDE1B	autocrine|paracrine	0.725377148164923
RTN4	CNTNAP1	autocrine|paracrine	0.722406410818738
TLN1	ITGB5	autocrine|paracrine	0.718089969672078
UBB	RIPK1	autocrine|paracrine	0.717979268673722
APOE	LDLR	autocrine|paracrine	0.717357015766556
ADAM15	ITGA5	autocrine|paracrine	0.716769034842767
GNAI2	EDNRB	autocrine|paracrine	0.715515145208771
LAMA4	ITGAV	autocrine|paracrine	0.714819175472373
