Epithelial	Endothelial	interaction type	LRscore
RPS27A	TGFBR2	autocrine|paracrine	0.929878036981266
UBC	TGFBR2	autocrine|paracrine	0.928494569366431
RPS27A	LDLR	autocrine|paracrine	0.925151979278056
UBC	LDLR	autocrine|paracrine	0.923682921766117
APOA1	LDLR	autocrine|paracrine	0.914781839310539
UBB	TGFBR2	autocrine|paracrine	0.903079769702203
LAMA3	ITGB1	autocrine|paracrine	0.898976648501012
HSPA8	LDLR	autocrine|paracrine	0.896812818634529
UBB	LDLR	autocrine|paracrine	0.896748121376345
HMGB1	THBD	autocrine|paracrine	0.896389505119079
GPC3	CD81	autocrine|paracrine	0.891233616078294
SCT	RAMP2	autocrine|paracrine	0.888957200145605
TIMP1	CD63	autocrine|paracrine	0.88317295454376
CYR61	CAV1	autocrine|paracrine	0.882514913024868
COL1A1	CD93	autocrine|paracrine	0.882198033644092
COL1A1	ITGB1	autocrine|paracrine	0.880991334823971
APP	CAV1	autocrine|paracrine	0.88036928211082
COL3A1	ITGB1	autocrine|paracrine	0.879380884792962
BMP2	ENG	autocrine|paracrine	0.879052800261002
LAMB3	ITGB1	autocrine|paracrine	0.878524059234505
LGALS3BP	ITGB1	autocrine|paracrine	0.877725446534332
COL1A2	CD93	autocrine|paracrine	0.875213486813642
GNAI2	CAV1	autocrine|paracrine	0.874552123794315
UBA52	TGFBR2	autocrine|paracrine	0.874161094683466
COL1A2	ITGB1	autocrine|paracrine	0.873945465088691
LAMC2	ITGB1	autocrine|paracrine	0.871207655827435
COL6A1	ITGB1	autocrine|paracrine	0.87028559503473
APOE	LDLR	autocrine|paracrine	0.868555464946425
APOB	LDLR	autocrine|paracrine	0.866891259034704
UBA52	LDLR	autocrine|paracrine	0.866220097180587
ADM	RAMP2	autocrine|paracrine	0.8654265757586
VEGFA	ITGB1	autocrine|paracrine	0.863680829816566
LGALS1	ITGB1	autocrine|paracrine	0.86334236115484
LAMB3	ITGA6	autocrine|paracrine	0.862755504302995
EDN1	ADGRL4	autocrine|paracrine	0.862030190545812
COL1A1	CD36	autocrine|paracrine	0.861946831493306
HLA-C	NOTCH4	autocrine|paracrine	0.8619430703723
MDK	ITGB1	autocrine|paracrine	0.860755126975311
EFNB2	PECAM1	autocrine|paracrine	0.86071484170345
UBA52	NOTCH1	autocrine|paracrine	0.859691503918392
VEGFA	FLT1	autocrine|paracrine	0.857106545580357
LAMC2	ITGA6	autocrine|paracrine	0.854646507171102
COL1A2	CD36	autocrine|paracrine	0.853960344751855
BSG	SELE	autocrine|paracrine	0.853812310432583
COL6A1	ITGA6	autocrine|paracrine	0.853625801052643
VEGFA	NRP1	autocrine|paracrine	0.852404318743586
COL1A1	ITGA5	autocrine|paracrine	0.852295875260364
APOC3	LDLR	autocrine|paracrine	0.851291325963779
LAMB3	CD151	autocrine|paracrine	0.851110035467253
RPS27A	SMAD3	autocrine|paracrine	0.848681039482027
FN1	ITGB1	autocrine|paracrine	0.848177982169563
APOA4	LDLR	autocrine|paracrine	0.846737073481654
UBC	SMAD3	autocrine|paracrine	0.845960974733092
VEGFA	KDR	autocrine|paracrine	0.845102917698826
HLA-A	APLP2	autocrine|paracrine	0.844250320017513
MDK	ITGA6	autocrine|paracrine	0.843091981023359
SEMA3B	NRP1	autocrine|paracrine	0.842652774194384
LAMC2	CD151	autocrine|paracrine	0.842438632080117
BMP2	BMPR2	autocrine|paracrine	0.841681858322448
LRPAP1	LDLR	autocrine|paracrine	0.839594592569107
CDH1	PTPRM	autocrine|paracrine	0.838225701935393
CALM1	MYLK	autocrine|paracrine	0.833926950635551
RPS27A	TGFBR1	autocrine|paracrine	0.833546595825132
APP	CD74	autocrine|paracrine	0.832082541241775
UBC	TGFBR1	autocrine|paracrine	0.830608778671768
FN1	ITGA6	autocrine|paracrine	0.829235941610016
CALR	SCARF1	autocrine|paracrine	0.826477976742671
HSP90B1	ASGR1	autocrine|paracrine	0.824434714168323
TNFSF10	TNFRSF10D	autocrine|paracrine	0.822181492646771
CGN	TGFBR2	autocrine|paracrine	0.820954110414514
FN1	ROBO4	autocrine|paracrine	0.819456671342037
FBLN1	ITGB1	autocrine|paracrine	0.818506642815594
HSPG2	ITGB1	autocrine|paracrine	0.818432905548798
MFAP2	NOTCH1	autocrine|paracrine	0.818275389272553
COL6A2	ITGB1	autocrine|paracrine	0.816591595680519
CALM2	MYLK	autocrine|paracrine	0.815796755075761
FGB	ITGB1	autocrine|paracrine	0.815627129710723
TGM2	ITGB1	autocrine|paracrine	0.815018087973861
CYR61	ITGA5	autocrine|paracrine	0.814521799413527
FN1	ITGA5	autocrine|paracrine	0.813247721382824
ICAM1	CAV1	autocrine|paracrine	0.812701620560623
RPS27A	RIPK1	autocrine|paracrine	0.811859827940446
ADM	CALCRL	autocrine|paracrine	0.811250566159241
COL2A1	ITGB1	autocrine|paracrine	0.810602085336301
AGRN	ITGB1	autocrine|paracrine	0.809783462970545
COL1A1	ITGA2	autocrine|paracrine	0.809425672184646
UBC	RIPK1	autocrine|paracrine	0.80862712790598
COL3A1	ITGA2	autocrine|paracrine	0.807058873808732
LAMB3	ITGA2	autocrine|paracrine	0.805801756998391
THBS1	ITGB1	autocrine|paracrine	0.80414840735021
CTGF	ITGA5	autocrine|paracrine	0.803582082380828
LAMB2	RPSA	autocrine|paracrine	0.803419695683973
CALM1	INSR	autocrine|paracrine	0.803362501934108
C3	CD81	autocrine|paracrine	0.802961949328678
EFNA1	EPHA2	autocrine|paracrine	0.800887683684609
LAMB1	ITGB1	autocrine|paracrine	0.800829366060766
COL1A2	ITGA2	autocrine|paracrine	0.799108941837011
COL1A1	FLT4	autocrine|paracrine	0.799026032156577
LAMA3	ITGB4	autocrine|paracrine	0.798393148607962
PSEN1	NOTCH4	autocrine|paracrine	0.797985284943591
UBB	SMAD3	autocrine|paracrine	0.797606045765093
COL4A2	CD93	autocrine|paracrine	0.796873511085186
VEGFB	FLT1	autocrine|paracrine	0.795752385742263
CDH1	IGF1R	autocrine|paracrine	0.795662896833612
LAMC2	ITGA2	autocrine|paracrine	0.795126769855684
COL6A1	ITGA2	autocrine|paracrine	0.793788948957646
APOB	LRP6	autocrine|paracrine	0.793582141939543
PSEN1	NOTCH1	autocrine|paracrine	0.791920674569458
LAMB2	ITGB1	autocrine|paracrine	0.790747826245368
LUM	ITGB1	autocrine|paracrine	0.79028036168351
ACTR2	LDLR	autocrine|paracrine	0.789964621855962
VEGFB	NRP1	autocrine|paracrine	0.789526952906914
PROC	THBD	autocrine|paracrine	0.78883883217929
ARF1	INSR	autocrine|paracrine	0.788318753459187
COL1A2	FLT4	autocrine|paracrine	0.788293567132847
TIMP2	ITGB1	autocrine|paracrine	0.78709945273498
CALM3	MYLK	autocrine|paracrine	0.785806766248498
VEGFA	NRP2	autocrine|paracrine	0.785285012903826
COL1A1	ITGA1	autocrine|paracrine	0.784796301910756
CALM1	PTPRA	autocrine|paracrine	0.78419222242513
ARPC5	LDLR	autocrine|paracrine	0.783211602366205
CALM2	INSR	autocrine|paracrine	0.782764790144824
THBS1	ITGA6	autocrine|paracrine	0.78113056430347
GPC3	IGF1R	autocrine|paracrine	0.780209703537473
VCAN	ITGB1	autocrine|paracrine	0.780163722314024
UBB	TGFBR1	autocrine|paracrine	0.778695314358373
COL5A2	ITGB1	autocrine|paracrine	0.777636263565644
LAMB1	ITGA6	autocrine|paracrine	0.777529362373659
RPS27A	ERBB2	autocrine|paracrine	0.777130172632612
RPS27A	TLR4	autocrine|paracrine	0.777090085002742
LAMA5	ITGB1	autocrine|paracrine	0.776619915738098
THBS1	CD36	autocrine|paracrine	0.775934529889588
FGB	ITGA5	autocrine|paracrine	0.775192736934411
