Epithelial	Epithelial	interaction type	LRscore
RPS27A	LDLR	autocrine	0.915880293717497
UBC	LDLR	autocrine	0.914246126700667
APOA1	LDLR	autocrine	0.904358367955622
RPS27A	ERBB2	autocrine	0.896604526632904
UBC	ERBB2	autocrine	0.894638972979551
TIMP1	CD63	autocrine	0.893911777384853
HSPA8	LDLR	autocrine	0.884469042251534
UBB	LDLR	autocrine	0.884397603216193
HSP90AA1	FGFR3	autocrine	0.879657221784919
HSP90B1	ERBB2	autocrine	0.867406220503044
HSP90AA1	ERBB2	autocrine	0.865125943484943
UBB	ERBB2	autocrine	0.859018154973863
AREG	ERBB3	autocrine	0.857552734300458
HLA-A	APLP2	autocrine	0.85632433057242
P4HB	MTTP	autocrine	0.854290522693949
APOE	LDLR	autocrine	0.853384028416719
APOA1	LRP1	autocrine	0.852493740457474
APOB	LDLR	autocrine	0.851560566376986
EFNA1	EPHA2	autocrine	0.851025380360767
GPC3	CD81	autocrine	0.850875307828008
UBA52	LDLR	autocrine	0.850825405863997
LAMB3	CD151	autocrine	0.850712599129752
APOB	LSR	autocrine	0.847166169657552
SPINT1	ST14	autocrine	0.846494312529214
LAMA3	ITGB1	autocrine	0.844728061209779
LAMC2	CD151	autocrine	0.842022345280035
CDH1	ERBB3	autocrine	0.840622590179357
APOC3	LDLR	autocrine	0.834506922735179
APOB	MTTP	autocrine	0.834364922448978
HSP90B1	LRP1	autocrine	0.833894824342678
RPS27A	TGFBR2	autocrine	0.833301323707282
UBC	TGFBR2	autocrine	0.830360058632165
APOA4	LDLR	autocrine	0.829541568783389
B2M	TFRC	autocrine	0.821904080844304
LRPAP1	LDLR	autocrine	0.821766410936591
UBA52	ERBB2	autocrine	0.819579096159277
COL1A1	ITGB1	autocrine	0.819029022724539
PTMA	VIPR1	autocrine	0.816865536840608
COL3A1	ITGB1	autocrine	0.816754490409179
MUC2	AGR2	autocrine	0.816629848323127
FN1	PLAUR	autocrine	0.816546949179232
CDH1	PTPRF	autocrine	0.816437217262912
LAMB3	ITGB1	autocrine	0.815546107775412
LGALS3BP	ITGB1	autocrine	0.814420922609295
SERPINA1	LRP1	autocrine	0.812910930802577
HLA-A	ERBB2	autocrine	0.809210578549918
COL1A2	ITGB1	autocrine	0.809109564357256
LAMB2	RPSA	autocrine	0.809035783181079
EDN1	EDNRB	autocrine	0.807473352826699
EREG	ERBB3	autocrine	0.807191110581951
LAMC2	ITGB1	autocrine	0.805277324618801
APOE	SORL1	autocrine	0.805084606634314
COL6A1	ITGB1	autocrine	0.803989447021287
RPS27A	SMAD3	autocrine	0.797724274353863
GNAS	VIPR1	autocrine	0.796201996739473
SHBG	CLDN4	autocrine	0.795399377541295
VEGFA	ITGB1	autocrine	0.794804938799167
LGALS1	ITGB1	autocrine	0.794336179682465
UBC	SMAD3	autocrine	0.794310227426734
MDK	ITGB1	autocrine	0.790759135325111
CALR	LRP1	autocrine	0.789797201004697
COL1A1	DDR1	autocrine	0.781231459379748
APOE	LRP1	autocrine	0.780583622076479
CALM1	INSR	autocrine	0.780561329175628
HSP90B1	ASGR1	autocrine	0.780306865361976
HLA-C	DDR1	autocrine	0.780040455934028
COL3A1	DDR1	autocrine	0.778610280546026
UBB	TGFBR2	autocrine	0.778390706096101
APOB	LRP1	autocrine	0.778090182324266
FN1	ITGB1	autocrine	0.773523167103727
MDK	TSPAN1	autocrine	0.772889223999535
LAMB3	ITGA6	autocrine	0.770726152901666
HSP90AA1	EGFR	autocrine	0.769700187366745
ACTR2	LDLR	autocrine	0.768143627133097
HSP90AA1	CFTR	autocrine	0.767285818233196
APOE	LRP5	autocrine	0.766674735062775
