Epithelial	Fibroblasts	interaction type	LRscore
APOA1	LRP1	autocrine|paracrine	0.892401533023439
GPC3	CD81	autocrine|paracrine	0.891368664202768
TIMP1	CD63	autocrine|paracrine	0.885629826854218
LAMA3	ITGB1	autocrine|paracrine	0.880759580980133
HSP90B1	LRP1	autocrine|paracrine	0.87811511208981
RPS27A	LDLR	autocrine|paracrine	0.87713643142393
UBC	LDLR	autocrine|paracrine	0.874852445099471
RPS27A	ERBB2	autocrine|paracrine	0.87230806045407
UBC	ERBB2	autocrine|paracrine	0.869947624863164
SERPINA1	LRP1	autocrine|paracrine	0.861791656814532
APOA1	LDLR	autocrine|paracrine	0.861112474472774
COL1A1	ITGB1	autocrine|paracrine	0.860036003304059
COL3A1	ITGB1	autocrine|paracrine	0.858187627676356
LAMB3	ITGB1	autocrine|paracrine	0.857204700640165
LGALS3BP	ITGB1	autocrine|paracrine	0.856288856743467
COL1A2	ITGB1	autocrine|paracrine	0.851957959709976
LAMC2	ITGB1	autocrine|paracrine	0.848825205230293
COL6A1	ITGB1	autocrine|paracrine	0.847770901832013
CALR	LRP1	autocrine|paracrine	0.84355465199032
VEGFA	ITGB1	autocrine|paracrine	0.840230198462439
LGALS1	ITGB1	autocrine|paracrine	0.839844300971351
HSP90B1	ERBB2	autocrine|paracrine	0.837492144505634
MDK	ITGB1	autocrine|paracrine	0.836896241611631
APOE	LRP1	autocrine|paracrine	0.83620870535245
HSP90AA1	ERBB2	autocrine|paracrine	0.834795401681989
APOB	LRP1	autocrine|paracrine	0.834213131799598
HSPA8	LDLR	autocrine|paracrine	0.833881813237919
UBB	LDLR	autocrine|paracrine	0.833784971874303
UBB	ERBB2	autocrine|paracrine	0.827587822018832
RPS27A	TGFBR2	autocrine|paracrine	0.825091468439428
FN1	ITGB1	autocrine|paracrine	0.822608195155065
UBC	TGFBR2	autocrine|paracrine	0.82203628321774
LAMA3	SDC2	autocrine|paracrine	0.820823983379957
RPS27A	FGFR2	autocrine|paracrine	0.819748180989332
UBC	FGFR2	autocrine|paracrine	0.816620406390698
APOC3	LRP1	autocrine|paracrine	0.815598078974424
CALM1	MYLK	autocrine|paracrine	0.812576938000802
APOA4	LRP1	autocrine|paracrine	0.810194432568585
LAMB3	CD151	autocrine|paracrine	0.809356148864302
COL1A1	DDR2	autocrine|paracrine	0.807946763211381
LAMB2	RPSA	autocrine|paracrine	0.807427832281653
RPS27A	SMAD3	autocrine|paracrine	0.807299718804012
PSAP	LRP1	autocrine|paracrine	0.805886821333621
HLA-A	APLP2	autocrine|paracrine	0.805624254970304
COL3A1	DDR2	autocrine|paracrine	0.805566009811805
MDK	LRP1	autocrine|paracrine	0.805063399194264
UBC	SMAD3	autocrine|paracrine	0.804007580620411
C3	CD81	autocrine|paracrine	0.803182394599904
LRPAP1	LRP1	autocrine|paracrine	0.801747694857399
RPS27A	TGFBR1	autocrine|paracrine	0.79933619010568
LAMC2	CD151	autocrine|paracrine	0.798827766629783
GPC3	LRP1	autocrine|paracrine	0.798776797296309
UBC	TGFBR1	autocrine|paracrine	0.795942390049431
CALM2	MYLK	autocrine|paracrine	0.792695366764611
APOE	LDLR	autocrine|paracrine	0.792380744930196
APOB	LDLR	autocrine|paracrine	0.789985298079255
FBLN1	ITGB1	autocrine|paracrine	0.789181707439042
HSPG2	ITGB1	autocrine|paracrine	0.789099125880802
UBA52	LDLR	autocrine|paracrine	0.789020735190248
COL6A2	ITGB1	autocrine|paracrine	0.787037742500216
APP	LRP1	autocrine|paracrine	0.786663671604471
FGB	ITGB1	autocrine|paracrine	0.78595860116983
TGM2	ITGB1	autocrine|paracrine	0.785277355670539
UBA52	ERBB2	autocrine|paracrine	0.781591786127258
COL2A1	ITGB1	autocrine|paracrine	0.780342714585301
AGRN	ITGB1	autocrine|paracrine	0.779428892558416
CTGF	LRP1	autocrine|paracrine	0.778101036763861
APOC3	SDC2	autocrine|paracrine	0.773147176738349
THBS1	ITGB1	autocrine|paracrine	0.773146513231335
SCT	RAMP2	autocrine|paracrine	0.770115232561207
HLA-A	ERBB2	autocrine|paracrine	0.769653757252538
LAMB1	ITGB1	autocrine|paracrine	0.769452716831428
UBB	TGFBR2	autocrine|paracrine	0.768228693073156
APOC3	LDLR	autocrine|paracrine	0.7677865665562
VIM	CD44	autocrine|paracrine	0.767106491851718
UBB	FGFR2	autocrine|paracrine	0.761650111523178
APOA4	LDLR	autocrine|paracrine	0.761391755211859
CALM3	MYLK	autocrine|paracrine	0.760050512919848
LAMB2	ITGB1	autocrine|paracrine	0.758262382118258
LUM	ITGB1	autocrine|paracrine	0.757744579072058
TIMP2	ITGB1	autocrine|paracrine	0.754223658866022
CYR61	CAV1	autocrine|paracrine	0.753781973956937
LRPAP1	LDLR	autocrine|paracrine	0.751439493133412
HSPG2	LRP1	autocrine|paracrine	0.750716413706986
APP	CAV1	autocrine|paracrine	0.749951430642805
VCAN	ITGB1	autocrine|paracrine	0.746561776145463
UBB	SMAD3	autocrine|paracrine	0.746430430978627
CALM1	PTPRA	autocrine|paracrine	0.745571117316927
COL5A2	ITGB1	autocrine|paracrine	0.743774873304875
LAMA5	ITGB1	autocrine|paracrine	0.742654974740642
FN1	SDC2	autocrine|paracrine	0.742005094535027
AGRN	LRP1	autocrine|paracrine	0.73986643017368
GNAI2	CAV1	autocrine|paracrine	0.739667867887085
B2M	TFRC	autocrine|paracrine	0.739237455093114
COL5A1	ITGB1	autocrine|paracrine	0.738397529695023
UBB	TGFBR1	autocrine|paracrine	0.736771618264433
GNAS	PTGIR	autocrine|paracrine	0.736464214254393
NPNT	ITGB1	autocrine|paracrine	0.736289689555207
TFPI	LRP1	autocrine|paracrine	0.73555741788896
CALR	ITGAV	autocrine|paracrine	0.734533799019789
APP	CD74	autocrine|paracrine	0.733944405740236
THBS1	LRP1	autocrine|paracrine	0.732843451616954
PDGFA	PDGFRA	autocrine|paracrine	0.732669927175243
VEGFA	GPC1	autocrine|paracrine	0.73171264709892
BMP2	BMPR2	autocrine|paracrine	0.729833534051905
VTN	ITGB1	autocrine|paracrine	0.729441891969616
ADM	RAMP2	autocrine|paracrine	0.729076305351768
CXCL12	ITGB1	autocrine|paracrine	0.728674702161725
MUC2	AGR2	autocrine|paracrine	0.727222315949946
LAMC1	ITGB1	autocrine|paracrine	0.723952633379922
UBA52	NOTCH1	autocrine|paracrine	0.723771275062654
ADAM9	ITGB1	autocrine|paracrine	0.723355168568429
HSP90AA1	FGFR3	autocrine|paracrine	0.72281894785845
HSP90B1	ASGR1	autocrine|paracrine	0.721947792697587
EDN1	EDNRA	autocrine|paracrine	0.720846399425809
VEGFA	NRP1	autocrine|paracrine	0.719898159310325
COL6A3	ITGB1	autocrine|paracrine	0.719399171312835
NECTIN2	NECTIN3	autocrine|paracrine	0.719361450494027
SPTAN1	PTPRA	autocrine|paracrine	0.718642475224783
COL1A1	ITGAV	autocrine|paracrine	0.71734962997842
COL16A1	ITGB1	autocrine|paracrine	0.715885733422854
BMP2	ENG	autocrine|paracrine	0.715088965581021
FGG	ITGB1	autocrine|paracrine	0.713074357722517
COL1A1	ITGA5	autocrine|paracrine	0.713035355981284
EREG	ERBB2	autocrine|paracrine	0.712008847718818
UBA52	TGFBR2	autocrine|paracrine	0.711909438254561
CALM1	INSR	autocrine|paracrine	0.711073971334094
CDH1	ITGAE	autocrine|paracrine	0.70996445621578
PDGFA	PDGFRB	autocrine|paracrine	0.707767552703898
GNAI2	F2R	autocrine|paracrine	0.707619533242355
RPS27A	RIPK1	autocrine|paracrine	0.705605962866944
GNAS	ADCY9	autocrine|paracrine	0.704935835663665
