Epithelial	Immune	interaction type	LRscore
RPS27A	LDLR	autocrine|paracrine	0.914118050990059
UBC	LDLR	autocrine|paracrine	0.912452921846643
APOA1	LDLR	autocrine|paracrine	0.902380476913802
VIM	CD44	autocrine|paracrine	0.899952737412586
APP	CD74	autocrine|paracrine	0.896946479301506
HSPA8	LDLR	autocrine|paracrine	0.88213344285117
UBB	LDLR	autocrine|paracrine	0.88206075216853
RPS19	C5AR1	autocrine|paracrine	0.876869674249862
TIMP1	CD63	autocrine|paracrine	0.869371538787286
B2M	TFRC	autocrine|paracrine	0.867219631317527
COL1A1	CD44	autocrine|paracrine	0.867086982668279
LGALS1	PTPRC	autocrine|paracrine	0.863007754772813
GPC3	CD81	autocrine|paracrine	0.861184787252037
COL1A2	CD44	autocrine|paracrine	0.859349334919596
B2M	CD3D	autocrine|paracrine	0.858655738742134
APOB	ITGB2	autocrine|paracrine	0.852793651170651
RPS27A	TGFBR2	autocrine|paracrine	0.851910473041401
APOE	LDLR	autocrine|paracrine	0.850526209686123
UBC	TGFBR2	autocrine|paracrine	0.84923814724494
APOB	LDLR	autocrine|paracrine	0.84867350758249
UBA52	LDLR	autocrine|paracrine	0.847926602077596
CEL	CXCR4	autocrine|paracrine	0.847452964484893
LAMA3	ITGB1	autocrine|paracrine	0.846681495474257
FN1	PLAUR	autocrine|paracrine	0.843760647398343
PKM	CD44	autocrine|paracrine	0.842682936279074
RPS27A	TLR4	autocrine|paracrine	0.83510611528125
RPS27A	ADRB2	autocrine|paracrine	0.834684723824166
UBC	TLR4	autocrine|paracrine	0.832190281565766
UBC	ADRB2	autocrine|paracrine	0.831762939754296
APOC3	LDLR	autocrine|paracrine	0.831353868450362
FN1	CD44	autocrine|paracrine	0.831174553409521
CD55	ADGRE5	autocrine|paracrine	0.830096647522317
B2M	CD247	autocrine|paracrine	0.828761820284595
B2M	LILRB2	autocrine|paracrine	0.828369337105493
APOA4	LDLR	autocrine|paracrine	0.826313601805805
HLA-A	APLP2	autocrine|paracrine	0.821654224152126
COL1A1	ITGB1	autocrine|paracrine	0.821237349720967
RPS27A	TGFBR1	autocrine|paracrine	0.820873807395141
COL3A1	ITGB1	autocrine|paracrine	0.818984438472068
LRPAP1	LDLR	autocrine|paracrine	0.818423434593578
