Epithelial	Neural	interaction type	LRscore
GPC3	CD81	autocrine|paracrine	0.889928208768036
TIMP1	CD63	autocrine|paracrine	0.88574603095864
RPS27A	TGFBR2	autocrine|paracrine	0.878957642319892
UBC	TGFBR2	autocrine|paracrine	0.87670275259065
LAMA3	ITGB1	autocrine|paracrine	0.868368704041437
EDN1	EDNRB	autocrine|paracrine	0.851766219272808
RPS27A	LDLR	autocrine|paracrine	0.851504756349126
UBC	LDLR	autocrine|paracrine	0.848826408438936
AREG	ERBB3	autocrine|paracrine	0.847866450257319
COL1A1	ITGB1	autocrine|paracrine	0.845868491911922
COL3A1	ITGB1	autocrine|paracrine	0.843866985098533
LAMB3	ITGB1	autocrine|paracrine	0.842802980699439
LGALS3BP	ITGB1	autocrine|paracrine	0.84181181429024
LAMB3	CD151	autocrine|paracrine	0.840631651514341
COL1A2	ITGB1	autocrine|paracrine	0.837127619299503
UBB	TGFBR2	autocrine|paracrine	0.836128728977933
RPS27A	ERBB2	autocrine|paracrine	0.835304180804025
LAMC2	ITGB1	autocrine|paracrine	0.833742279239606
APOA1	LDLR	autocrine|paracrine	0.8327752168688
COL6A1	ITGB1	autocrine|paracrine	0.832603530830535
UBC	ERBB2	autocrine|paracrine	0.832391146552707
LAMC2	CD151	autocrine|paracrine	0.831470822546377
CDH1	ERBB3	autocrine|paracrine	0.830013272984483
HLA-A	APLP2	autocrine|paracrine	0.829118941548811
RTN4	NGFR	autocrine|paracrine	0.827654621961365
APOA1	LRP1	autocrine|paracrine	0.827653975494679
COL1A1	ITGA1	autocrine|paracrine	0.825893084720581
VEGFA	ITGB1	autocrine|paracrine	0.824467070634883
APOB	LRP6	autocrine|paracrine	0.824052951083531
LGALS1	ITGB1	autocrine|paracrine	0.824051072666761
MDK	ITGB1	autocrine|paracrine	0.820874304706148
RPS27A	TGFBR1	autocrine|paracrine	0.818931053158554
LAMB2	RPSA	autocrine|paracrine	0.818160216394549
COL1A2	ITGA1	autocrine|paracrine	0.816265460440261
UBC	TGFBR1	autocrine|paracrine	0.815792285754477
VIM	CD44	autocrine|paracrine	0.815063467623872
CDH1	CDH2	autocrine|paracrine	0.813679192069318
COL6A1	ITGA1	autocrine|paracrine	0.811292515269653
HSP90B1	LRP1	autocrine|paracrine	0.806633457743529
MDK	PTPRZ1	autocrine|paracrine	0.805979334338233
FN1	ITGB1	autocrine|paracrine	0.805508897148399
CALM1	PTPRA	autocrine|paracrine	0.802677694301226
HSPA8	LDLR	autocrine|paracrine	0.801270872785091
UBB	LDLR	autocrine|paracrine	0.801159553555507
C3	CD81	autocrine|paracrine	0.800833864629389
UBA52	NOTCH1	autocrine|paracrine	0.799738674154781
VEGFA	GPC1	autocrine|paracrine	0.795359138126993
EREG	ERBB3	autocrine|paracrine	0.794899329523524
HSP90B1	ERBB2	autocrine|paracrine	0.792795525723201
UBA52	TGFBR2	autocrine|paracrine	0.791838114657334
LAMA3	SDC2	autocrine|paracrine	0.790738632078525
HSP90AA1	ERBB2	autocrine|paracrine	0.789543452692083
COL1A1	DDR2	autocrine|paracrine	0.788912197445517
COL3A1	DDR2	autocrine|paracrine	0.786357879053738
COL1A1	DDR1	autocrine|paracrine	0.785582157383479
