Epithelial	Pericytes	interaction type	LRscore
GPC3	CD81	autocrine|paracrine	0.896813998499843
LAMA3	ITGB1	autocrine|paracrine	0.893266078705614
TIMP1	CD63	autocrine|paracrine	0.892125733258675
RPS27A	LDLR	autocrine|paracrine	0.88669372432728
UBC	LDLR	autocrine|paracrine	0.884564022516126
LAMA3	SDC2	autocrine|paracrine	0.877534051118932
COL1A1	ITGB1	autocrine|paracrine	0.874406140243432
COL3A1	ITGB1	autocrine|paracrine	0.872719452408749
LAMB3	ITGB1	autocrine|paracrine	0.871822204250453
APOA1	LDLR	autocrine|paracrine	0.871733961978551
LGALS3BP	ITGB1	autocrine|paracrine	0.870986002203806
CALM1	MYLK	autocrine|paracrine	0.870468524612134
CYR61	CAV1	autocrine|paracrine	0.868339277494342
RTN4	LINGO1	autocrine|paracrine	0.86726324960247
COL1A2	ITGB1	autocrine|paracrine	0.867029241124765
APP	CAV1	autocrine|paracrine	0.865974073964688
LAMC2	ITGB1	autocrine|paracrine	0.864164564318616
LAMB3	CD151	autocrine|paracrine	0.863616926275848
COL6A1	ITGB1	autocrine|paracrine	0.863199997710709
GNAI2	CAV1	autocrine|paracrine	0.85956859173651
APOA1	LRP1	autocrine|paracrine	0.859180918014939
COL1A1	ITGA1	autocrine|paracrine	0.858337165569672
VEGFA	ITGB1	autocrine|paracrine	0.856294024105478
LGALS1	ITGB1	autocrine|paracrine	0.855940273844105
CALM2	MYLK	autocrine|paracrine	0.855636985672591
LAMC2	CD151	autocrine|paracrine	0.855550304152232
GNAS	PTGIR	autocrine|paracrine	0.854698585185111
MDK	ITGB1	autocrine|paracrine	0.853236724294076
RPS27A	TGFBR2	autocrine|paracrine	0.853045869642754
UBC	TGFBR2	autocrine|paracrine	0.850390434323514
COL1A2	ITGA1	autocrine|paracrine	0.85017815378224
RPS27A	ERBB2	autocrine|paracrine	0.848000864820691
HSPA8	LDLR	autocrine|paracrine	0.846213868342798
UBB	LDLR	autocrine|paracrine	0.846122889529521
COL6A1	ITGA1	autocrine|paracrine	0.845949859911889
UBC	ERBB2	autocrine|paracrine	0.845270802577225
APOC3	SDC2	autocrine|paracrine	0.842043324072833
HSP90B1	LRP1	autocrine|paracrine	0.84126818386955
EDN1	EDNRA	autocrine|paracrine	0.840459850199017
FN1	ITGB1	autocrine|paracrine	0.840106635451971
PSEN1	NOTCH3	autocrine|paracrine	0.834134295825444
RPS27A	ADRB2	autocrine|paracrine	0.831499866888926
CALM3	MYLK	autocrine|paracrine	0.83078795809159
UBC	ADRB2	autocrine|paracrine	0.828533356933246
SERPINA1	LRP1	autocrine|paracrine	0.821015832049172
FN1	SDC2	autocrine|paracrine	0.81813444398086
LAMB2	RPSA	autocrine|paracrine	0.817545847614113
HLA-A	APLP2	autocrine|paracrine	0.815318879557888
UBA52	NOTCH1	autocrine|paracrine	0.814008170317179
JAG1	NOTCH3	autocrine|paracrine	0.812750455761516
C3	CD81	autocrine|paracrine	0.812116463692807
PDGFA	PDGFRB	autocrine|paracrine	0.810167196880909
FBLN1	ITGB1	autocrine|paracrine	0.809212694550848
HSPG2	ITGB1	autocrine|paracrine	0.80913606182899
COL1A1	DDR2	autocrine|paracrine	0.808345087808271
HSP90B1	ERBB2	autocrine|paracrine	0.808016083788636
COL6A2	ITGB1	autocrine|paracrine	0.807222678145798
APOE	LDLR	autocrine|paracrine	0.807080931653573
FGB	ITGB1	autocrine|paracrine	0.806220636282175
COL3A1	DDR2	autocrine|paracrine	0.805968086343647
TGM2	ITGB1	autocrine|paracrine	0.805587928368422
HSP90AA1	ERBB2	autocrine|paracrine	0.8049441227416
APOB	LDLR	autocrine|paracrine	0.804813312017281
UBA52	LDLR	autocrine|paracrine	0.803899946464109
UBB	TGFBR2	autocrine|paracrine	0.803102340875229
COL2A1	ITGB1	autocrine|paracrine	0.801001770004917
AGRN	ITGB1	autocrine|paracrine	0.800151883066862
MFGE8	PDGFRB	autocrine|paracrine	0.798862701530417
CALR	LRP1	autocrine|paracrine	0.798655405696665
UBB	ERBB2	autocrine|paracrine	0.796751272154693
THBS1	ITGB1	autocrine|paracrine	0.794303975135795
PDAP1	PDGFRB	autocrine|paracrine	0.792947305292375
ICAM1	CAV1	autocrine|paracrine	0.792086911646047
LAMB1	ITGB1	autocrine|paracrine	0.790861491489426
RPS27A	TGFBR1	autocrine|paracrine	0.790188660083723
APOE	LRP1	autocrine|paracrine	0.789726726053102
APOB	LRP1	autocrine|paracrine	0.787308877318861
UBC	TGFBR1	autocrine|paracrine	0.786681436736149
COL6A2	ITGA1	autocrine|paracrine	0.784674708651573
APOC3	LDLR	autocrine|paracrine	0.783752879053989
RPS27A	SMAD3	autocrine|paracrine	0.780574000538519
LAMB2	ITGB1	autocrine|paracrine	0.780413748621882
LUM	ITGB1	autocrine|paracrine	0.779929622980444
CALR	ITGAV	autocrine|paracrine	0.778644042447734
COL2A1	ITGA1	autocrine|paracrine	0.777926354003084
APOA4	LDLR	autocrine|paracrine	0.777670434628096
UBC	SMAD3	autocrine|paracrine	0.776951424447598
TIMP2	ITGB1	autocrine|paracrine	0.776636092519486
HSPA8	ADRB2	autocrine|paracrine	0.776276658905469
UBB	ADRB2	autocrine|paracrine	0.776155250278667
AGT	ENPEP	autocrine|paracrine	0.775070468827178
