Fibroblasts	Endothelial	interaction type	LRscore
COL1A1	CD93	autocrine|paracrine	0.947870768382772
COL1A1	ITGB1	autocrine|paracrine	0.94729659638021
COL1A2	CD93	autocrine|paracrine	0.944990872479646
COL1A2	ITGB1	autocrine|paracrine	0.944386841246763
COL3A1	ITGB1	autocrine|paracrine	0.943787890382558
COL1A1	CD36	autocrine|paracrine	0.938117362690918
RPS27A	TGFBR2	autocrine|paracrine	0.935168035044904
COL1A2	CD36	autocrine|paracrine	0.93473573715749
COL1A1	ITGA5	autocrine|paracrine	0.933379736802716
COL6A2	ITGB1	autocrine|paracrine	0.930865645033662
RPS27A	LDLR	autocrine|paracrine	0.930771967549566
MDK	ITGB1	autocrine|paracrine	0.929280630222099
LGALS1	ITGB1	autocrine|paracrine	0.925105811612328
UBC	TGFBR2	autocrine|paracrine	0.921797178247989
COL6A1	ITGB1	autocrine|paracrine	0.921242218112834
FBLN1	ITGB1	autocrine|paracrine	0.920122542863349
HMGB1	THBD	autocrine|paracrine	0.92011240117839
MDK	ITGA6	autocrine|paracrine	0.919496943070846
LUM	ITGB1	autocrine|paracrine	0.918264368278871
CYR61	CAV1	autocrine|paracrine	0.918064361774677
UBC	LDLR	autocrine|paracrine	0.916575351362584
GPC3	CD81	autocrine|paracrine	0.91276852720259
COL5A1	ITGB1	autocrine|paracrine	0.91255926012236
COL1A1	ITGA2	autocrine|paracrine	0.911602743851643
UBB	TGFBR2	autocrine|paracrine	0.911172822494987
COL6A1	ITGA6	autocrine|paracrine	0.910453615743958
VCAN	ITGB1	autocrine|paracrine	0.909009142461975
TIMP1	CD63	autocrine|paracrine	0.908536221937362
FN1	ITGB1	autocrine|paracrine	0.908006937778125
COL1A2	ITGA2	autocrine|paracrine	0.906915973341606
COL5A2	ITGB1	autocrine|paracrine	0.90634256777982
COL1A1	FLT4	autocrine|paracrine	0.906132289821171
COL3A1	ITGA2	autocrine|paracrine	0.905953651431944
CXCL12	ITGB1	autocrine|paracrine	0.905911639433772
UBB	LDLR	autocrine|paracrine	0.905314447252737
HSPA8	LDLR	autocrine|paracrine	0.904493009811467
COL1A2	FLT4	autocrine|paracrine	0.901186917939486
COL1A1	ITGA1	autocrine|paracrine	0.898522978997006
COL6A3	ITGB1	autocrine|paracrine	0.895861194575927
FN1	ITGA6	autocrine|paracrine	0.895610746829253
COL1A2	ITGA1	autocrine|paracrine	0.893223954543126
APOA1	LDLR	autocrine|paracrine	0.893082656868896
APP	CAV1	autocrine|paracrine	0.889773490352143
GNAI2	CAV1	autocrine|paracrine	0.88926851908215
FN1	ROBO4	autocrine|paracrine	0.889124368298857
COL6A2	ITGA2	autocrine|paracrine	0.885390119714656
FN1	ITGA5	autocrine|paracrine	0.884975009659751
UBA52	TGFBR2	autocrine|paracrine	0.884903634886098
COL16A1	ITGB1	autocrine|paracrine	0.884889211777814
FBN1	ITGB1	autocrine|paracrine	0.881552807592684
MFAP2	NOTCH1	autocrine|paracrine	0.878365699698508
UBA52	LDLR	autocrine|paracrine	0.877545577638317
COL1A1	ITGAV	autocrine|paracrine	0.876678994165397
NID1	ITGB1	autocrine|paracrine	0.875827468145398
THBS2	ITGB1	autocrine|paracrine	0.872505220833689
UBA52	NOTCH1	autocrine|paracrine	0.871487681428438
LAMB1	ITGB1	autocrine|paracrine	0.870859739784951
COL1A2	ITGAV	autocrine|paracrine	0.870403821213598
COL6A1	ITGA2	autocrine|paracrine	0.87031841977302
COL6A2	ITGA1	autocrine|paracrine	0.868989192640468
CYR61	ITGA5	autocrine|paracrine	0.867557478080632
TIMP2	ITGB1	autocrine|paracrine	0.867408898496284
THBS1	ITGB1	autocrine|paracrine	0.86345545197083
COL4A2	CD93	autocrine|paracrine	0.863432527993156
RPS27A	SMAD3	autocrine|paracrine	0.859168821484601
THBS2	ITGA6	autocrine|paracrine	0.856083360937429
LAMB1	ITGA6	autocrine|paracrine	0.854261337203766
COL4A1	CD93	autocrine|paracrine	0.853859471868926
THBS2	NOTCH4	autocrine|paracrine	0.853199624661321
FBN1	ITGA5	autocrine|paracrine	0.852970136555873
COL4A1	ITGB1	autocrine|paracrine	0.852411052059142
THBS2	CD36	autocrine|paracrine	0.85233034180002
COL6A1	ITGA1	autocrine|paracrine	0.85212092975335
VEGFA	ITGB1	autocrine|paracrine	0.851437936051111
FN1	ITGA2	autocrine|paracrine	0.849919526655063
THBS1	ITGA6	autocrine|paracrine	0.846073586402573
RPS27A	TGFBR1	autocrine|paracrine	0.844891621384284
APP	CD74	autocrine|paracrine	0.844612610763846
VEGFA	FLT1	autocrine|paracrine	0.844379599091807
THBS1	CD36	autocrine|paracrine	0.84210767872645
FN1	FLT4	autocrine|paracrine	0.841296371740821
PTN	PLXNB2	autocrine|paracrine	0.840643034898163
VEGFA	NRP1	autocrine|paracrine	0.839337068604908
APOE	LDLR	autocrine|paracrine	0.839186545488811
COL5A1	ITGA1	autocrine|paracrine	0.837164407742657
UBC	SMAD3	autocrine|paracrine	0.832924278559736
TNC	ITGB1	autocrine|paracrine	0.83218174035294
BSG	SELE	autocrine|paracrine	0.831840905997855
CALR	SCARF1	autocrine|paracrine	0.831577358509501
COL6A3	ITGA2	autocrine|paracrine	0.831527520149609
VEGFA	KDR	autocrine|paracrine	0.831517014114633
SEMA4A	PLXND1	autocrine|paracrine	0.830994112183048
