Fibroblasts	Fibroblasts	interaction type	LRscore
COL1A1	ITGB1	autocrine	0.93718399598245
COL1A2	ITGB1	autocrine	0.933754967569136
COL3A1	ITGB1	autocrine	0.933049629549853
COL6A2	ITGB1	autocrine	0.917873641408739
MDK	ITGB1	autocrine	0.916017637323818
GPC3	CD81	autocrine	0.912879450594311
LGALS1	ITGB1	autocrine	0.911134729690239
COL1A1	DDR2	autocrine	0.910829404465618
TIMP1	CD63	autocrine	0.910513749761275
COL6A1	ITGB1	autocrine	0.906623152964623
FBLN1	ITGB1	autocrine	0.905317003689445
COL3A1	DDR2	autocrine	0.905136034088662
LUM	ITGB1	autocrine	0.903150663032972
MDK	LRP1	autocrine	0.897740000937441
COL5A1	ITGB1	autocrine	0.896509518394526
VCAN	ITGB1	autocrine	0.89238462093232
FN1	ITGB1	autocrine	0.89122122012291
COL5A2	ITGB1	autocrine	0.889290185291007
CXCL12	ITGB1	autocrine	0.888790424170172
RPS27A	LDLR	autocrine	0.885917108546878
RPS27A	ERBB2	autocrine	0.88138714350498
COL6A3	ITGB1	autocrine	0.877159098503774
HSP90B1	LRP1	autocrine	0.867396525698735
APOA1	LRP1	autocrine	0.865839397620776
COL16A1	ITGB1	autocrine	0.864514676222128
UBC	LDLR	autocrine	0.863867428200948
FBN1	ITGB1	autocrine	0.860680707036055
COL1A1	ITGAV	autocrine	0.860378038486731
UBC	ERBB2	autocrine	0.85860166416026
COL1A1	ITGA5	autocrine	0.857814179966226
HSP90AA1	ERBB2	autocrine	0.857632738520866
NID1	ITGB1	autocrine	0.854113439254292
COL1A2	ITGAV	autocrine	0.853412088085613
COL1A1	CD44	autocrine	0.85294267825771
THBS2	ITGB1	autocrine	0.850309525007385
LAMB1	ITGB1	autocrine	0.848427345266669
CALR	LRP1	autocrine	0.848244339352777
UBB	LDLR	autocrine	0.846681944087557
COL1A2	CD44	autocrine	0.845672306574785
HSPA8	LDLR	autocrine	0.845438686892403
TIMP2	ITGB1	autocrine	0.844484118084846
UBB	ERBB2	autocrine	0.840873874880789
THBS1	ITGB1	autocrine	0.839973233153518
VIM	CD44	autocrine	0.838298181546838
RPS27A	TGFBR2	autocrine	0.836900012707668
FN1	SDC2	autocrine	0.835562353732309
PTN	PLXNB2	autocrine	0.835509551855618
