Fibroblasts	Immune	interaction type	LRscore
COL1A1	CD44	autocrine|paracrine	0.940616835454969
COL1A2	CD44	autocrine|paracrine	0.937362675870348
VIM	CD44	autocrine|paracrine	0.934027942063037
LGALS1	PTPRC	autocrine|paracrine	0.924909279797411
RPS27A	LDLR	autocrine|paracrine	0.920495327887292
COL1A1	ITGB1	autocrine|paracrine	0.917725260336746
COL1A2	ITGB1	autocrine|paracrine	0.913332240563909
COL3A1	ITGB1	autocrine|paracrine	0.912429846386818
APP	CD74	autocrine|paracrine	0.90518789148651
FN1	PLAUR	autocrine|paracrine	0.905135661123023
UBC	LDLR	autocrine|paracrine	0.90440771571245
COL1A1	CD36	autocrine|paracrine	0.903043702060155
VCAN	CD44	autocrine|paracrine	0.897999245914811
COL1A2	CD36	autocrine|paracrine	0.897953934667193
TIMP1	CD63	autocrine|paracrine	0.897382963032302
FN1	CD44	autocrine|paracrine	0.896889529934888
COL6A2	ITGB1	autocrine|paracrine	0.893115290263583
UBB	LDLR	autocrine|paracrine	0.891698455338837
COL1A1	CD93	autocrine|paracrine	0.890883926760938
HSPA8	LDLR	autocrine|paracrine	0.890773145187077
MDK	ITGB1	autocrine|paracrine	0.89076635033791
GPC3	CD81	autocrine|paracrine	0.887920951688099
CXCL12	CXCR4	autocrine|paracrine	0.887736536169199
COL1A2	CD93	autocrine|paracrine	0.88523694852564
LGALS1	ITGB1	autocrine|paracrine	0.884600239646557
LGALS1	CD69	autocrine|paracrine	0.883232942583893
B2M	TFRC	autocrine|paracrine	0.882456455342077
RPS19	C5AR1	autocrine|paracrine	0.88015966198059
COL14A1	CD44	autocrine|paracrine	0.879891873089716
COL6A1	ITGB1	autocrine|paracrine	0.878920557848497
SPON2	ITGB2	autocrine|paracrine	0.878451262985976
APOA1	LDLR	autocrine|paracrine	0.87794485050368
FBLN1	ITGB1	autocrine|paracrine	0.877279358811672
B2M	CD3D	autocrine|paracrine	0.874733336370075
LUM	ITGB1	autocrine|paracrine	0.874560404070057
COL5A1	ITGB1	autocrine|paracrine	0.866249106566312
CYR61	ITGB2	autocrine|paracrine	0.866021327592836
RPS27A	TGFBR2	autocrine|paracrine	0.862210766099154
VCAN	ITGB1	autocrine|paracrine	0.861104958580071
UBA52	LDLR	autocrine|paracrine	0.860551450360219
FN1	ITGB1	autocrine|paracrine	0.859656582852914
COL5A2	ITGB1	autocrine|paracrine	0.857254961814264
CXCL12	ITGB1	autocrine|paracrine	0.856633902248406
COL1A1	ITGA5	autocrine|paracrine	0.848954227689491
PKM	CD44	autocrine|paracrine	0.848918847200219
B2M	CD247	autocrine|paracrine	0.847636409254073
RPS27A	TLR4	autocrine|paracrine	0.846364439501873
RPS27A	ADRB2	autocrine|paracrine	0.845966512295536
FN1	C5AR1	autocrine|paracrine	0.84246320731814
COL6A3	ITGB1	autocrine|paracrine	0.842236335617076
UBC	TGFBR2	autocrine|paracrine	0.836425176815837
MDK	ITGA4	autocrine|paracrine	0.833945953377201
PLAT	ITGB2	autocrine|paracrine	0.833677522927003
RPS27A	TGFBR1	autocrine|paracrine	0.832909432996325
COL16A1	ITGB1	autocrine|paracrine	0.826707373786211
LAMB2	RPSA	autocrine|paracrine	0.825860308278419
FN1	ITGB7	autocrine|paracrine	0.823135804595089
FBN1	ITGB1	autocrine|paracrine	0.822023784931312
B2M	KLRC1	autocrine|paracrine	0.82186988584755
CTGF	ITGB2	autocrine|paracrine	0.821523813059689
MDK	LRP1	autocrine|paracrine	0.818288122837597
UBC	TLR4	autocrine|paracrine	0.818238543849368
APOE	LDLR	autocrine|paracrine	0.817973207492599
PTN	PLXNB2	autocrine|paracrine	0.817898759372087
UBC	ADRB2	autocrine|paracrine	0.817783452244885
UBB	TGFBR2	autocrine|paracrine	0.816511198578846
COL1A1	ITGAV	autocrine|paracrine	0.816293836661944
NID1	ITGB1	autocrine|paracrine	0.814028034386116
HSPA1A	TLR4	autocrine|paracrine	0.813342413655128
COL1A1	ITGA1	autocrine|paracrine	0.813127998267206
RPS27A	ERBB2	autocrine|paracrine	0.809800475843923
THBS2	ITGB1	autocrine|paracrine	0.809412142961584
COL1A2	ITGAV	autocrine|paracrine	0.807620248862462
CALM1	MYLK	autocrine|paracrine	0.807393971837809
LAMB1	ITGB1	autocrine|paracrine	0.807132366525631
VCAN	SELL	autocrine|paracrine	0.804665209488657
COL1A2	ITGA1	autocrine|paracrine	0.804340764701557
UBC	TGFBR1	autocrine|paracrine	0.802893985943067
TIMP2	ITGB1	autocrine|paracrine	0.802365084676455
CALM2	MYLK	autocrine|paracrine	0.801287448269006
LRPAP1	LDLR	autocrine|paracrine	0.800704452590523
THBS1	ITGB1	autocrine|paracrine	0.79692628108633
UBB	TLR4	autocrine|paracrine	0.796648769360506
UBB	ADRB2	autocrine|paracrine	0.796153088555683
HMGB1	TLR4	autocrine|paracrine	0.795161232367624
HSPA8	ADRB2	autocrine|paracrine	0.794599492965567
CYR61	CAV1	autocrine|paracrine	0.793853537278398
CALM1	ABCA1	autocrine|paracrine	0.793309432778541
VCAN	ITGA4	autocrine|paracrine	0.792450492393755
FN1	ITGA4	autocrine|paracrine	0.790460408736636
MDK	ITGA6	autocrine|paracrine	0.788768661703839
CALM2	ABCA1	autocrine|paracrine	0.786874236386463
APOC3	LDLR	autocrine|paracrine	0.783296297597601
COL4A1	ITGB1	autocrine|paracrine	0.781860158629377
HLA-A	APLP2	autocrine|paracrine	0.781155208859482
GNAS	ADCY7	autocrine|paracrine	0.781005255119587
VEGFA	ITGB1	autocrine|paracrine	0.780541632171952
B2M	CD3G	autocrine|paracrine	0.78016860389052
THBS2	CD36	autocrine|paracrine	0.780035219786602
UBB	TGFBR1	autocrine|paracrine	0.779971688812106
VCAM1	EZR	autocrine|paracrine	0.778389467778048
UBC	ERBB2	autocrine|paracrine	0.776746521588726
GNAS	PTGIR	autocrine|paracrine	0.776392583634958
HSP90B1	TLR4	autocrine|paracrine	0.776233887465273
HSP90AA1	ERBB2	autocrine|paracrine	0.775363438244169
HLA-E	KLRC1	autocrine|paracrine	0.775197689645213
THBS2	CD47	autocrine|paracrine	0.774291535852598
HSP90B1	LRP1	autocrine|paracrine	0.770398584812878
CALM3	MYLK	autocrine|paracrine	0.770105251731913
UBA52	TGFBR2	autocrine|paracrine	0.769334292533598
COL6A1	ITGA6	autocrine|paracrine	0.768733528802204
RPS27A	SMAD3	autocrine|paracrine	0.768244077359919
APOA1	LRP1	autocrine|paracrine	0.768007076625976
THBS1	CD36	autocrine|paracrine	0.76618076173232
B2M	LILRB1	autocrine|paracrine	0.765994130377417
GNAI2	C5AR1	autocrine|paracrine	0.765442182515222
COL6A2	ITGA1	autocrine|paracrine	0.765234576456401
RPS27A	RIPK1	autocrine|paracrine	0.763829261046553
ACTR2	LDLR	autocrine|paracrine	0.76344361240001
HLA-B	CANX	autocrine|paracrine	0.763197106694349
ARPC5	LDLR	autocrine|paracrine	0.762752214359759
CALM1	SELL	autocrine|paracrine	0.762243978767548
CXCL12	CD4	autocrine|paracrine	0.762239708729391
THBS1	CD47	autocrine|paracrine	0.760186533350996
FN1	ITGA5	autocrine|paracrine	0.755290196194673
CALM2	SELL	autocrine|paracrine	0.755140110719505
TNC	ITGB1	autocrine|paracrine	0.754743060746671
VCAM1	ITGB2	autocrine|paracrine	0.754294723482997
CALM3	ABCA1	autocrine|paracrine	0.754124318359078
MDK	SDC3	autocrine|paracrine	0.753503144400177
HLA-B	CD3D	autocrine|paracrine	0.753365312130981
MDK	SDC4	autocrine|paracrine	0.75239371907671
FN1	SDC2	autocrine|paracrine	0.752057853368359
UBB	ERBB2	autocrine|paracrine	0.751723721158576
MMP2	SDC2	autocrine|paracrine	0.750351465057841
HSPG2	ITGB1	autocrine|paracrine	0.749888581259077
UBA52	TLR4	autocrine|paracrine	0.745953945227109
B2M	HLA-F	autocrine|paracrine	0.745581816284077
UBA52	ADRB2	autocrine|paracrine	0.745374188873733
LGALS3BP	ITGB1	autocrine|paracrine	0.743983759670706
COL4A1	CD47	autocrine|paracrine	0.743272761339604
CALR	LRP1	autocrine|paracrine	0.741413309866878
HLA-A	CD3D	autocrine|paracrine	0.741195366884462
VCAN	TLR2	autocrine|paracrine	0.740777467271084
COL4A2	CD93	autocrine|paracrine	0.739506774569261
CXCL12	CXCR3	autocrine|paracrine	0.739355529458683
COL6A1	ITGA1	autocrine|paracrine	0.739019447038985
LAMA4	ITGB1	autocrine|paracrine	0.738809653483751
CD99	PILRA	autocrine|paracrine	0.738033289630416
ICAM1	ITGB2	autocrine|paracrine	0.738001591876257
FN1	ITGA6	autocrine|paracrine	0.737180781480641
HSP90B1	TLR2	autocrine|paracrine	0.736892544066229
APP	CAV1	autocrine|paracrine	0.735052088744206
GNAI2	CAV1	autocrine|paracrine	0.734050166686539
LAMB2	ITGB1	autocrine|paracrine	0.73211090475054
RARRES2	CCRL2	autocrine|paracrine	0.732091011191006
UBC	SMAD3	autocrine|paracrine	0.730372786934016
HSP90B1	ERBB2	autocrine|paracrine	0.728336700972858
