Fibroblasts	Muscle	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.944858770203125
COL1A2	ITGB1	autocrine|paracrine	0.941822688538972
COL3A1	ITGB1	autocrine|paracrine	0.941197841376542
COL6A2	ITGB1	autocrine|paracrine	0.927725781914566
MDK	ITGB1	autocrine|paracrine	0.926074497615719
CALM1	MYLK	autocrine|paracrine	0.924846326189514
CALM2	MYLK	autocrine|paracrine	0.922104334706908
LGALS1	ITGB1	autocrine|paracrine	0.921726351715401
COL1A1	ITGA1	autocrine|paracrine	0.920367545428021
COL6A1	ITGB1	autocrine|paracrine	0.917703929603265
FBLN1	ITGB1	autocrine|paracrine	0.916538508853978
COL1A2	ITGA1	autocrine|paracrine	0.916102711505849
LUM	ITGB1	autocrine|paracrine	0.914604697438913
GPC3	CD81	autocrine|paracrine	0.912236061340969
CYR61	CAV1	autocrine|paracrine	0.909033203319854
COL5A1	ITGB1	autocrine|paracrine	0.908669552354766
COL1A1	CD44	autocrine|paracrine	0.908383752892535
CALM3	MYLK	autocrine|paracrine	0.907696939115646
VCAN	ITGB1	autocrine|paracrine	0.904977955573487
COL1A1	DDR2	autocrine|paracrine	0.904257792045813
TIMP1	CD63	autocrine|paracrine	0.903945439366647
FN1	ITGB1	autocrine|paracrine	0.903936042286055
COL1A2	CD44	autocrine|paracrine	0.903544371665347
COL5A2	ITGB1	autocrine|paracrine	0.902205952714
CXCL12	ITGB1	autocrine|paracrine	0.901758054401313
VIM	CD44	autocrine|paracrine	0.898603950140286
COL3A1	DDR2	autocrine|paracrine	0.898191736131402
COL6A2	ITGA1	autocrine|paracrine	0.896458762803001
RPS27A	ERBB2	autocrine|paracrine	0.891816295441276
COL6A3	ITGB1	autocrine|paracrine	0.891317155767911
COL1A1	ITGA5	autocrine|paracrine	0.889573843219082
MDK	LRP1	autocrine|paracrine	0.886530879050945
COL6A1	ITGA1	autocrine|paracrine	0.882649714766042
COL16A1	ITGB1	autocrine|paracrine	0.879930582795217
APP	CAV1	autocrine|paracrine	0.878038293280168
GNAI2	CAV1	autocrine|paracrine	0.877486962978797
FBN1	ITGB1	autocrine|paracrine	0.876470519747718
RPS27A	TGFBR1	autocrine|paracrine	0.871384649216597
UBC	ERBB2	autocrine|paracrine	0.870740438510712
NID1	ITGB1	autocrine|paracrine	0.870535597186766
COL5A1	ITGA1	autocrine|paracrine	0.870310948326163
HSP90AA1	ERBB2	autocrine|paracrine	0.869842083710638
COL1A1	DDR1	autocrine|paracrine	0.869533606629761
RPS27A	FGFR2	autocrine|paracrine	0.868775165139388
THBS2	ITGB1	autocrine|paracrine	0.867093250823852
LAMB1	ITGB1	autocrine|paracrine	0.865388697763302
RPS27A	LDLR	autocrine|paracrine	0.864936321461602
TIMP2	ITGB1	autocrine|paracrine	0.861814858969959
COL3A1	DDR1	autocrine|paracrine	0.861604205607949
COL5A2	ITGA1	autocrine|paracrine	0.861546287718578
THBS1	ITGB1	autocrine|paracrine	0.857721974958481
MDK	SDC3	autocrine|paracrine	0.854961793349002
UBB	ERBB2	autocrine|paracrine	0.854276246134002
HSP90B1	LRP1	autocrine|paracrine	0.853404462676972
APOA1	LRP1	autocrine|paracrine	0.851711118821781
UBC	TGFBR1	autocrine|paracrine	0.847011219350487
COL6A3	ITGA1	autocrine|paracrine	0.846898528370051
VCAN	CD44	autocrine|paracrine	0.846410656830416
COL4A1	ITGB1	autocrine|paracrine	0.846296375462351
VEGFA	ITGB1	autocrine|paracrine	0.845290260153369
FN1	CD44	autocrine|paracrine	0.844836661867268
UBC	FGFR2	autocrine|paracrine	0.843995754349791
RPS27A	TGFBR2	autocrine|paracrine	0.842945725465986
COL1A1	ITGAV	autocrine|paracrine	0.840493137573355
UBC	LDLR	autocrine|paracrine	0.839565879512193
HSP90B1	ERBB2	autocrine|paracrine	0.838473692984086
PTN	PLXNB2	autocrine|paracrine	0.835485156960182
COL1A2	ITGAV	autocrine|paracrine	0.832727978060562
CALR	LRP1	autocrine|paracrine	0.832621341323286
LAMB2	RPSA	autocrine|paracrine	0.829487724850995
UBB	TGFBR1	autocrine|paracrine	0.8281211784681
TNC	ITGB1	autocrine|paracrine	0.82540062424738
UBB	FGFR2	autocrine|paracrine	0.824810393769705
COL5A1	SDC3	autocrine|paracrine	0.823996157045064
HSPG2	ITGB1	autocrine|paracrine	0.821614148133447
COL14A1	CD44	autocrine|paracrine	0.820970976953662
VEGFA	NRP2	autocrine|paracrine	0.820831843625828
UBB	LDLR	autocrine|paracrine	0.819951952040686
GPC3	LRP1	autocrine|paracrine	0.818557219800677
HSPA8	LDLR	autocrine|paracrine	0.81853839599024
LGALS3BP	ITGB1	autocrine|paracrine	0.816989415379219
FN1	ITGA5	autocrine|paracrine	0.815627883947909
UBA52	ERBB2	autocrine|paracrine	0.8146044442996
UBC	TGFBR2	autocrine|paracrine	0.814331265813231
PTN	SDC3	autocrine|paracrine	0.813990703663074
ICAM1	CAV1	autocrine|paracrine	0.813249689431381
LAMA4	ITGB1	autocrine|paracrine	0.812919745877895
LAMB1	ITGA1	autocrine|paracrine	0.812601123595231
FN1	ITGA9	autocrine|paracrine	0.81191053329152
RPS27A	SMAD3	autocrine|paracrine	0.808883931708829
LAMB2	ITGB1	autocrine|paracrine	0.807626788974267
AGRN	ITGB1	autocrine|paracrine	0.802863779436871
COL18A1	ITGB1	autocrine|paracrine	0.802339161029231
APOA1	LDLR	autocrine|paracrine	0.799139386963843
GPC6	LRP1	autocrine|paracrine	0.79833631191886
PLAT	LRP1	autocrine|paracrine	0.794855388819516
PSAP	LRP1	autocrine|paracrine	0.794526870305052
UBB	TGFBR2	autocrine|paracrine	0.7923951363336
VCAM1	ITGB1	autocrine|paracrine	0.791878996011504
LAMC1	ITGB1	autocrine|paracrine	0.791500625057232
HLA-A	APLP2	autocrine|paracrine	0.791122238329831
CYR61	ITGA5	autocrine|paracrine	0.790198968254061
MFAP2	NOTCH1	autocrine|paracrine	0.790064227214076
THBS1	LRP1	autocrine|paracrine	0.789910387752884
COL4A1	ITGA1	autocrine|paracrine	0.787857162682205
UBA52	TGFBR1	autocrine|paracrine	0.783136498724713
CALM1	INSR	autocrine|paracrine	0.78276129415693
APP	LRP1	autocrine|paracrine	0.782594748128478
SEMA3A	NRP2	autocrine|paracrine	0.782174547972634
COL5A2	DDR1	autocrine|paracrine	0.78205505702044
APOE	LRP1	autocrine|paracrine	0.782049495565318
CTGF	LRP1	autocrine|paracrine	0.780611363209719
UBA52	NOTCH1	autocrine|paracrine	0.77944680855572
UBA52	FGFR2	autocrine|paracrine	0.779190250296457
PKM	CD44	autocrine|paracrine	0.778626415364724
FN1	IL17RC	autocrine|paracrine	0.776342813879492
HRAS	CAV1	autocrine|paracrine	0.776238988252607
CALM2	INSR	autocrine|paracrine	0.776090380344873
UBC	SMAD3	autocrine|paracrine	0.775714810577017
UBA52	LDLR	autocrine|paracrine	0.773414204246233
ARF1	INSR	autocrine|paracrine	0.773384362864336
TGFB1	CAV1	autocrine|paracrine	0.771771512078875
FN1	SDC2	autocrine|paracrine	0.770979987413441
MMP2	SDC2	autocrine|paracrine	0.769363888241654
FBN1	ITGA5	autocrine|paracrine	0.769356454158055
SERPINE2	LRP1	autocrine|paracrine	0.766871701684042
HSP90AA1	FGFR3	autocrine|paracrine	0.766168724146836
SERPINA1	LRP1	autocrine|paracrine	0.765911650106123
NAMPT	INSR	autocrine|paracrine	0.763537965769575
LRPAP1	LRP1	autocrine|paracrine	0.762362790496095
IGFBP4	LRP6	autocrine|paracrine	0.755889842157469
CALM1	CACNA1C	autocrine|paracrine	0.75575365327245
COL9A1	ITGB1	autocrine|paracrine	0.753678603429636
FN1	PLAUR	autocrine|paracrine	0.752202644068168
UBB	SMAD3	autocrine|paracrine	0.75061350039032
CALM2	CACNA1C	autocrine|paracrine	0.748519841304619
CXCL12	ACKR3	autocrine|paracrine	0.746231330506495
NID1	PTPRF	autocrine|paracrine	0.744263442829845
HLA-B	CANX	autocrine|paracrine	0.743808528537255
FN1	ITGAV	autocrine|paracrine	0.743169630291538
APOC3	LRP1	autocrine|paracrine	0.742681828753633
CALM3	INSR	autocrine|paracrine	0.742226216138325
HSPG2	LRP1	autocrine|paracrine	0.741774176629904
HLA-A	ERBB2	autocrine|paracrine	0.741728165488178
UBA52	TGFBR2	autocrine|paracrine	0.740984669545621
TFPI	LRP1	autocrine|paracrine	0.738454649349974
APP	CD74	autocrine|paracrine	0.737805894147205
FN1	COL13A1	autocrine|paracrine	0.737366544936455
COL4A5	ITGB1	autocrine|paracrine	0.73703508303948
JAM3	ITGB1	autocrine|paracrine	0.736237829107388
