Fibroblasts	Myofibroblast_Mesothelium	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.946238815661284
COL1A2	ITGB1	autocrine|paracrine	0.943274157552778
COL3A1	ITGB1	autocrine|paracrine	0.942663950692907
COL6A2	ITGB1	autocrine|paracrine	0.929502629635883
MDK	ITGB1	autocrine|paracrine	0.927888786316703
GPC3	CD81	autocrine|paracrine	0.923650082428533
LGALS1	ITGB1	autocrine|paracrine	0.92363855391837
COL6A1	ITGB1	autocrine|paracrine	0.919705838117657
FBLN1	ITGB1	autocrine|paracrine	0.918566251382598
LUM	ITGB1	autocrine|paracrine	0.916675151627901
TIMP1	CD63	autocrine|paracrine	0.914103060580482
COL5A1	ITGB1	autocrine|paracrine	0.910869883846535
VCAN	ITGB1	autocrine|paracrine	0.907258147650443
FN1	ITGB1	autocrine|paracrine	0.906238646200694
COL5A2	ITGB1	autocrine|paracrine	0.904545646885175
CXCL12	ITGB1	autocrine|paracrine	0.904107325456395
MDK	LRP1	autocrine|paracrine	0.901987110399836
CXCL12	ACKR3	autocrine|paracrine	0.901808139650714
COL1A1	DDR2	autocrine|paracrine	0.90006406497948
COL1A1	ITGA1	autocrine|paracrine	0.898493375613256
COL6A3	ITGB1	autocrine|paracrine	0.893886721111679
COL3A1	DDR2	autocrine|paracrine	0.893763518505939
COL1A2	ITGA1	autocrine|paracrine	0.893192989056891
CYR61	CAV1	autocrine|paracrine	0.89265574167641
RPS27A	ERBB2	autocrine|paracrine	0.888074812649322
COL1A1	CD44	autocrine|paracrine	0.88563703431562
COL16A1	ITGB1	autocrine|paracrine	0.882733939827992
RPS27A	LDLR	autocrine|paracrine	0.882538752871923
COL1A1	ITGA5	autocrine|paracrine	0.87989450533917
COL1A2	CD44	autocrine|paracrine	0.879755168820694
FBN1	ITGB1	autocrine|paracrine	0.87934358439714
FN1	SDC2	autocrine|paracrine	0.879104802174401
MMP2	SDC2	autocrine|paracrine	0.878131088702624
COL1A1	ITGAV	autocrine|paracrine	0.87429137455451
VIM	CD44	autocrine|paracrine	0.873766505238988
NID1	ITGB1	autocrine|paracrine	0.873526778786976
HSP90B1	LRP1	autocrine|paracrine	0.872725207183126
CALM1	MYLK	autocrine|paracrine	0.872426473080249
APOA1	LRP1	autocrine|paracrine	0.871221362432569
THBS2	ITGB1	autocrine|paracrine	0.870152102329915
COL6A2	ITGA1	autocrine|paracrine	0.868952230101857
LAMB1	ITGB1	autocrine|paracrine	0.868480829206337
CALM2	MYLK	autocrine|paracrine	0.868044814525754
COL1A2	ITGAV	autocrine|paracrine	0.867913013043541
UBC	ERBB2	autocrine|paracrine	0.866379267870327
HSP90AA1	ERBB2	autocrine|paracrine	0.865455286359264
TIMP2	ITGB1	autocrine|paracrine	0.864976275552921
THBS1	ITGB1	autocrine|paracrine	0.860961922343535
UBC	LDLR	autocrine|paracrine	0.859939342687936
APP	CAV1	autocrine|paracrine	0.856958659980174
GNAI2	CAV1	autocrine|paracrine	0.856327631117723
FN1	ITGA8	autocrine|paracrine	0.856215840426759
CALR	LRP1	autocrine|paracrine	0.854213297946829
RPS27A	TGFBR2	autocrine|paracrine	0.853125045803146
COL6A1	ITGA1	autocrine|paracrine	0.85208001821045
RPS27A	FGFR2	autocrine|paracrine	0.851690375698305
COL4A1	ITGB1	autocrine|paracrine	0.849750929114457
UBB	ERBB2	autocrine|paracrine	0.849455620622929
VEGFA	ITGB1	autocrine|paracrine	0.848763385659279
CALM3	MYLK	autocrine|paracrine	0.845315995656018
UBB	LDLR	autocrine|paracrine	0.842348470427831
