Fibroblasts	Neural	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.93019174235948
COL1A2	ITGB1	autocrine|paracrine	0.926410988978272
COL3A1	ITGB1	autocrine|paracrine	0.925633684179534
COL1A1	ITGA1	autocrine|paracrine	0.920112494842633
COL1A2	ITGA1	autocrine|paracrine	0.915835250437993
GPC3	CD81	autocrine|paracrine	0.911695972087773
TIMP1	CD63	autocrine|paracrine	0.91060722291061
COL6A2	ITGB1	autocrine|paracrine	0.908940740347354
MDK	ITGB1	autocrine|paracrine	0.906903334077022
LGALS1	ITGB1	autocrine|paracrine	0.901547457744067
COL1A1	DDR2	autocrine|paracrine	0.900738891289925
COL1A1	DDR1	autocrine|paracrine	0.898947015403358
MDK	PTPRZ1	autocrine|paracrine	0.89827550499917
COL6A1	ITGB1	autocrine|paracrine	0.896604381973087
COL6A2	ITGA1	autocrine|paracrine	0.896135777723395
FBLN1	ITGB1	autocrine|paracrine	0.895174294287576
COL3A1	DDR2	autocrine|paracrine	0.894475901814374
LUM	ITGB1	autocrine|paracrine	0.892803367373323
COL3A1	DDR1	autocrine|paracrine	0.892584448294058
RPS27A	TGFBR2	autocrine|paracrine	0.887624838258792
COL1A1	CD44	autocrine|paracrine	0.885854508120232
COL5A1	ITGB1	autocrine|paracrine	0.885542608942239
COL6A1	ITGA1	autocrine|paracrine	0.882289310053848
VCAN	ITGB1	autocrine|paracrine	0.881038597870068
COL1A2	CD44	autocrine|paracrine	0.879982311896972
FN1	ITGB1	autocrine|paracrine	0.879769064081511
COL5A2	ITGB1	autocrine|paracrine	0.877662637804639
CXCL12	ITGB1	autocrine|paracrine	0.877117641027403
MDK	SDC3	autocrine|paracrine	0.874733037889604
VIM	CD44	autocrine|paracrine	0.874003340761583
COL5A1	ITGA1	autocrine|paracrine	0.869918233730814
PTN	PTPRZ1	autocrine|paracrine	0.867645742372828
UBC	TGFBR2	autocrine|paracrine	0.865855245701471
COL6A3	ITGB1	autocrine|paracrine	0.864451657749707
RPS27A	LDLR	autocrine|paracrine	0.861828691922384
COL5A2	ITGA1	autocrine|paracrine	0.861131267497703
COL1A1	ITGAV	autocrine|paracrine	0.858818144266575
COL1A2	ITGAV	autocrine|paracrine	0.851787774922011
COL16A1	ITGB1	autocrine|paracrine	0.850721819886264
UBB	TGFBR2	autocrine|paracrine	0.848876805680997
COL5A1	SDC3	autocrine|paracrine	0.847234317492203
FBN1	ITGB1	autocrine|paracrine	0.846566811858729
RPS27A	ERBB2	autocrine|paracrine	0.846551466711966
COL6A3	ITGA1	autocrine|paracrine	0.846447426478765
IGFBP4	LRP6	autocrine|paracrine	0.843134139739843
MDK	ITGA6	autocrine|paracrine	0.840203228259354
LAMB2	RPSA	autocrine|paracrine	0.839828203441151
NID1	ITGB1	autocrine|paracrine	0.839458338104077
PTN	SDC3	autocrine|paracrine	0.838290650823328
UBC	LDLR	autocrine|paracrine	0.835985203333173
MDK	LRP1	autocrine|paracrine	0.835613121978866
THBS2	ITGB1	autocrine|paracrine	0.83534596489254
LAMB1	ITGB1	autocrine|paracrine	0.833312519307646
RPS27A	TGFBR1	autocrine|paracrine	0.831070350750706
TIMP2	ITGB1	autocrine|paracrine	0.829055300829347
COL1A1	ITGA2	autocrine|paracrine	0.828879528488454
COL5A2	DDR1	autocrine|paracrine	0.827272719348403
MFAP2	NOTCH1	autocrine|paracrine	0.824765759802763
THBS1	ITGB1	autocrine|paracrine	0.824190057523438
COL6A1	ITGA6	autocrine|paracrine	0.823957805151527
COL1A2	ITGA2	autocrine|paracrine	0.820669622592564
COL3A1	ITGA2	autocrine|paracrine	0.818993624132146
UBC	ERBB2	autocrine|paracrine	0.818452465595327
HSP90AA1	ERBB2	autocrine|paracrine	0.817266972298791
UBB	LDLR	autocrine|paracrine	0.816029442898014
UBA52	NOTCH1	autocrine|paracrine	0.815493502257629
HSPA8	LDLR	autocrine|paracrine	0.814592054768908
LAMB1	ITGA1	autocrine|paracrine	0.812071391255228
VCAN	CD44	autocrine|paracrine	0.81179908085782
COL4A1	ITGB1	autocrine|paracrine	0.810666089779901
FN1	CD44	autocrine|paracrine	0.809950027397401
VEGFA	ITGB1	autocrine|paracrine	0.80947925050739
RTN4	NGFR	autocrine|paracrine	0.808592505453939
UBA52	TGFBR2	autocrine|paracrine	0.808065320998311
THBS2	CD47	autocrine|paracrine	0.807399081232511
FN1	SDC2	autocrine|paracrine	0.807370954877269
MMP2	SDC2	autocrine|paracrine	0.805947017009676
MDK	GPC2	autocrine|paracrine	0.805084931296786
UBC	TGFBR1	autocrine|paracrine	0.800803547928223
GNAI2	EDNRB	autocrine|paracrine	0.79984894637252
HLA-B	CANX	autocrine|paracrine	0.799172585973893
FN1	ITGA6	autocrine|paracrine	0.79795932094212
CALM1	PTPRA	autocrine|paracrine	0.797179468742558
UBB	ERBB2	autocrine|paracrine	0.796881793219016
APOA1	LDLR	autocrine|paracrine	0.794876887164459
THBS1	CD47	autocrine|paracrine	0.794814770485822
PTN	PLXNB2	autocrine|paracrine	0.793992470545724
HSP90B1	LRP1	autocrine|paracrine	0.79112402629243
HLA-A	APLP2	autocrine|paracrine	0.789881543970196
APOA1	LRP1	autocrine|paracrine	0.788889236866051
CTGF	LRP6	autocrine|paracrine	0.788194279177498
APP	GPC1	autocrine|paracrine	0.787862813029739
COL4A1	ITGA1	autocrine|paracrine	0.787275795428041
CYR61	CAV1	autocrine|paracrine	0.787230912466763
TNC	ITGB1	autocrine|paracrine	0.786150453983681
COL6A2	ITGA2	autocrine|paracrine	0.783950438744152
COL14A1	CD44	autocrine|paracrine	0.782102386713941
HSPG2	ITGB1	autocrine|paracrine	0.781737858631799
COL4A1	CD47	autocrine|paracrine	0.779635311842092
VEGFA	GPC1	autocrine|paracrine	0.778553501483519
UBB	TGFBR1	autocrine|paracrine	0.777705452783679
HSP90B1	ERBB2	autocrine|paracrine	0.776483741497971
LGALS3BP	ITGB1	autocrine|paracrine	0.776360713393166
CALM1	MYLK	autocrine|paracrine	0.775574848354786
FN1	ITGB8	autocrine|paracrine	0.775123733373921
FN1	IL17RC	autocrine|paracrine	0.772056919262198
LAMA4	ITGB1	autocrine|paracrine	0.771640103099834
FN1	ITGAV	autocrine|paracrine	0.769610826812154
NCAM1	GFRA1	autocrine|paracrine	0.769513592316966
TNC	PTPRZ1	autocrine|paracrine	0.769179973106417
UBA52	LDLR	autocrine|paracrine	0.768763750845329
CALM2	MYLK	autocrine|paracrine	0.768748450392271
LAMB2	ITGB1	autocrine|paracrine	0.765516121597862
CALR	LRP1	autocrine|paracrine	0.763953509237201
NLGN2	NRXN1	autocrine|paracrine	0.761031651710179
CXCL12	ACKR3	autocrine|paracrine	0.760964667035777
AGRN	ITGB1	autocrine|paracrine	0.760020293137931
COL18A1	ITGB1	autocrine|paracrine	0.759415825199691
COL6A1	ITGA2	autocrine|paracrine	0.759167489052971
NID1	PTPRF	autocrine|paracrine	0.758275836685367
RPS27A	RIPK1	autocrine|paracrine	0.754886294152274
GPC3	IGF1R	autocrine|paracrine	0.752830957505696
APP	NGFR	autocrine|paracrine	0.74926040681223
VCAM1	ITGB1	autocrine|paracrine	0.747399302184037
LAMC1	ITGB1	autocrine|paracrine	0.746965905143959
UBA52	ERBB2	autocrine|paracrine	0.746226555887532
GPC3	LRP1	autocrine|paracrine	0.745880507529386
B2M	TFRC	autocrine|paracrine	0.745722170815143
GNAS	ADCY1	autocrine|paracrine	0.745340657426048
CYR61	ITGAV	autocrine|paracrine	0.739859425863441
RTN4	TNFRSF19	autocrine|paracrine	0.739553900574544
CALR	ITGAV	autocrine|paracrine	0.739004823836124
EFEMP2	AQP1	autocrine|paracrine	0.738142232853374
SPTAN1	PTPRA	autocrine|paracrine	0.736511928198362
FN1	PLAUR	autocrine|paracrine	0.735131323029268
CALM3	MYLK	autocrine|paracrine	0.734154250669531
PKM	CD44	autocrine|paracrine	0.733548251308766
THBS2	ITGA6	autocrine|paracrine	0.732499833993506
RPS27A	SMAD3	autocrine|paracrine	0.731456346067973
LAMB1	ITGA6	autocrine|paracrine	0.729607386072724
APP	CAV1	autocrine|paracrine	0.727189595560533
FN1	ITGA2	autocrine|paracrine	0.726773480905398
GNAI2	CAV1	autocrine|paracrine	0.726169017234662
FYN	THY1	autocrine|paracrine	0.724529712598576
UBA52	TGFBR1	autocrine|paracrine	0.723924685210929
COL18A1	GPC1	autocrine|paracrine	0.723143052179291
GPC6	LRP1	autocrine|paracrine	0.720327441640887
MDK	SDC1	autocrine|paracrine	0.720239725538165
LAMC1	ITGA1	autocrine|paracrine	0.718439336799409
THBS1	ITGA6	autocrine|paracrine	0.716738607693631
RTN4	LINGO1	autocrine|paracrine	0.716637008172204
PLAT	LRP1	autocrine|paracrine	0.715979048821995
FBN1	ITGAV	autocrine|paracrine	0.715814498588102
UBC	RIPK1	autocrine|paracrine	0.715640151885001
PSAP	LRP1	autocrine|paracrine	0.715569417368644
NCAM1	PTPRA	autocrine|paracrine	0.713344642131213
EFEMP2	PLSCR4	autocrine|paracrine	0.713213808655021
APP	NCSTN	autocrine|paracrine	0.710169309445611
THBS1	LRP1	autocrine|paracrine	0.709826837505934
IGFBP4	FZD8	autocrine|paracrine	0.70918973463659
APOE	LDLR	autocrine|paracrine	0.707679767510167
GNAI2	IGF1R	autocrine|paracrine	0.707418401382857
CALM1	ABCA1	autocrine|paracrine	0.705533631120854
VEGFA	NRP1	autocrine|paracrine	0.705225127764576
NID1	ITGAV	autocrine|paracrine	0.70476095168166
COL9A1	ITGB1	autocrine|paracrine	0.704085559610829
EDN1	EDNRB	autocrine|paracrine	0.702663774170539
HLA-C	DDR1	autocrine|paracrine	0.70217795606643
CALM1	INSR	autocrine|paracrine	0.701530721343844
APP	LRP1	autocrine|paracrine	0.70077891105114
APOE	LRP1	autocrine|paracrine	0.700107095391657
HSP90B1	ASGR1	autocrine|paracrine	0.69881599683528
COL6A3	ITGA2	autocrine|paracrine	0.698641175650922
CTGF	LRP1	autocrine|paracrine	0.698336834600406
CALM2	ABCA1	autocrine|paracrine	0.697407975116591
APP	CD74	autocrine|paracrine	0.697221001966971
VCAM1	EZR	autocrine|paracrine	0.696924366600109
LAMB1	ITGAV	autocrine|paracrine	0.695330142800808
FABP5	RXRA	autocrine|paracrine	0.693828900548312
CALM2	INSR	autocrine|paracrine	0.693342617274105
COL3A1	MAG	autocrine|paracrine	0.692631122653391
COL1A1	CD36	autocrine|paracrine	0.69224720020119
ARF1	INSR	autocrine|paracrine	0.690035971946372
UBC	SMAD3	autocrine|paracrine	0.689999311850697
NLGN1	NRXN1	autocrine|paracrine	0.689616563668035
VEGFA	TYRO3	autocrine|paracrine	0.688599029699633
HBEGF	CD9	autocrine|paracrine	0.686915295833467
UBB	RIPK1	autocrine|paracrine	0.686532395473819
MDK	TSPAN1	autocrine|paracrine	0.685791161882137
COL4A5	ITGB1	autocrine|paracrine	0.685489461254799
JAM3	ITGB1	autocrine|paracrine	0.684602806377416
VEGFA	RET	autocrine|paracrine	0.68442108120468
LRPAP1	LDLR	autocrine|paracrine	0.683989931742258
HSP90AA1	FGFR3	autocrine|paracrine	0.683396735488644
VEGFA	NRP2	autocrine|paracrine	0.682958956632844
HMGB1	SDC1	autocrine|paracrine	0.682197977895438
EFEMP2	LINGO1	autocrine|paracrine	0.682182993789768
SERPINE2	LRP1	autocrine|paracrine	0.681546589909113
COL1A1	CD93	autocrine|paracrine	0.680400820566759
SERPINA1	LRP1	autocrine|paracrine	0.68038160750621
COL1A2	CD36	autocrine|paracrine	0.680012681826974
GSTP1	TRAF2	autocrine|paracrine	0.678410486042876
TGFB1	ITGB1	autocrine|paracrine	0.678267723391424
MDK	ITGA4	autocrine|paracrine	0.67814684210272
NAMPT	INSR	autocrine|paracrine	0.678075557701117
LRPAP1	LRP1	autocrine|paracrine	0.676084462135087
GNAS	ADCY9	autocrine|paracrine	0.676066246234758
TGM2	ITGB1	autocrine|paracrine	0.676046199354619
NECTIN2	NECTIN3	autocrine|paracrine	0.675141223369224
AREG	ERBB3	autocrine|paracrine	0.673424241589058
APOC3	SDC2	autocrine|paracrine	0.673341757370185
NCAM1	FGFR1	autocrine|paracrine	0.671170105572512
P4HB	MTTP	autocrine|paracrine	0.669394792049851
COL4A1	ITGB8	autocrine|paracrine	0.668536063488076
COL1A2	CD93	autocrine|paracrine	0.667921274596124
GNAI2	F2R	autocrine|paracrine	0.665758560611893
NLGN2	NRXN3	autocrine|paracrine	0.663583733818107
CXCL12	ADRA2A	autocrine|paracrine	0.663052504182666
RPS27A	FGFR2	autocrine|paracrine	0.662479599863534
ADAM17	ITGB1	autocrine|paracrine	0.662344760254346
HMGB1	THBD	autocrine|paracrine	0.662000069203596
COL1A1	ITGA5	autocrine|paracrine	0.661738606508491
APOE	SORL1	autocrine|paracrine	0.661716556767759
COL4A1	ITGAV	autocrine|paracrine	0.661551078039107
APOC3	LDLR	autocrine|paracrine	0.66070693589681
THBS2	NOTCH3	autocrine|paracrine	0.660410435569482
VEGFA	ITGAV	autocrine|paracrine	0.659821749353469
UBB	SMAD3	autocrine|paracrine	0.659515646565555
ARF1	CHRM3	autocrine|paracrine	0.659114385827311
ADAM9	ITGB1	autocrine|paracrine	0.658295390054221
VEGFB	NRP1	autocrine|paracrine	0.658161032875319
HLA-A	ERBB2	autocrine|paracrine	0.657764199248526
BMP4	BMPR2	autocrine|paracrine	0.657539337176729
ADAM10	NOTCH1	autocrine|paracrine	0.657074534721943
CALM3	ABCA1	autocrine|paracrine	0.65690461005057
PTN	SDC1	autocrine|paracrine	0.656501841380992
PTN	PTPRS	autocrine|paracrine	0.654401014982896
LAMA2	RPSA	autocrine|paracrine	0.654319104811249
RPS27A	ADRB2	autocrine|paracrine	0.654242232831122
GDNF	GFRA1	autocrine|paracrine	0.654233738783225
TGFB3	ITGB1	autocrine|paracrine	0.654196582506257
COL4A5	ITGA1	autocrine|paracrine	0.653249488621828
CALM3	INSR	autocrine|paracrine	0.652566177505475
APOC3	LRP1	autocrine|paracrine	0.65251491179487
SEMA3A	NRP1	autocrine|paracrine	0.652193620559908
HSPG2	LRP1	autocrine|paracrine	0.651438479195075
COL9A3	ITGB1	autocrine|paracrine	0.651282971673034
GDNF	EDNRB	autocrine|paracrine	0.649239531679448
TFPI	LRP1	autocrine|paracrine	0.647509512595824
LAMA4	ITGA6	autocrine|paracrine	0.645871070652043
VCAM1	MSN	autocrine|paracrine	0.645563449902855
LAMB1	ITGA2	autocrine|paracrine	0.645051312108381
LAMA5	ITGB1	autocrine|paracrine	0.643099039632515
COL4A5	CD47	autocrine|paracrine	0.64297817990727
TNFSF12	TNFRSF12A	autocrine|paracrine	0.642343355626004
VEGFB	TYRO3	autocrine|paracrine	0.640234587924249
UBA52	ACVR1	autocrine|paracrine	0.639816981368135
SERPING1	LRP1	autocrine|paracrine	0.639456024142035
FN1	ITGA3	autocrine|paracrine	0.63669173254324
LRPAP1	SORL1	autocrine|paracrine	0.636216613535311
SLIT2	GPC1	autocrine|paracrine	0.636072626271674
VEGFB	RET	autocrine|paracrine	0.635750994758114
ACTR2	LDLR	autocrine|paracrine	0.634858865407408
ARPC5	LDLR	autocrine|paracrine	0.63397183050315
SEMA4A	PLXNB2	autocrine|paracrine	0.632951760507734
NLGN2	NRXN2	autocrine|paracrine	0.631676699839624
SEMA3A	PLXNA3	autocrine|paracrine	0.631280492336283
P4HB	GPR162	autocrine|paracrine	0.630961847004753
WNT5A	MCAM	autocrine|paracrine	0.630093197024705
COL11A1	ITGB1	autocrine|paracrine	0.630001120956565
APOB	LRP6	autocrine|paracrine	0.62906936023425
SEMA3A	NRP2	autocrine|paracrine	0.628034478466894
TNC	ITGAV	autocrine|paracrine	0.626620420124897
GNAS	ADCY7	autocrine|paracrine	0.623260842588148
AGRN	LRP1	autocrine|paracrine	0.623008223807317
UBA52	RIPK1	autocrine|paracrine	0.621430988888206
MFGE8	ITGAV	autocrine|paracrine	0.61983438723869
PSEN1	NOTCH1	autocrine|paracrine	0.618212389591596
TFPI	F3	autocrine|paracrine	0.617853385579068
ICAM1	CAV1	autocrine|paracrine	0.617202909657364
UBC	FGFR2	autocrine|paracrine	0.615964855394702
VCAN	ITGA4	autocrine|paracrine	0.6156614204062
C3	CD81	autocrine|paracrine	0.614512408977875
LAMC1	ITGA6	autocrine|paracrine	0.614398378446134
FST	BMPR2	autocrine|paracrine	0.614379432430289
FN1	ITGA4	autocrine|paracrine	0.612804452274835
CALM1	KCNQ5	autocrine|paracrine	0.610978747139659
COL4A1	ITGA2	autocrine|paracrine	0.608833763285283
RTN4	RTN4R	autocrine|paracrine	0.608050325209236
UBC	ADRB2	autocrine|paracrine	0.607265256698078
LAMA4	ITGAV	autocrine|paracrine	0.606700850189904
EFNA1	EPHA2	autocrine|paracrine	0.606191616319798
THBS1	LRP5	autocrine|paracrine	0.60380753153088
CALM1	PDE1C	autocrine|paracrine	0.601901676319671
CALM2	KCNQ5	autocrine|paracrine	0.601716821219488
COL18A1	GPC4	autocrine|paracrine	0.600605748270294
