Fibroblasts	Pericytes	interaction type	LRscore
COL1A1	ITGB1	autocrine|paracrine	0.944147721229003
COL1A2	ITGB1	autocrine|paracrine	0.941074930709775
COL3A1	ITGB1	autocrine|paracrine	0.940442560199392
COL1A1	ITGA1	autocrine|paracrine	0.936352256700486
COL1A2	ITGA1	autocrine|paracrine	0.932881076609708
COL6A2	ITGB1	autocrine|paracrine	0.926810915553903
MDK	ITGB1	autocrine|paracrine	0.925140415503081
LGALS1	ITGB1	autocrine|paracrine	0.92074203091574
GPC3	CD81	autocrine|paracrine	0.917346503167006
COL6A2	ITGA1	autocrine|paracrine	0.9168089125157
COL6A1	ITGB1	autocrine|paracrine	0.916673598195949
TIMP1	CD63	autocrine|paracrine	0.915730800318664
FBLN1	ITGB1	autocrine|paracrine	0.915494930168309
LUM	ITGB1	autocrine|paracrine	0.913539219907462
COL1A1	DDR2	autocrine|paracrine	0.911037842406813
CYR61	CAV1	autocrine|paracrine	0.907729618395025
COL5A1	ITGB1	autocrine|paracrine	0.907537508408003
COL6A1	ITGA1	autocrine|paracrine	0.905427595162615
COL3A1	DDR2	autocrine|paracrine	0.90535639752825
VCAN	ITGB1	autocrine|paracrine	0.903804998209994
FN1	ITGB1	autocrine|paracrine	0.902751605569603
COL5A2	ITGB1	autocrine|paracrine	0.901002520747888
CXCL12	ITGB1	autocrine|paracrine	0.900549718256989
COL5A1	ITGA1	autocrine|paracrine	0.895199438279074
RPS27A	LDLR	autocrine|paracrine	0.894873234126195
COL6A3	ITGB1	autocrine|paracrine	0.889996066393149
FN1	SDC2	autocrine|paracrine	0.88824277595729
COL5A2	ITGA1	autocrine|paracrine	0.887900143376411
MMP2	SDC2	autocrine|paracrine	0.887333228997225
COL1A1	ITGAV	autocrine|paracrine	0.886800352319556
COL1A2	ITGAV	autocrine|paracrine	0.88097027675381
THBS2	NOTCH3	autocrine|paracrine	0.880942545745308
COL16A1	ITGB1	autocrine|paracrine	0.878489953244808
APP	CAV1	autocrine|paracrine	0.876350957638317
GNAI2	CAV1	autocrine|paracrine	0.875793078704739
COL6A3	ITGA1	autocrine|paracrine	0.8756380422984
GNAS	PTGIR	autocrine|paracrine	0.875520681348495
CXCL12	ACKR3	autocrine|paracrine	0.875168125921657
FBN1	ITGB1	autocrine|paracrine	0.874994273041101
UBC	LDLR	autocrine|paracrine	0.874308981875639
NID1	ITGB1	autocrine|paracrine	0.86899902566815
CALM1	MYLK	autocrine|paracrine	0.866545177010966
MDK	LRP1	autocrine|paracrine	0.865919976791195
THBS2	ITGB1	autocrine|paracrine	0.865522134534309
LAMB1	ITGB1	autocrine|paracrine	0.863800596678308
RPS27A	TGFBR2	autocrine|paracrine	0.86327986468844
CALM2	MYLK	autocrine|paracrine	0.861993472370653
TIMP2	ITGB1	autocrine|paracrine	0.860191406557838
RPS27A	ERBB2	autocrine|paracrine	0.858527930670394
UBB	LDLR	autocrine|paracrine	0.858225317960905
HSPA8	LDLR	autocrine|paracrine	0.857059863255202
THBS1	ITGB1	autocrine|paracrine	0.85605846895211
