Immune	Endothelial	interaction type	LRscore
UBC	TGFBR2	autocrine|paracrine	0.9270611109473
RPS27A	TGFBR2	autocrine|paracrine	0.926971314255417
UBC	LDLR	autocrine|paracrine	0.922161091422192
RPS27A	LDLR	autocrine|paracrine	0.922065769336589
ICAM1	CAV1	autocrine|paracrine	0.919747720976825
UBB	TGFBR2	autocrine|paracrine	0.908412766806941
TIMP1	CD63	autocrine|paracrine	0.907559423350017
TGFB1	CAV1	autocrine|paracrine	0.90745093354995
HMGB1	THBD	autocrine|paracrine	0.905172718654846
UBB	LDLR	autocrine|paracrine	0.902391858959355
GNAI2	CAV1	autocrine|paracrine	0.90184292603852
HSPA8	LDLR	autocrine|paracrine	0.900207868917894
HLA-B	CANX	autocrine|paracrine	0.899466236204045
LGALS1	ITGB1	autocrine|paracrine	0.896852381454326
HLA-C	NOTCH4	autocrine|paracrine	0.892104806632677
APOA1	LDLR	autocrine|paracrine	0.892023632601476
COL1A1	CD93	autocrine|paracrine	0.888737289850772
PTGS2	CAV1	autocrine|paracrine	0.888173055897822
COL1A1	ITGB1	autocrine|paracrine	0.887589040319357
HLA-A	APLP2	autocrine|paracrine	0.884153562900077
TGFB1	ENG	autocrine|paracrine	0.883728189494407
COL3A1	ITGB1	autocrine|paracrine	0.882188339111566
COL1A2	CD93	autocrine|paracrine	0.88062280334884
UBA52	TGFBR2	autocrine|paracrine	0.880446231378522
TGFB1	ITGB1	autocrine|paracrine	0.880295238432893
COL1A2	ITGB1	autocrine|paracrine	0.879402174520501
C1QA	CD93	autocrine|paracrine	0.87795073099013
UBA52	LDLR	autocrine|paracrine	0.872844161555882
TGFB1	TGFBR2	autocrine|paracrine	0.872158492953862
COL1A1	CD36	autocrine|paracrine	0.869443880408993
UBA52	NOTCH1	autocrine|paracrine	0.866589042205118
MDK	ITGB1	autocrine|paracrine	0.86559253680598
COL1A1	ITGA5	autocrine|paracrine	0.860232039519439
COL1A2	CD36	autocrine|paracrine	0.860143734879131
CD14	ITGB1	autocrine|paracrine	0.859024162688096
TGFB1	ACVRL1	autocrine|paracrine	0.852393705260768
VEGFA	ITGB1	autocrine|paracrine	0.850811846495398
MDK	ITGA6	autocrine|paracrine	0.84843496489667
VEGFA	FLT1	autocrine|paracrine	0.843729222910781
UBC	SMAD3	autocrine|paracrine	0.84315247368545
RPS27A	SMAD3	autocrine|paracrine	0.842976872181251
VEGFA	NRP1	autocrine|paracrine	0.838669644915467
ACTR2	LDLR	autocrine|paracrine	0.836066101847844
TIMP2	ITGB1	autocrine|paracrine	0.831874239983205
VEGFA	KDR	autocrine|paracrine	0.830823652318293
APP	CAV1	autocrine|paracrine	0.82979598585662
UBC	TGFBR1	autocrine|paracrine	0.827577420580256
RPS27A	TGFBR1	autocrine|paracrine	0.827387951551578
CALR	SCARF1	autocrine|paracrine	0.826094267844646
NAMPT	INSR	autocrine|paracrine	0.822632039808459
