Immune	Epithelial	interaction type	LRscore
TIMP1	CD63	autocrine|paracrine	0.916269146161671
UBC	LDLR	autocrine|paracrine	0.912553933302273
RPS27A	LDLR	autocrine|paracrine	0.912447963216861
HLA-B	CANX	autocrine|paracrine	0.901370766424897
HLA-A	APLP2	autocrine|paracrine	0.89352433053027
UBC	ERBB2	autocrine|paracrine	0.892605318463818
RPS27A	ERBB2	autocrine|paracrine	0.892478022333057
HSP90AA1	FGFR3	autocrine|paracrine	0.890784140171644
UBB	LDLR	autocrine|paracrine	0.890634087507076
HSPA8	LDLR	autocrine|paracrine	0.88821960455893
APOA1	LDLR	autocrine|paracrine	0.879184129634222
HSP90AA1	ERBB2	autocrine|paracrine	0.87740918494812
UBB	ERBB2	autocrine|paracrine	0.866416998374329
B2M	TFRC	autocrine|paracrine	0.859442997719921
UBA52	LDLR	autocrine|paracrine	0.858086851145498
HLA-A	ERBB2	autocrine|paracrine	0.856565855039904
HSP90B1	ERBB2	autocrine|paracrine	0.848305002269769
LGALS1	ITGB1	autocrine|paracrine	0.841663995326868
PTMA	VIPR1	autocrine|paracrine	0.83141987578433
COL1A1	ITGB1	autocrine|paracrine	0.828392725480114
UBA52	ERBB2	autocrine|paracrine	0.828054151643881
UBC	TGFBR2	autocrine|paracrine	0.827325174860559
RPS27A	TGFBR2	autocrine|paracrine	0.827135486546255
HLA-C	DDR1	autocrine|paracrine	0.824451412275382
COL3A1	ITGB1	autocrine|paracrine	0.820722428523199
TGFB1	ITGB1	autocrine|paracrine	0.818045354235025
ACTR2	LDLR	autocrine|paracrine	0.817930791858631
COL1A2	ITGB1	autocrine|paracrine	0.816784530917354
APOA1	LRP1	autocrine|paracrine	0.816438893474958
HSP90B1	LRP1	autocrine|paracrine	0.811017804863817
GNAS	VIPR1	autocrine|paracrine	0.80681209115222
ICAM1	IL2RG	autocrine|paracrine	0.803993036879324
PSAP	LRP1	autocrine|paracrine	0.802603000452712
NAMPT	INSR	autocrine|paracrine	0.801513218553563
MDK	ITGB1	autocrine|paracrine	0.797456029220103
LRPAP1	LDLR	autocrine|paracrine	0.796273323037948
P4HB	MTTP	autocrine|paracrine	0.792923925365545
COL1A1	DDR1	autocrine|paracrine	0.792054324595787
UBC	SMAD3	autocrine|paracrine	0.790792897010329
RPS27A	SMAD3	autocrine|paracrine	0.790573235769943
HBEGF	CD9	autocrine|paracrine	0.789532024261211
CALR	LRP1	autocrine|paracrine	0.789353053274811
UBB	TGFBR2	autocrine|paracrine	0.788981498876625
HSP90AA1	EGFR	autocrine|paracrine	0.788549918902905
CD14	ITGB1	autocrine|paracrine	0.788371977136078
HSP90AA1	CFTR	autocrine|paracrine	0.786278291725388
COL3A1	DDR1	autocrine|paracrine	0.78318492150899
MDK	TSPAN1	autocrine|paracrine	0.779998934494125
VEGFA	ITGB1	autocrine|paracrine	0.777111827937005
MUC2	AGR2	autocrine|paracrine	0.771852465313589
GNAI2	EDNRB	autocrine|paracrine	0.769428118814889
ICAM1	CAV1	autocrine|paracrine	0.767980653180883
CALM1	INSR	autocrine|paracrine	0.763542002436002
PLAU	ST14	autocrine|paracrine	0.761664722421242
AREG	ERBB3	autocrine|paracrine	0.76016277631283
PLAU	PLAUR	autocrine|paracrine	0.759532270418447
ARF1	INSR	autocrine|paracrine	0.75916492966012
APOC3	LDLR	autocrine|paracrine	0.757082163160757
ARPC5	LDLR	autocrine|paracrine	0.75389716095075
GNAS	PTGDR	autocrine|paracrine	0.75312656460363
HSP90B1	ASGR1	autocrine|paracrine	0.752242187597688
TIMP2	ITGB1	autocrine|paracrine	0.751550793017881
MDK	LRP1	autocrine|paracrine	0.749884138137862
MDK	ITGA6	autocrine|paracrine	0.749590083144501
CALM2	INSR	autocrine|paracrine	0.74857220748534
UBB	SMAD3	autocrine|paracrine	0.746819503849325
UBC	RIPK1	autocrine|paracrine	0.746520560081269
RPS27A	RIPK1	autocrine|paracrine	0.746269329079388
HMGB1	SDC1	autocrine|paracrine	0.742526388747571
TNF	TNFRSF1A	autocrine|paracrine	0.741116873873295
TGFB1	CAV1	autocrine|paracrine	0.739027495487907
C1QB	LRP1	autocrine|paracrine	0.73763114957458
LTB	TNFRSF1A	autocrine|paracrine	0.735297011186967
UBA52	TGFBR2	autocrine|paracrine	0.735177606682389
LRPAP1	SORL1	autocrine|paracrine	0.735002222685722
GNAI2	IGF1R	autocrine|paracrine	0.73317402564068
ICAM1	EGFR	autocrine|paracrine	0.730965243408558
FN1	PLAUR	autocrine|paracrine	0.728289552287709
LYPD3	AGR2	autocrine|paracrine	0.727564554478563
CD55	ADGRE5	autocrine|paracrine	0.726526319297609
CALR	ITGA3	autocrine|paracrine	0.726483695238952
GNAI2	CAV1	autocrine|paracrine	0.726292120784676
MDK	SDC4	autocrine|paracrine	0.725509324761702
CALM1	MYLK	autocrine|paracrine	0.725417089637541
LTB	LTBR	autocrine|paracrine	0.724738965643482
CALM1	VIPR1	autocrine|paracrine	0.724052739360746
GPC3	CD81	autocrine|paracrine	0.722434322376047
THBS1	ITGB1	autocrine|paracrine	0.72184494248595
TGFB1	TGFBR2	autocrine|paracrine	0.720021846297002
UBA52	NOTCH1	autocrine|paracrine	0.719299069836764
UBC	FGFR2	autocrine|paracrine	0.718242452575025
RPS27A	FGFR2	autocrine|paracrine	0.71797378265704
LUM	ITGB1	autocrine|paracrine	0.717943517985424
TGFB1	SDC2	autocrine|paracrine	0.717223561432291
COL6A2	ITGB1	autocrine|paracrine	0.715916843552838
UBA52	EGFR	autocrine|paracrine	0.715038921369369
CALR	ITGAV	autocrine|paracrine	0.713422121026934
VIM	CD44	autocrine|paracrine	0.712137130624758
HBEGF	ERBB2	autocrine|paracrine	0.711650103054378
ADAM17	ITGB1	autocrine|paracrine	0.71132951486378
COL1A1	ITGAV	autocrine|paracrine	0.709475135258063
CXCL12	ITGB1	autocrine|paracrine	0.709415409579347
CALM2	MYLK	autocrine|paracrine	0.708953690149439
PLAU	ITGB1	autocrine|paracrine	0.707920183627356
ANXA1	EGFR	autocrine|paracrine	0.705113028757272
LRPAP1	LRP1	autocrine|paracrine	0.704920657333517
APOA4	LDLR	autocrine|paracrine	0.704671920023709
PSAP	SORT1	autocrine|paracrine	0.704163936635389
COL6A1	ITGB1	autocrine|paracrine	0.701124578610711
TGFB1	ITGB5	autocrine|paracrine	0.697880313104191
EFNA1	EPHA2	autocrine|paracrine	0.697793123503538
CALM1	EGFR	autocrine|paracrine	0.697789268086552
UBB	RIPK1	autocrine|paracrine	0.696809320595227
PTGS2	CAV1	autocrine|paracrine	0.69640432082438
LAMB2	RPSA	autocrine|paracrine	0.696083517652279
APOE	LDLR	autocrine|paracrine	0.695452227116416
VCAN	ITGB1	autocrine|paracrine	0.694890511162154
TGFB1	ITGAV	autocrine|paracrine	0.694600867884896
COL1A2	ITGAV	autocrine|paracrine	0.692805874141472
UBC	TGFBR1	autocrine|paracrine	0.691257370511071
RPS27A	TGFBR1	autocrine|paracrine	0.690974040076106
FABP5	RXRA	autocrine|paracrine	0.689309505957776
SERPINA1	LRP1	autocrine|paracrine	0.6878041432071
UBA52	SMAD3	autocrine|paracrine	0.686536514878484
GNAI2	EGFR	autocrine|paracrine	0.68535079919526
CXCL12	ACKR3	autocrine|paracrine	0.684922412268694
EREG	ERBB3	autocrine|paracrine	0.683877017942645
COL5A1	ITGB1	autocrine|paracrine	0.681720638421148
MMP9	LRP1	autocrine|paracrine	0.680735458826531
CALM2	EGFR	autocrine|paracrine	0.680399178920678
CALM1	PTPRA	autocrine|paracrine	0.67951326976256
NID1	PTPRF	autocrine|paracrine	0.678085504123718
PSEN1	NCSTN	autocrine|paracrine	0.677008753824873
APOB	LDLR	autocrine|paracrine	0.676315304287519
CDH1	ERBB3	autocrine|paracrine	0.673117321937412
FN1	ITGB1	autocrine|paracrine	0.672860000022754
MDK	SDC1	autocrine|paracrine	0.671627351756675
OSM	IL6ST	autocrine|paracrine	0.670099655627805
TGFB1	SMAD3	autocrine|paracrine	0.669847142027285
APOB	LSR	autocrine|paracrine	0.668751017427283
FBLN1	ITGB1	autocrine|paracrine	0.668504419098835
TNFSF14	TNFRSF14	autocrine|paracrine	0.666679600903036
UBB	FGFR2	autocrine|paracrine	0.665470600787343
THBS1	LRP1	autocrine|paracrine	0.663996743923061
THBS1	ITGA6	autocrine|paracrine	0.66364700488095
GSTP1	TRAF2	autocrine|paracrine	0.659946878431377
SPINT1	ST14	autocrine|paracrine	0.659343023820044
APOC3	LRP1	autocrine|paracrine	0.65575333928975
COL6A3	ITGB1	autocrine|paracrine	0.655426177788797
CALM3	INSR	autocrine|paracrine	0.654228116351817
NID1	ITGB1	autocrine|paracrine	0.653630783117275
SEMA4D	ERBB2	autocrine|paracrine	0.650557420583262
PTN	PLXNB2	autocrine|paracrine	0.650178841364563
UBC	LRP2	autocrine|paracrine	0.650172920472641
RPS27A	LRP2	autocrine|paracrine	0.649870984074717
PLAU	LRP1	autocrine|paracrine	0.648585865531602
ICAM4	ITGB1	autocrine|paracrine	0.648217195857545
APOB	MTTP	autocrine|paracrine	0.647228698237461
THBS1	LRP5	autocrine|paracrine	0.646048546996188
COL1A1	ITGA1	autocrine|paracrine	0.645487340874399
ITGB2	THY1	autocrine|paracrine	0.645202275564481
VEGFA	EGFR	autocrine|paracrine	0.643194278839941
VEGFA	EPHB2	autocrine|paracrine	0.642486097208583
VEGFA	TYRO3	autocrine|paracrine	0.642400017098558
COL6A1	ITGA6	autocrine|paracrine	0.640748958369752
VEGFA	ITGAV	autocrine|paracrine	0.638179556282173
RARRES2	CCRL2	autocrine|paracrine	0.638072990303111
GNAS	ADCY7	autocrine|paracrine	0.63774766660245
UBC	ADRB2	autocrine|paracrine	0.637488496484885
GNAI2	F2R	autocrine|paracrine	0.637361682777194
RPS27A	ADRB2	autocrine|paracrine	0.637181721460065
SEMA4A	PLXNB2	autocrine|paracrine	0.636183078065663
UBB	TGFBR1	autocrine|paracrine	0.635992811678996
PLAU	IGF2R	autocrine|paracrine	0.635520391133646
THBS1	SDC4	autocrine|paracrine	0.635322322311216
CDH1	PTPRF	autocrine|paracrine	0.634563266673485
CCL5	SDC4	autocrine|paracrine	0.63446488802923
A2M	LRP1	autocrine|paracrine	0.633742178333148
UBA52	RIPK1	autocrine|paracrine	0.630510050136537
SEMA4A	PLXNB1	autocrine|paracrine	0.630206510569277
APP	LRP1	autocrine|paracrine	0.629941675037608
NECTIN2	NECTIN3	autocrine|paracrine	0.627931005112799
APP	NCSTN	autocrine|paracrine	0.627120252163639
COL1A2	ITGA1	autocrine|paracrine	0.627076494654556
SPTAN1	PTPRA	autocrine|paracrine	0.626129160822664
TNF	TNFRSF21	autocrine|paracrine	0.624123887925244
TNFSF12	TNFRSF12A	autocrine|paracrine	0.623071076465266
CXCL12	SDC4	autocrine|paracrine	0.621056156043006
TGFB1	ACVRL1	autocrine|paracrine	0.620566105957892
COL5A2	ITGB1	autocrine|paracrine	0.620260831694719
TIMP2	ITGA3	autocrine|paracrine	0.620165262301317
GUCA2A	GUCY2C	autocrine|paracrine	0.620116570751392
COL4A1	ITGB1	autocrine|paracrine	0.619082491777828
EREG	ERBB2	autocrine|paracrine	0.618568837758163
APOE	SORL1	autocrine|paracrine	0.618390716975752
COL16A1	ITGB1	autocrine|paracrine	0.618187764070742
IL1B	IL1RAP	autocrine|paracrine	0.618020090843778
C3	CD81	autocrine|paracrine	0.614607260257012
COL1A1	DDR2	autocrine|paracrine	0.612741460983583
SHBG	CLDN4	autocrine|paracrine	0.612718106456003
THBS1	CD47	autocrine|paracrine	0.61257869097535
THBS1	TNFRSF11B	autocrine|paracrine	0.612129883507485
RPS19	C5AR1	autocrine|paracrine	0.611517051373491
FN1	ITGA6	autocrine|paracrine	0.609951090587538
THBS1	SCARB1	autocrine|paracrine	0.608537148389736
APP	CD74	autocrine|paracrine	0.607838723324234
CALM3	MYLK	autocrine|paracrine	0.607537477286251
TNFSF14	LTBR	autocrine|paracrine	0.605950316524668
UBA52	ACVR1	autocrine|paracrine	0.601033279552208
COL3A1	DDR2	autocrine|paracrine	0.600085523098619
