Immune	Fibroblasts	interaction type	LRscore
TIMP1	CD63	autocrine|paracrine	0.909555968019902
LGALS1	ITGB1	autocrine|paracrine	0.87830411013117
UBC	LDLR	autocrine|paracrine	0.872491308093521
RPS27A	LDLR	autocrine|paracrine	0.872343580283987
HLA-B	CANX	autocrine|paracrine	0.870049067997262
COL1A1	ITGB1	autocrine|paracrine	0.867620883807801
UBC	ERBB2	autocrine|paracrine	0.867507963949061
RPS27A	ERBB2	autocrine|paracrine	0.867355340336353
APOA1	LRP1	autocrine|paracrine	0.864551452856227
COL3A1	ITGB1	autocrine|paracrine	0.861410622382658
HSP90B1	LRP1	autocrine|paracrine	0.860308151857283
TGFB1	ITGB1	autocrine|paracrine	0.859236920636623
COL1A2	ITGB1	autocrine|paracrine	0.858212054959288
HLA-A	APLP2	autocrine|paracrine	0.853708758380941
PSAP	LRP1	autocrine|paracrine	0.853692163750791
HSP90AA1	ERBB2	autocrine|paracrine	0.849359925523541
CALR	LRP1	autocrine|paracrine	0.843201540618644
MDK	ITGB1	autocrine|paracrine	0.842410765762391
UBB	LDLR	autocrine|paracrine	0.842264909863063
HSPA8	LDLR	autocrine|paracrine	0.838975640221568
UBB	ERBB2	autocrine|paracrine	0.836321859834678
CD14	ITGB1	autocrine|paracrine	0.834925565544352
APOA1	LDLR	autocrine|paracrine	0.826736131035689
VEGFA	ITGB1	autocrine|paracrine	0.825594440078813
HLA-A	ERBB2	autocrine|paracrine	0.824700376694762
ICAM1	CAV1	autocrine|paracrine	0.823660267170098
UBC	TGFBR2	autocrine|paracrine	0.818884966340104
RPS27A	TGFBR2	autocrine|paracrine	0.818688038170444
COL1A1	DDR2	autocrine|paracrine	0.817756287198844
ITGB2	THY1	autocrine|paracrine	0.817456886461404
HSP90B1	ERBB2	autocrine|paracrine	0.815000655613914
VIM	CD44	autocrine|paracrine	0.814117511220581
UBC	FGFR2	autocrine|paracrine	0.813394957300473
RPS27A	FGFR2	autocrine|paracrine	0.813193421534247
MDK	LRP1	autocrine|paracrine	0.811411660568273
COL3A1	DDR2	autocrine|paracrine	0.809719777301718
TIMP2	ITGB1	autocrine|paracrine	0.804192486836302
C1QB	LRP1	autocrine|paracrine	0.801374476519577
UBC	SMAD3	autocrine|paracrine	0.800614451324404
RPS27A	SMAD3	autocrine|paracrine	0.80040249957159
TGFB1	CAV1	autocrine|paracrine	0.799844377270369
UBA52	LDLR	autocrine|paracrine	0.798578455579153
CALM1	MYLK	autocrine|paracrine	0.79739617993492
UBC	TGFBR1	autocrine|paracrine	0.792445676905556
RPS27A	TGFBR1	autocrine|paracrine	0.792227295084371
UBA52	ERBB2	autocrine|paracrine	0.791397074363541
TGFB1	SDC2	autocrine|paracrine	0.791049577211365
B2M	TFRC	autocrine|paracrine	0.789743326344884
GNAI2	CAV1	autocrine|paracrine	0.789230421993271
GPC3	CD81	autocrine|paracrine	0.789162464932927
CALM2	MYLK	autocrine|paracrine	0.783963227798191
UBB	TGFBR2	autocrine|paracrine	0.779167352430203
THBS1	ITGB1	autocrine|paracrine	0.778929315951197
LUM	ITGB1	autocrine|paracrine	0.775579634417864
LRPAP1	LRP1	autocrine|paracrine	0.774178132598641
COL6A2	ITGB1	autocrine|paracrine	0.773836636468409
UBB	FGFR2	autocrine|paracrine	0.772807432434877
ADAM17	ITGB1	autocrine|paracrine	0.769883961784173
CXCL12	ITGB1	autocrine|paracrine	0.768231612392012
PLAU	ITGB1	autocrine|paracrine	0.766939604055845
PTGS2	CAV1	autocrine|paracrine	0.763981887258051
GNAI2	F2R	autocrine|paracrine	0.761314628337968
COL6A1	ITGB1	autocrine|paracrine	0.761053673203513
SERPINA1	LRP1	autocrine|paracrine	0.759709572225415
UBB	SMAD3	autocrine|paracrine	0.758073899080041
VCAN	ITGB1	autocrine|paracrine	0.755633954608659
MMP9	LRP1	autocrine|paracrine	0.753685919105673
GNAS	PTGIR	autocrine|paracrine	0.74920473072084
UBB	TGFBR1	autocrine|paracrine	0.748709289571728
ACTR2	LDLR	autocrine|paracrine	0.746557191927082
HSP90AA1	FGFR3	autocrine|paracrine	0.744230766281027
COL5A1	ITGB1	autocrine|paracrine	0.744120554854644
LTB	LTBR	autocrine|paracrine	0.740019090266214
THBS1	LRP1	autocrine|paracrine	0.739307217805448
NAMPT	INSR	autocrine|paracrine	0.736420100362858
FN1	ITGB1	autocrine|paracrine	0.736325182263253
