Immune	Immune	interaction type	LRscore
VIM	CD44	autocrine	0.922845024011512
UBC	LDLR	autocrine	0.910728798091099
RPS27A	LDLR	autocrine	0.910620832874048
LGALS1	PTPRC	autocrine	0.896589996635557
B2M	TFRC	autocrine	0.896410811100035
TIMP1	CD63	autocrine	0.896300647238147
B2M	CD3D	autocrine	0.889489734802359
UBB	LDLR	autocrine	0.888407397084583
HSPA8	LDLR	autocrine	0.885950050283574
APOA1	LDLR	autocrine	0.876756576672995
HLA-B	CANX	autocrine	0.876203862341326
COL1A1	CD44	autocrine	0.874345585766943
HLA-B	CD3D	autocrine	0.870266418812055
ICAM1	ITGB2	autocrine	0.868620895571557
RPS19	C5AR1	autocrine	0.86644341629386
HLA-A	APLP2	autocrine	0.866430708439502
COL1A2	CD44	autocrine	0.865340532683817
B2M	CD247	autocrine	0.865092527772626
B2M	LILRB2	autocrine	0.864769728226943
PKM	CD44	autocrine	0.862636350335875
TGFB1	CXCR4	autocrine	0.857947728140968
UBA52	LDLR	autocrine	0.855305156712594
APP	CD74	autocrine	0.852204628570299
ICAM1	IL2RG	autocrine	0.848291200792127
UBC	TGFBR2	autocrine	0.846478553606215
RPS27A	TGFBR2	autocrine	0.846305997087536
LGALS1	ITGB1	autocrine	0.843648842871971
CD55	ADGRE5	autocrine	0.843500717592469
HLA-B	LILRB2	autocrine	0.842010124684612
LGALS1	CD69	autocrine	0.841883066955168
B2M	KLRC1	autocrine	0.841726831139917
HLA-A	CD3D	autocrine	0.838829064794792
HLA-C	CD3D	autocrine	0.837326662118879
COL1A1	ITGB1	autocrine	0.830510435761122
UBC	TLR4	autocrine	0.829181404994037
RPS27A	TLR4	autocrine	0.828993334319382
UBC	ADRB2	autocrine	0.8287479776176
RPS27A	ADRB2	autocrine	0.828559528406593
ICAM1	ITGAX	autocrine	0.824722188793916
CD14	ITGB2	autocrine	0.824157881666898
COL3A1	ITGB1	autocrine	0.822914559322188
TGFB1	ITGB1	autocrine	0.820263050447154
COL1A2	ITGB1	autocrine	0.819014194418649
UBC	TGFBR1	autocrine	0.81455128259436
ACTR2	LDLR	autocrine	0.814532110827208
RPS27A	TGFBR1	autocrine	0.814350710637249
UBB	TGFBR2	autocrine	0.81141855535758
HLA-A	LILRB2	autocrine	0.805257841187975
COL1A1	CD36	autocrine	0.803596460628361
B2M	CD3G	autocrine	0.803563096122448
HLA-C	LILRB2	autocrine	0.803515797261172
MMP9	CD44	autocrine	0.801435499944695
PSEN1	CD44	autocrine	0.800636945261793
MDK	ITGB1	autocrine	0.799863277224215
ICAM1	CAV1	autocrine	0.797525987915415
CALM1	MYLK	autocrine	0.797505891739472
PLAU	PLAUR	autocrine	0.793060166323832
LRPAP1	LDLR	autocrine	0.79257288780204
UBB	TLR4	autocrine	0.791145863042291
CD14	ITGB1	autocrine	0.79085887485697
COL1A2	CD36	autocrine	0.790734666037283
UBB	ADRB2	autocrine	0.790640293691444
B2M	LILRB1	autocrine	0.790491990286434
UBC	ERBB2	autocrine	0.789544889840886
RPS27A	ERBB2	autocrine	0.789324267326842
GNAI2	C5AR1	autocrine	0.788737459554921
HSPA8	ADRB2	autocrine	0.786547312404739
TNF	TNFRSF1B	autocrine	0.785600398150854
CALM2	MYLK	autocrine	0.784078243970939
IL1B	ADRB2	autocrine	0.783419181139586
CALM1	ABCA1	autocrine	0.782892710002742
COL1A1	CD93	autocrine	0.781975699978613
HBEGF	CD44	autocrine	0.781907532192344
HLA-E	KLRC1	autocrine	0.780775911637148
VEGFA	ITGB1	autocrine	0.77969407035621
ICAM1	SPN	autocrine	0.779113167887926
MMP9	ITGB2	autocrine	0.778899493904352
UBB	TGFBR1	autocrine	0.774145428670001
HLA-B	CD3G	autocrine	0.773203879367205
B2M	HLA-F	autocrine	0.77157938194834
TGFB1	CAV1	autocrine	0.771161122734583
CALM2	ABCA1	autocrine	0.768776993426834
COL1A2	CD93	autocrine	0.768106612563578
ICAM3	ITGB2	autocrine	0.767573511350883
VCAN	CD44	autocrine	0.766516559053893
CXCL12	CXCR4	autocrine	0.766335599083975
APOA1	LRP1	autocrine	0.766033727069956
HSP90B1	TLR4	autocrine	0.765589323925858
FN1	PLAUR	autocrine	0.764824764962567
HSP90AA1	ERBB2	autocrine	0.763627619824509
C1QA	CD93	autocrine	0.763592145273372
HMGB1	TLR4	autocrine	0.762876518161833
UBA52	TGFBR2	autocrine	0.761606927598695
GNAS	ADCY7	autocrine	0.761241375312617
HSP90B1	LRP1	autocrine	0.759562417506359
GNAI2	CAV1	autocrine	0.759483517154708
HLA-B	LILRB1	autocrine	0.758719213521523
IL1B	IL1RAP	autocrine	0.756434336911811
GNAS	PTGIR	autocrine	0.756342291076294
HSPA1A	TLR4	autocrine	0.75595853601906
TIMP2	ITGB1	autocrine	0.754335554157711
PLAU	ITGB2	autocrine	0.753048916888093
APOC3	LDLR	autocrine	0.752890782745117
CALM1	SELL	autocrine	0.750753526960175
ARPC5	LDLR	autocrine	0.749668996518536
PSAP	LRP1	autocrine	0.749563950864074
FN1	CD44	autocrine	0.747780663202423
TGFB1	TGFBR2	autocrine	0.747444108610339
UBB	ERBB2	autocrine	0.745393634432994
UBC	SMAD3	autocrine	0.744956707786909
RPS27A	SMAD3	autocrine	0.744704456867804
UBC	RIPK1	autocrine	0.740248270257261
RPS27A	RIPK1	autocrine	0.739992987811996
GPC3	CD81	autocrine	0.738898551610868
UBA52	TLR4	autocrine	0.737710365473381
UBA52	ADRB2	autocrine	0.737118426264595
IL1B	IL1R2	autocrine	0.735267992713442
CALM2	SELL	autocrine	0.73525483467599
CALR	LRP1	autocrine	0.733934051277416
NAMPT	INSR	autocrine	0.732381624859785
PTGS2	CAV1	autocrine	0.731882113458573
PSAP	SORT1	autocrine	0.731848107856845
HLA-A	ERBB2	autocrine	0.729404953071655
MRC1	PTPRC	autocrine	0.728895750262781
HLA-A	CD3G	autocrine	0.725660585641426
HSP90B1	TLR2	autocrine	0.725039430263834
THBS1	ITGB1	autocrine	0.724840759790196
HLA-C	CD3G	autocrine	0.723451044677567
LUM	ITGB1	autocrine	0.720965111859648
COL6A2	ITGB1	autocrine	0.718951649499845
UBA52	TGFBR1	autocrine	0.717911228675746
CYR61	ITGB2	autocrine	0.717509868000293
SPON2	ITGB2	autocrine	0.716805631782519
TYROBP	TREM1	autocrine	0.71680176089064
HSP90B1	ERBB2	autocrine	0.716246564714388
ADAM17	ITGB1	autocrine	0.714393776201292
SELPLG	ITGB2	autocrine	0.713484040980694
VEGFA	NRP2	autocrine	0.712851958131612
HSP90AA1	FGFR3	autocrine	0.712830555927498
CXCL12	ITGB1	autocrine	0.712491776931188
COL1A1	ITGA5	autocrine	0.711737482688372
ICAM2	ITGB2	autocrine	0.711624661551299
MDK	ITGA4	autocrine	0.711093813220635
PLAU	ITGB1	autocrine	0.711005932139907
HLA-A	LILRB1	autocrine	0.709281169600171
B2M	HFE	autocrine	0.708804437576929
HLA-C	LILRB1	autocrine	0.706992974962667
CD55	ADGRE2	autocrine	0.706191827051787
COL6A1	ITGB1	autocrine	0.704252127637879
TGFB1	TGFBR1	autocrine	0.702167631989816
UBA52	NOTCH1	autocrine	0.700887575156192
TNF	TNFRSF1A	autocrine	0.700187149949627
APOA4	LDLR	autocrine	0.69993465227797
CD14	ITGA4	autocrine	0.699595530436562
