Immune	Muscle	interaction type	LRscore
CALM1	MYLK	autocrine|paracrine	0.92039353861888
CALM2	MYLK	autocrine|paracrine	0.914238426955862
ICAM1	CAV1	autocrine|paracrine	0.910884096082233
TIMP1	CD63	autocrine|paracrine	0.902924851474055
TGFB1	CAV1	autocrine|paracrine	0.89738069772752
LGALS1	ITGB1	autocrine|paracrine	0.892346395293267
GNAI2	CAV1	autocrine|paracrine	0.891235622054452
COL1A1	ITGB1	autocrine|paracrine	0.882731299320171
VIM	CD44	autocrine|paracrine	0.882173800170006
UBC	ERBB2	autocrine|paracrine	0.878989909675721
RPS27A	ERBB2	autocrine|paracrine	0.878848665489363
COL3A1	ITGB1	autocrine|paracrine	0.877129519652257
PTGS2	CAV1	autocrine|paracrine	0.876291159477785
TGFB1	ITGB1	autocrine|paracrine	0.875166632254584
COL1A2	ITGB1	autocrine|paracrine	0.874240772251061
HLA-A	APLP2	autocrine|paracrine	0.873144668674223
CALM3	MYLK	autocrine|paracrine	0.871376583920152
HLA-B	CANX	autocrine|paracrine	0.864424227461152
HSP90AA1	ERBB2	autocrine|paracrine	0.862164719488572
MDK	ITGB1	autocrine|paracrine	0.859934239020157
UBC	TGFBR1	autocrine|paracrine	0.856525576724516
RPS27A	TGFBR1	autocrine|paracrine	0.8563623967071
UBC	FGFR2	autocrine|paracrine	0.853665244132417
RPS27A	FGFR2	autocrine|paracrine	0.853499367355034
CD14	ITGB1	autocrine|paracrine	0.853136264924247
APOA1	LRP1	autocrine|paracrine	0.850310990712743
UBB	ERBB2	autocrine|paracrine	0.850039249855811
UBC	LDLR	autocrine|paracrine	0.849460968568834
RPS27A	LDLR	autocrine|paracrine	0.849291167420323
HSP90B1	LRP1	autocrine|paracrine	0.845701188358802
VEGFA	ITGB1	autocrine|paracrine	0.844642989608634
HLA-A	ERBB2	autocrine|paracrine	0.839204470419296
PSAP	LRP1	autocrine|paracrine	0.838523244699455
COL1A1	ITGA1	autocrine|paracrine	0.835451449272795
HSP90B1	ERBB2	autocrine|paracrine	0.830141998749952
CALR	LRP1	autocrine|paracrine	0.827165174148164
UBC	TGFBR2	autocrine|paracrine	0.82545918393079
RPS27A	TGFBR2	autocrine|paracrine	0.825267878701123
TIMP2	ITGB1	autocrine|paracrine	0.825083310241155
COL1A2	ITGA1	autocrine|paracrine	0.824219415952169
UBB	TGFBR1	autocrine|paracrine	0.823281023958369
VEGFA	NRP2	autocrine|paracrine	0.820104022305776
UBB	FGFR2	autocrine|paracrine	0.819897283214561
UBB	LDLR	autocrine|paracrine	0.8149331604665
COL1A1	CD44	autocrine|paracrine	0.81328124770757
APP	CAV1	autocrine|paracrine	0.813017204718254
HSPA8	LDLR	autocrine|paracrine	0.811201696382801
NAMPT	INSR	autocrine|paracrine	0.808922794274067
UBA52	ERBB2	autocrine|paracrine	0.808015188811788
COL1A1	DDR2	autocrine|paracrine	0.805788017308237
THBS1	ITGB1	autocrine|paracrine	0.801851364687808
COL1A2	CD44	autocrine|paracrine	0.800896537934509
LUM	ITGB1	autocrine|paracrine	0.798759268725608
ITGB2	THY1	autocrine|paracrine	0.797713976055666
APOA1	LDLR	autocrine|paracrine	0.797360979975089
COL3A1	DDR2	autocrine|paracrine	0.797354520882391
PKM	CD44	autocrine|paracrine	0.797201505554479
COL6A2	ITGB1	autocrine|paracrine	0.797149213279589
CYR61	CAV1	autocrine|paracrine	0.797024676022761
ADAM17	ITGB1	autocrine|paracrine	0.79349524669693
MDK	LRP1	autocrine|paracrine	0.792922486522885
CXCL12	ITGB1	autocrine|paracrine	0.791966625929414
PLAU	ITGB1	autocrine|paracrine	0.790770894511723
UBC	SMAD3	autocrine|paracrine	0.788556223184814
RPS27A	SMAD3	autocrine|paracrine	0.788334842091663
GPC3	CD81	autocrine|paracrine	0.787817782688212
TGFB1	TGFBR3	autocrine|paracrine	0.787734384636947
UBB	TGFBR2	autocrine|paracrine	0.786807926230661
COL6A1	ITGB1	autocrine|paracrine	0.785318349831417
HLA-C	DDR1	autocrine|paracrine	0.78307991783445
C1QB	LRP1	autocrine|paracrine	0.782165438475717
VCAN	ITGB1	autocrine|paracrine	0.780290110492642
COL1A1	ITGA5	autocrine|paracrine	0.779681399308832
UBA52	TGFBR1	autocrine|paracrine	0.7757367270068
CALM1	INSR	autocrine|paracrine	0.771965776938047
UBA52	NOTCH1	autocrine|paracrine	0.771957798585451
UBA52	FGFR2	autocrine|paracrine	0.771695080421395
COL5A1	ITGB1	autocrine|paracrine	0.769584162011776
ARF1	INSR	autocrine|paracrine	0.767697195152138
UBA52	LDLR	autocrine|paracrine	0.765781906830623
LTB	LTBR	autocrine|paracrine	0.765449172530286
FN1	ITGB1	autocrine|paracrine	0.762316752791301
TGFB1	TGFBR1	autocrine|paracrine	0.762151195255313
HRAS	CAV1	autocrine|paracrine	0.761056437161207
FBLN1	ITGB1	autocrine|paracrine	0.758725126071043
CALM2	INSR	autocrine|paracrine	0.75735980612574
HBEGF	CD9	autocrine|paracrine	0.75641640399457
HSP90AA1	FGFR3	autocrine|paracrine	0.75410488156933
LRPAP1	LRP1	autocrine|paracrine	0.75314911876603
COL6A3	ITGB1	autocrine|paracrine	0.747863810421616
B2M	TFRC	autocrine|paracrine	0.747372106761844
NID1	ITGB1	autocrine|paracrine	0.746363673731274
COL1A1	DDR1	autocrine|paracrine	0.745405544190615
UBB	SMAD3	autocrine|paracrine	0.744264737095797
MDK	SDC3	autocrine|paracrine	0.742863768324002
ICAM4	ITGB1	autocrine|paracrine	0.741826980798174
SERPINA1	LRP1	autocrine|paracrine	0.737789553920806
COL3A1	DDR1	autocrine|paracrine	0.735211617981311
UBA52	TGFBR2	autocrine|paracrine	0.732637635260276
MMP9	LRP1	autocrine|paracrine	0.73141067488999
TNF	TNFRSF1A	autocrine|paracrine	0.731279449981395
COL6A2	ITGA1	autocrine|paracrine	0.726072185763865
LTB	TNFRSF1A	autocrine|paracrine	0.725320400855064
UBA52	ACVR1	autocrine|paracrine	0.724902131031329
COL5A2	ITGB1	autocrine|paracrine	0.718074335465837
TGFB1	TGFBR2	autocrine|paracrine	0.717392390884161
COL4A1	ITGB1	autocrine|paracrine	0.717061060239234
MMP9	CD44	autocrine|paracrine	0.716430439324014
COL16A1	ITGB1	autocrine|paracrine	0.716291005201686
THBS1	LRP1	autocrine|paracrine	0.716221246728038
PSEN1	CD44	autocrine|paracrine	0.715411418860033
TGFB1	SDC2	autocrine|paracrine	0.714949005813243
VEGFA	ITGA9	autocrine|paracrine	0.713800886624763
COL6A1	ITGA1	autocrine|paracrine	0.711595690210381
APOC3	LRP1	autocrine|paracrine	0.708696998905503
ACTR2	LDLR	autocrine|paracrine	0.70838338606749
CALM1	PTPRA	autocrine|paracrine	0.703346394081445
CALR	ITGAV	autocrine|paracrine	0.702356304378303
PLAU	LRP1	autocrine|paracrine	0.702131131864574
PSEN1	NOTCH2	autocrine|paracrine	0.699536233660359
COL1A1	ITGAV	autocrine|paracrine	0.6983213583452
C3	CD81	autocrine|paracrine	0.694654995964649
TGM2	ITGB1	autocrine|paracrine	0.694327932121094
LAMB2	RPSA	autocrine|paracrine	0.692948982129265
COL5A1	ITGA1	autocrine|paracrine	0.69257348380674
CD55	ADGRE5	autocrine|paracrine	0.692148562502807
HBEGF	CD44	autocrine|paracrine	0.691757903625267
UBC	RIPK1	autocrine|paracrine	0.690905855616193
RPS27A	RIPK1	autocrine|paracrine	0.690622346973236
A2M	LRP1	autocrine|paracrine	0.688462798916021
GSTP1	TRAF2	autocrine|paracrine	0.685987078668519
APP	LRP1	autocrine|paracrine	0.684947831742596
UBA52	SMAD3	autocrine|paracrine	0.683631138773161
HBEGF	ERBB2	autocrine|paracrine	0.683234705277532
TGFB1	ITGAV	autocrine|paracrine	0.683131085773199
COL1A2	ITGAV	autocrine|paracrine	0.68129960925486
GNAI2	S1PR3	autocrine|paracrine	0.680497648892356
LRPAP1	LDLR	autocrine|paracrine	0.678812057341637
PSAP	SORT1	autocrine|paracrine	0.67874626853549
FYN	THY1	autocrine|paracrine	0.678286077036531
GNAI2	IGF1R	autocrine|paracrine	0.677194636913876
VCAN	CD44	autocrine|paracrine	0.67266830544233
SPP1	ITGB1	autocrine|paracrine	0.671865536032863
LAMC1	ITGB1	autocrine|paracrine	0.671758215977093
C1QA	CSPG4	autocrine|paracrine	0.668489241053772
CALM1	PDE1A	autocrine|paracrine	0.667035835173748
TGFB1	SMAD3	autocrine|paracrine	0.666862139597283
COL6A3	ITGA1	autocrine|paracrine	0.666737316302806
PTN	PLXNB2	autocrine|paracrine	0.666431728494367
HSPG2	ITGB1	autocrine|paracrine	0.665593950717998
B2M	CD3D	autocrine|paracrine	0.665267755308009
CALM3	INSR	autocrine|paracrine	0.664836747996982
LAMB1	ITGB1	autocrine|paracrine	0.662809996148984
LAMB2	ITGB1	autocrine|paracrine	0.660742367156042
PSEN1	NOTCH1	autocrine|paracrine	0.660242395885552
ADAM15	ITGB1	autocrine|paracrine	0.658997704258321
